scramble,orientation,step_0,step_1,step_2,total_moves
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,U R B2 R' B U' L B' U',F2 L B D' R' D' R2 D' R' B' L',D2 L' F' R' F L B R2 B' R' F D2 F',33
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,R2 B' L F2 U2 B' D2 F U' B,R U' R F L2 D2 B D2 L2 D2 F' U,R2 F2 L' D' F L F L' F' D F2 L R2,35
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,U L R2 D L2 D2 B' F L B',F2 D' R U L' F L2 D F2 L' U' F' D' R',D B2 F' R2 B2 D2 B D' F' R2 F2 D2 B',37
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,U2 L' U' L2 D2 R U' R2 B U',U' B R2 D2 R U' B' D' B U R2 D' B' U,L' R2 F2 L B R B2 L' F' D2 F' L B,37
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,L' B2 R D2 F' U' B' L R D,L' U B F' L D L B2 L B D L2 F U',B D B' L2 F L2 B' L2 U F' L2 B D2,37
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,B2 U' F' U2 B2 R' D' U' B' U',D2 F D R' F' R B' L' D' F' D F2 L B,B2 R2 D R' D' B' D B2 L2 B' R' B L2 B,38
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,D' L' F D2 U' F' D' B' U' B R',B2 L' F2 L' U L F2 L' U2 L F' L B2,U2 R F L' F' D' L' D L R' U2,35
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,F' L2 U R2 F' R U2 B L' B2,F2 D R2 D R' B2 F U L' U' B2 R' D2 F2,R F' D' F D' L2 U B' U' L2 D2 R',36
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,U' R' D' B2 D2 B' U' B' L U,U' B R D F D B' F' U2 L2 F2 L2 U',B2 R2 B L B D B' D' L' D B' R2 B2,36
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,F' U2 L' F D B' L F' R',U2 L' U' F2 L2 D L' D' U' L D' L2 F L,D' L2 B U2 B' L2 D L2 B U2 B' L2,35
