scramble,orientation,step_0,step_1,step_2,step_3,total_moves
B' R2 L B' L' B' D2 U2 F2 B2 U2 D' R2 L U2 F' L' R U' F B',x2,R2 F' L2 U L,B' F D B R D R F' D,R U' R B2 D' B D B' R' B' U R',B' L B' D2 B L' B' L D2 L' B2,37
L' R' U' B R B' L U L' R F R F L B U' L D2 R2 F' L2 R2,x2,D B2 L F2,D B2 U2 B' U2 B' D' R2 D' R',U' L R2 B' L' B L R' B L' B' R' U,U' F L2 F' U R2 U' F L2 F' U R2,39
D U R B D' U' L2 F' L F' B' D' F' B2 U R U L2 R' B D R' L2,x2,D U' F' U2 L',D2 L2 F' L2 B2 L U' L' R' B2 D',U2 R D' R' U R B R2 U R2 D R',D' B2 D R' F2 R D' B2 D R' F2 R,40
L2 R D' L2 D U B' R F L2 U F' U2 R' U' D2 F2 L' B2 R,x2,L B L D' B' L,L' D2 R D2 B R B' F2 L,R U2 B D' B' R' B R2 D' R' D2 B2 U2 R',R2 B L2 B' R2 B L2 B',37
F2 U2 F R2 U' F D U' F D2 L2 R U D2 R' B2 U' F2 R D2 R' D2 U,x2,B R' U2 F' U,R B' U' R2 B' L U' F L' D2 U2 B2,R U2 L' B2 U' L' U B2 L B2 U2 R',D' F U2 F' D F U2 F',37
R2 B F R2 F' R2 D2 U' B R2 D2 F' B2 D2 F' D' R2 D2 R2 L D' L',x2,F R' D B2,L2 R B F R2 U' F2 U B' L2 R2,R D F' D' B' L D L' D F D2 B R',R2 D U F' U' B U' B U' F U2 B2 D',41
L R2 B U F' B R B F' D L2 B D U R2 U' L' D' R U2 F2 R D' L' U2,x2,B F L U,B L D' U2 R D B L' D2 F R' F',U2 B' D2 B' D2 U2 F U' B U F' R2 D2 R2,L' F2 L' B L F2 L' B' L2,39
F2 B2 D2 F2 U' D R' D' L' R' F2 L' F' R' D' R L U' D' F L2 U B',x2,D F R U2 B2,B F L B R2 D' L' R2 B' D F',L2 R U' R' F R2 F' D2 F D2 R' U L2 R',R2 F L F' R2 F L' F',38
F2 U D B' D U R L2 D' B2 D' F' U2 L' U2 R F' L F2 B2 U' F',x2,F' U L R' U',L2 F' L F L R' U' R' B2 U R',U2 L' U2 B2 L D' L R B2 R' U2 L2 D B2,R2 D U F' U' B U' B U' F U2 B2 D',43
R B' D2 L2 B U' D' L2 B F2 L2 R U2 L' D2 B R D F' D,x2,B L2 B' U' B',L' D2 R2 F D2 R F2 D R D2 L,F D R' U' B2 D2 B2 D B U R' D2 R' F' R,L' U2 L D' L' U2 L D,39
D' U' L U2 B' D F' U R' L2 F D' R' U R2 U2 B' F U L' U,x2,R F' L U L,L2 R2 F2 R U' L' R2 U L' D' B2,L' F2 L U F2 L2 F' L2 F U' L' F L F,B L2 B' R2 B L2 B' R2,38
F' B' R' U D2 B2 U F' L' F' B2 L' F' R2 U' L2 R2 F L' U R L F' D',x2,L2 F2 L' B,R2 D2 B2 R B2 U' B D' U' B U2,F U' B' U F' U B L2 B L2 B' L2 U',R2 D U F' U' B U' B U' F U2 B2 D',41
U' R' D2 R2 F' R2 D F' U2 R' D2 B2 F L F' R U D2 R2 F2 U,x2,D L R B' U',B L2 U' L2 R D U2 B U2 B' R2 B',R D' U' R' B2 R D B' U' R' U2 F2 L' F2,F U2 F' D' F U2 F' D,39
U2 L2 R' F R B L F2 L2 F' L2 B R2 F2 R F2 B2 D' U L B,x2,U' B' L R U',L R B2 L2 F' L2 B L' B,D2 U L' D L D L' D F' L' F L2 U',L' U2 L D' L' U2 L D,35
U D' F' B L2 B' L2 R2 D F L' U' F2 U' R L F' R2 D R2 F' D B2 R' U,x2,F' L B' L',R2 D' L' R' F R D F2 R2 F' L,R D2 F2 R' F2 D2 L' U2 B2 R' U2,L D2 L U' L' D2 L U L2,35
L U' R U R2 U2 R2 F' B U B D2 R2 U' L F2 B U L2 B',x2,L F R2 U' L',D U F2 R F' L' D2 R' U' F2 R',R U B2 U R D B' L B2 L' D' R' U2 R',D' B2 D F D' B2 D F',38
D F' U R2 F2 D' B D' F D B D' L' R' U2 B U' D2 F' B D L2 U,x2,L2 F' L' D B' F,D F2 D2 F R' U L2 U' F' D F2,U F R' D' R U' R U2 R D R' B2 U2 R' F',D B' D' F' D B D' F,40
R2 U' F2 U' D B L' U F U R' D' R2 L2 F2 B' D F' U F D2 L' U',x2,B2 R' D' L2 B,R' D B R' B2 D B D B2 R' B2 D,F R' F' D U L D2 L2 U B2 L' D2 B2 L' U2,R2 U' F L2 F' U R2 U' F L2 F' U,44
R B2 R2 L' U B' L R U' R' U L U' D' F2 L R' B F R U' B2 F2 U',x2,F' U L U2 B',L2 B U' B' U' R2 U L2 R' D',U2 B' R2 F2 L U' F' R2 B2 D' B2 U2 L2 B L2,D' B2 D F D' B2 D F',38
F' B R' D2 F' U' D B' F2 R2 L F2 D2 B U2 R' B' U' R' F2 R' B2,x2,U F U,D2 B2 D L2 R' F' U L2 D2 U2 B' U2,D' L' B2 R2 B' U' B R' B' R' U B2 L B D,F D2 B' D' F2 D B D' F2 D' F',41
U' L' F2 R' L' U' D2 B' R' F' R' L' U' L2 R' D' R D2 F2 R' F,x2,F D' F' L',D' U2 R' B R U2 B' D B' R2 B2,F' D U' B2 U' F' D F D2 B' U2 F R2,F D2 B' D' F2 D B D' F2 D' F',39
B R2 B' F U' B2 D R2 L2 B' R2 U' B R2 U' D' L2 B2 U2 L B2,x2,R2 B' D L' U2,D2 B R' B2 R2 F2 D2 F2 D' R2 B D2,F R B' D' B2 D R D' B' R D R F',R2 B L2 B' R2 B L2 B',38
F2 R B2 R2 F' D2 B F2 D L2 F2 D B D' B2 D2 F' L' R2 B F',x2,F L U B,F D' L U2 L U2 L2 R' D' R' F',R' D F U L2 U' F U L2 U' F' D' R,D' B2 D F D' B2 D F',36
B R F2 R' F U D2 L' F2 R U' R2 U' D2 R F2 D B' U' R2 B,x2,B D' L2 U,D2 B2 R2 B' D B' F R2 F',R' D L D2 L' R D' U L' D U' F2,R2 U' F L2 F' U R2 U' F L2 F' U,37
U2 R2 F D' B U L2 R2 D' R' B' R B2 L' F' L2 R U' R2 F2,x2,L' U2,R B D' F D2 U F' U' B' F2 R' F,F R2 D' B F' U R' U' B' F R D R F',L' F2 L' B L F2 L' B' L2,37
R2 F2 D' F2 D' B2 R' U' R2 D2 U2 R2 B' L F' L2 F2 D' B' U2,x2,L2 D U F' L',D2 R' D2 L F D' R2 F' D L' D',R U2 B D' B U R2 B R B' R2 D U R',R2 D U F' U' B U' B U' F U2 B2 D',43
L2 R B' L' B D F R B F' U2 F' B' L R D2 B' F2 U' B' R' U F B',x2,F' U F2,D' L2 F2 D' F2 R' F R2 D L2 R,D2 L2 D2 R F' L' F' L' U2 B2 U2 R' D2,R2 D B2 U' B D B2 U B2 D' B R2 D',40
R' U2 L2 F' L2 U2 B2 F R' L2 B2 D' R B2 D2 R U2 B F' L2 B2,x2,B' L D2 U L2,D F2 D' B2 R' B' R2 F' D2 B' R' F2,R' D' U2 B' R' B2 R B' R' B R D U2 R,D B' D' F' D B D' F,39
B L R' U' D' L2 D B2 F R B2 D U2 L' U L' U F' U' B U2 R F L,x2,D2 B2 F D' L',B' L2 R2 F' U2 R F2 L2 D' R' D',R' D' U R F R2 B R' F' U2 R2 D B' U' R,F D' B2 D F' D' B2 D,39
D B L' F' L2 F U2 F' R2 L D L' U' L' F2 D2 L' R U2 D' F2 B2,x2,D2 F D' L',F' R F2 D R' B D' F' D' B' R2,R U' L B' U B2 R' U L U2 F' U F L2 U,R' F2 R D' B2 D R' F2 R D' B2 D,42
