scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U' R' U' L2 F' L' U2 R' D' R' L F2 U' L R' U' L D R' F R2,x2,L U B2 L2,D' F2 D,R B' D' R' F R' F' D B U2,L2 R2 F' R' U2 R F L R2 F2 L,,28
U' B' R B R' U F2 L D R' D' R2 L U2 L2 U' F2 D R2 D L' D',x2,D2 B',L' R B' D' B L,B' D' U' F2 R F' U F' D B,F' L' U2 F2 U2 L F' L2 B U2 B' L2 F2,F L D2 F2 U2 B2 U2 F2 L' F',41
D' F B R2 B L2 F2 U R B R L2 U L F L' U D2 L' B F',x2,R F' L' D',F' L F,D B2 D L' D2 B U B2 U' B,U R F L' U' F' R' U F D R' D' L U',R D' R' B' L' F' D F L B,41
D B' U D L R2 D' U R2 B R2 D U' B L' R2 D' L' U2 F' R D' B F,x2,U2 R' B' R D,D F' R2 B R2 D',R2 D L' U L D' U2 R2,F D' F2 D' L B2 R' B' D2 L2 F' L R2,F D2 U2 B' L' B D2 U2 F' R,42
R2 U2 D2 B2 F2 U F D' F' U D' L' D' R2 U2 B2 D R' F' D' B',x2,D B' R2,F' D F2 D' L2 F,R' F2 L' B' R2 F' D2 B' R' B2,F2 D2 F R D2 F' D' R2 F' R2 F' D',F L D2 F2 U2 B2 U2 F2 L' F',41
D U B' U B2 L2 F R2 L D' B' D R2 L B D2 U2 F D2 B2 U2 B2,x2,R2 U2 L B',D U' B2 D' R2,R2 U' R2 F2 U2 F' R F U2 F2,F' D2 L' F2 U2 F L2 B2 L2 F R F R U' L,R D2 F L D B D2 B' L' D' F' R',46
D' U B L' B2 F R2 F' R B2 F2 L' F' L D' U B' D F B' L2 U L B,x2,D' U' L' B U2,R' D B' D' R,U R' B U' B2 R B U',L' U B' R' B F2 R2 F2 L U' F' R2 F U R',L' D' L D' B R F L D L' D F' R' B',47
R2 L2 B U' D L D2 U' B F' U2 D B' D L D' L2 R2 D U,x2,D L2 R U',R' B2 R' B2 R2,R2 D2 F' U2 F2 R' F' R D2 R2,L2 U2 L2 U' R2 U L' U' R U2 F' U2 F' L R,B D2 F' R' B' R B F D2 B2 D' B D,47
R D' L2 B L U2 D F B U2 D' F' D2 F2 R L2 U' L D' F',x2,L' U L' D2 B,R2 D R2 U' F D' L2,L' F' U B2 U' L2 D2 L' F D,D' U F U' F' L2 B U' B U B2 L U L D,R2 D2 R D R B' D' R' D2 R B D' R,50
F' U' R2 F D' R' L2 F' B' D' U2 R2 D F2 U B' D' F2 D' B D',x2,D2 R' F' D2 B,F' L D F2 D' F,B' L B2 R' U B U2 B2 R D,F' L' U2 F' U L' B L2 R2 F' D F2 D2 R F',R D' R' B F' U R U' B' F,46
