scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 U2 R' B' U2 D' B' F U' D' R' U2 B2 U B U2 D' F2 U2 L R2 B' D' R' L',x2,D2 L2 B2 U F,L U' L2 B U B L B2 U,D2 U' L2 U2 B L2 U' L' B D' B D',U F U' L D' F2 U F U' F2 D F' L',,39
L U L2 F' B R2 L D2 L B2 L2 B F U2 R' B2 R2 D' B' U' B2 D2,x2,D' U L' B2 R2 B',L2 B' D' R2 F R2 B2 L2 B',U F U R' D' B' U' B L' F' D R,F2 D F2 D2 L2 F' D2 F' D2 F L2 F D,,40
F2 D L' U L D L B2 F' D R F D' B2 L D' B F' L2 R B2 L2 F2 D',x2,U L' F D' L U2,F' L' B' D2 B' L' B2 F L2,L2 U2 L' D' L U2 B D L2 D2 B D2,D' U' R' D' F2 D' R2 U' R D2 R2 D U2,,40
F B2 R2 U L D' L2 F D2 B2 R2 D R' D U L2 B F D' L2 F' B R' L2 B,x2,F' U B L2 R' B F2,R' B2 U2 L' R2 F2 R' D2,U F' U F D2 U R' U2 B' D2 F L,L' B2 R' U R2 U R2 U2 R2 U R' B2 L,,40
B' F D R2 D' U2 F' B2 L' F' D' U L2 D B' U B D B2 U2 F' R',x2,U' B2 R2 F' U' L',U' F' L2 B D2 L2 B' R F U',R U R D' L D' B' D2 R' U' R',U L2 B2 R D R' B2 L U' L,,37
F2 D2 F' L D F2 B D R2 D F R' D F L2 R' F' B' R2 F2 U' F' D R,x2,B F2 D2 U R',D' B D B2 D2 B D2 B' D' B2,F' D' B2 U2 B D' U R' D2 L2 F' U F',D L2 U2 R' B R B R' B R B2 U2 L2 D',,42
U' D R' B2 U' B' R L' B U' R B L U2 L' F R D L2 U B2 U' R2 L2,x2,R D' U2 B' L' B2,R' B' U2 L2 B2 L2 B R,B D2 R U L' U' F2 R' B' L,F2 U2 R2 D R D' R U2 F2 L' U L U',,37
B' L B D' F' U2 B D' U2 F' L' B U2 D2 F B2 D L' F R2 F' D' U R2 L',x2,D2 B2 R D' R B D,U L2 F2 L2 D B2 R2 D',D U L D' L' U R B D' L R2 F2 R,D' F U F' D F U2 F2 U F U' F U,,41
U D2 R2 B2 R2 D B F2 L2 F2 D' R' F R U2 F2 D' U2 R U L F L' F' L,x2,B2 L' D' U' F,R2 F2 L U' F2 L' F' R2,U F2 D2 B' U2 B' D2 U F2,D' B D' R2 B2 U B2 R2 D B' F' L2 F D,,36
R B' R D F2 U' B' U R F R' D2 R2 L' F R2 F R D' L2 F' U F2,x2,B' L' U B' R' B2,F2 U2 F L2 F' R' F2 L2 U2,U F2 D2 R' U' B' R U2 B R D2 F2 U',L2 D' B2 F' D' F' D B2 F D L2 F L D L',,43
