scramble,orientation,step_0,step_1,step_2,total_moves
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,L' F' D' R' U' R' B' L2 B2 L,F D' R' D2 L D' B' U' F' U2 B' L U L' B2,F L F L' F2 L2 B F D F' D' B' L2,38
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,F2 U B2 U2 F2 L' U2 F' R D2,R' F2 D B R2 B' D U L D2 F2 U' F2 R,F' U' F D2 U2 B' U B D2 U2,34
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,B' U R2 D' R' F D' B D',B F L2 R' F2 R F' L2 B' U' B F' L B' U,F L' D' L2 D F L U L2 U' F2,35
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,D2 U B L2 D' B U2 R' D',L D' B F' U' F2 R2 F' U F' R2 D F' D' B' D',R U2 R F2 D2 B' F' D R2 F2 U' B' F,38
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,L' D R' F' D R2 D B2 F D B',L D R' D' L R2 B' D' B R2 D R' D' L2,B F D B2 F2 R2 U B' F R' D2 R' B2,38
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,F2 R' D U2 B U2 L F' U R',D2 L2 D R2 D2 B2 U' B2 R U2 R D B2 U2 R D',L2 F' R2 B2 L2 B2 R2 F' L2,35
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,D L B' R2 B2 L' F D L,U' L2 B L2 B2 D B2 D F' D' U2 B' U' L R2,B D L D U' F' D' F' D' U L B',36
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,U' L2 D' B R U' L2 F R' B' U2,R' F2 L2 F' R' D R F2 L2 R D L' F L' D',F U' R2 B2 L2 D' B2 R2 F,35
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,R2 D2 R' D B F' D2 F' U2 F,L D U R B2 L B2 D' R U2 L' B D U' L2 R',L U' F' L' F2 L U F' L' F2 L F,38
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,F' L' B2 D' R' D R2 B L2 F',D2 L B U2 L F2 L' R' F2 U2 B' D2 B2 R B2,L' F2 L B' F' R2 B2 D B2 R2 U B F',38
