scramble,orientation,step_0,step_1,step_2,total_moves
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,B' F2 L' D' U' L' D F R D2,U' F R F' R2 U' R' D B2 R' D' U2,U2 B D B D R2 F2 D F' D B U2 B L2,36
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,U L' R' U B' R2 U2 R' F2,R' B L2 D' L2 R2 U R2 U' B' F R F' R,,23
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,B2 U R F2 R2 F' R2 D B' F',U2 B2 F2 U' R B U2 R2 D L U B2 D B2,U2 B D B D R2 F2 D F' D B U2 B L2,38
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,L' F' L2 R' B2 D B D' R2 D2,L' D2 F2 D2 U R' D L2 D' R U2 R' U L,F D' L' D L2 D' L2 D F2 L' D F2 D' F,38
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,R' B' F2 L' D F U' B2 L' U B',B2 U' B2 R' U F R2 D' B F' R2 B,U L' D F U2 R2 D B D' R2 F D' U L',37
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,U' R' U' F' R2 U2 F' U',L' D2 U2 F' U F' U' F' D' F' R2 U2 L' D,U2 F' L' B' R' U' B2 L' D2 L' F' L B' L2 U,37
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,L2 D R2 U2 B' L' U2 R D U B',U2 B2 U2 B2 F' U2 R B' F R2 D' R2 B U2 B2,L' R B' U' B R' F2 L2 D' L D L F2 L,40
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,L' D B' R2 U' L2 F2 R D',B' R2 B2 D F D' L' R2 F2 U R U' F' D2 F2,L' B2 U' R U B' D2 F' L' F' L F2 D2 B' L,39
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,F R U F U' L2 B2 L U L,B' L' R F L' R B2 U' L2 B' L B R2 B F2,F' U F R B L U' L' B' R',35
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,B2 D2 U R F2 R' D R' D2 B,F' U2 R U' B U B U R2 U F D L F' L',D R F R' F' R' B R' U' R B' D' R,38
