scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F L D2 R2 U D' L' F B R' F' D' R' L' U R' D L2 B F2 R2 L' F',x2,B' F2 D' L F U2,L' B L B2 U2 B D B2 D' U2,B2 U2 B D2 U2 F' D2 B2 L F L',F D F D' F D F2 D',F U F' D' F U' F' D,43
F2 D L2 D U' B2 U2 R' F' R2 F' U2 R B L U L2 R U R2 B',x2,F2 D' R B2 R',B2 R2 F' R B2 U' R' U R2,D' U B' R U B' U' R' B' D L2 U',R U L' U' R' U L U',D2 B D' F2 D B' D' F2 D',43
L F2 L B D2 L2 D2 B' L2 R' F2 R L2 U L D2 R2 L2 U B L' U B,x2,F D' F L R2 B,D2 F2 U' B2 F2 R2 D' R2 D2,B' L' B L F2 R2 F' R2 U' F' U B,U2 F' L' R U2 L R' F' U2 F,F2 U R' B2 R U' F2 U R' B2 R U',49
R' U2 R D L R D F' L2 R B2 F2 L' B R L2 F' L R U' L',x2,B2 D R F R B,R' B2 R B2 D2 L' D2,R2 U' F D' L' D U R2 D' L2 D,D' L' F' L F D,U R' B2 R U' F2 U R' B2 R U' F2,42
U2 D' L' F B L' F' L' B' U2 R D' B F L' B L' R2 U2 F,x2,L2 D2 F' L U' F,B2 L' R' B R D' B L,D2 U2 L U L' R B' R' U' B2 D2 U',L D F D' F' D F D' F' L' F',L2 D2 L U L' D2 L U' L,46
L' F2 D L B' F' L' U' R2 U F U2 L' F' L' R' B F2 D' R2 B2 U' B' L,x2,L F R2 D' L,U L2 U' L' R2 U L2 U2 F R2,F U B' L F' L2 B L' B L2 B U,L B R2 D' R2 D' R2 D2 R2 D' B' L',D' F U F' D F U' F',47
B2 F U' B2 F' L2 B U L' U R U2 L' R2 D' B U2 F2 L B2 R' F2 D,x2,R' F' D2 F' R,B D B' L B' D' U B U',D' B2 D2 U2 B' R' B R F2 D' F2 U2,F R2 B U' B L2 U B2 R2 F' D,D' F U F' D F U' F',45
U' R' D2 R B' L D2 R2 L' B' U L2 U2 R' L2 B2 U R2 U R2 L' D' B D2,x2,U' R2 D2 B' R2,R F' L2 R2 F' L2 F U' R,U' F L' U2 F2 L' D2 B2 R' D2 F U,D' F U L2 F L2 F' L2 D U' F2,D2 B D' F2 D B' D' F2 D',46
L B2 D2 L U D2 L' D2 L2 D B2 U' F D2 R F' B U' D R2 D L B',x2,F2 L2 D' L' R2 F2,L' B2 D' B D' B2 D' L' B' L2,F2 D2 B2 U L' B L D2 U F2 U2,F' L2 D2 L U' F' U F L' D2 L2,F U F' D' F U' F' D,46
R2 F2 R' B2 F' L2 D' U' B' R D2 U2 R B U L2 U B2 L2 U2 D B' R2,x2,F2 L R D B F',R F' R U B' U2 B F R2,F' D B' R F2 D2 L' F' D2 R' B' F' D',L F D' L D L' D F' D' L',D' F U F' D F U' F',46
