scramble,orientation,step_0,step_1,step_2,total_moves
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,L' D U' B' L' D U' B R2 F',U' L' F L U' L F2 L' F2 L' U2 F',L' B' L' D' F2 R' U' B U R F2 D L2,35
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,U2 R' F U' B D' F' D' B D',U' F' U B' L2 U L2 B U' F,D2 L' B D L' D L D2 L' B' L2 D2,32
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,L' B2 D' F' L2 U2 B2 U2 F',L' U L2 U' F U' F' L2 U2 L U' L,B' L2 D' B D L' U' L' U L' B L',33
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,R2 U' B2 F2 R2 U2 L' D R' U',R' D2 U L2 D2 U2 L' U R2 U' L R',B' D F L F' D' L' U B D' U' B D,35
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,L' R' B2 U L B D2 L D2 U,U2 L2 U2 R2 F2 R F2 L U' R2 B2 R' B2,B' U B' U2 F U B F R D2 R F' R2 F',37
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,U R' B L U R' B' D' L U F',L2 F U2 L U2 L' F' U2 L',F2 D2 L2 B' R' B R U R' U' L2 D2 F2,33
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,L' D' B' R B L U2 F2,U B2 L2 U' L B' L' U L2 B2 U',D B D' B' D' U F2 L2 U' L' B' L' F2 U' B,34
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,D F D' R B2 L R2 D' U',U' F' L2 B' F U' B U2 L U' L',D2 L' D2 B D2 L D' B' D B D L2 B' L2 D2,35
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,U' L F D R2 D' F' R B R2,U B R U2 B U2 F' L2 F R' B' U',F2 D2 B' U2 F2 L D2 L' B2 D2 B U' B2 U' B2,37
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,R F2 U' L2 D' B' R B' D',U' L B F' L2 F L B' U2 L' U,L B2 D' B D2 U B2 U F' D' U2 B' U2 R2 U2 L',36
U2 L B D' B' U R2 B2 F' R U D2 F L2 B' L R B' F' D' L R',x2,F2 L2 D B F2 L' B' R2 D R,F' L2 D L' B D' B' L D' F,L2 U L D L U2 L' D' U2 L' B' U' B L2,34
R2 U2 F L' B L' B' U2 F2 U2 D F D R' L U B D2 B' U',x2,R2 B' L F' D F L R U2 F',L2 F' L2 D' L B' L' B L2 D L F,D U2 L2 B L B' L U2 R' F R D',34
U2 L F' L F' B2 R U' F' B2 R' D U' L U D F' U F' D U' F' D' U',x2,L' R' B2 F U2 R' B L' R',F' L' B' U2 R2 F R F2 R U2 B F,F U2 F' L' F L U2 L' F' U' L U,33
B F' D2 F' R B' F L B L' D2 L2 B' L' B F' R2 B U2 F2 D U,x2,U' B' L D' L D R' B L' F2 D2,D' B D U B U' L' F' L2 B' F L',L U R2 D U2 L' D L' D U2 R2 D U' L',37
B2 R' F2 R D2 B2 R U' F2 L2 U' D2 B' D' L2 U F U' D' F D' U' R2 D R2,x2,U B' R' U' B2 R U L2 D' F2,L B U L U' F U' F' U B' L',D U2 L2 B' F U F' U B D' B2 U' B2 U2,35
B F' U2 L F' R' U' B' R2 U2 F2 B U R' F' B2 D F U R U' L D' B',x2,B2 U L2 B U L F R2 F,B U B' D' L' B' L B' U' B' D L,B' L U B D2 U R F' R2 F2 R D' U2 L' D',36
F B2 D' L' F2 B2 U' B L B' D F' R2 B D L U2 L2 U F' L2 F' R,x2,L' B' U R2 U2 B L' B' F D L2,U2 B2 U' B2 D L2 U' F2 L2 F' L2 F2 D',B2 L D2 B D L' B' D R D2 L2 D' R' B' L',39
R2 D2 U F L B2 U' B D2 B' F2 R2 L D2 U' F2 L2 R2 F B' L' B D2 U,x2,D U L' D2 U2 F D' B R2 U',L U2 B2 R2 F2 D' R F2 R B2 U2 L2,B' U B U B2 L B2 R2 B' L' B R2 U2 L B,37
F2 L2 D U R2 B' D' R' L2 U2 L' F2 B2 U' L' F2 B' R' F2 U B L R B2 R2,x2,D2 R D' F' U2 B' U2 B' U' F2,D L' R' D' L' D R B L2 B' D',B D U2 F' U' F2 L' U L D' U2 B' D2 U R2 D2,37
D2 B2 F2 L2 F2 L F' R2 L2 U2 F' R' F' L' D' F U' D2 L' D' L2 D2 B F,x2,U B F' L2 B2 L' D R' B F',D R' F L2 F L2 D' L D R D' U2,L B' L2 D' B' F L' B' F2 D B F2 L F' D L2,38
