scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U' D2 L2 R2 F2 L U' D2 F B2 R2 U F' U2 F2 U' R D2 B' F' R' F2 R',x2,D2 L2 F R B D',L2 F2 L2 U',B U' R' D' B2 D2 B2 R' D R2,D L2 R2 F L2 B L2 U2 R2 F L2 D,D U' R' F R' F R F2 R' F2 R2 D' U,45
B2 D2 B' U F B' D2 R2 U' D2 R' F' U' L2 R B' L2 B2 D F U' F D' B' F2,x2,F D L F2 D2,L F U' L',F2 L' F' D F D' F2,D L' B' R' D2 B' L B2 F R F' R D',L2 F' R' F L' F' L' R F' L F' L' F2,42
F2 R' U D2 R B F2 L' B2 F2 D' B2 F' U2 L F2 D2 B2 R2 L B2 L2 U2,x2,U2 L' B' F' D2,F' L' F U',L2 D L R2 B L B U R2 B2,B' L2 R2 F' U L' U' B' L' D2 B' D2 B R2,L F R F' L' B2 F' D2 F2 L B2 R' U2 F',47
F2 U' F' D F2 R2 F L' R' F2 R B R D2 U' R2 L B2 L' F L' B2,x2,D2 L' B R D',L F U' L',L2 D2 F R D' R' F' D' L2,B2 R' D R B2 R F2 U F2 R',F R' B2 L D2 L D2 F2 L2 B2 R' F,40
F R B R U D R' B L R' B2 R U' D' R2 F B' R B2 U' R L B' D2 B',x2,L2 U2 L D2,L2 B' U2 F',R2 U B2 L2 U' L' R2 B L',D2 B2 U' B' D' L' D' B L' D L2 D' U,F2 L2 D L2 D' B' U B2 L B L' B2 U' B F2,45
L R B2 L2 R D F' L' D2 L2 F R' L' F' R B' U2 D L2 U' R2 B2 D,x2,L' B D2 U L2,B' U,L' B2 D' L' D F' L2,R' B' L' R U2 R F2 L R2 B F2 R,B D F' U' F' U' F2 D' F' U2 B F2 L' B2 F',41
R B U2 B' R2 L B' R2 B2 D' U' R2 B2 D2 U R2 D' U2 B U,x2,U2 R2 D L' R,L F L' U2,F2 L2 F L B L2 F,D2 R' B R' D' L U' L' D R2 D2,B L D' B L' B2 L' B D2 F' D' U B' U' F,42
F L2 U2 F B' R L F' U B F2 U2 L B' R' B' U2 B' F U',x2,U2 L D B' D2,U',U' F' L2 U L B U' F U,D U2 R' B' U' B R' D' R2 U' B2 D' B2,D' L D2 L' R' D' B F2 R B U F2 L2 B2 D2 R,44
F2 U' R2 D' R F' B2 U2 L B' F' L' F' R' B2 U' B R' F2 D R2 F2 D2 B2 L,x2,B R B2 U' L,U' R B' R',R2 U R2 F D2 F D F2,F U R' D B D B U' L' B' D2 F',F' U' B2 D' B' U' R' U' R2 B' R2 U' R' D F,44
R2 F U L R2 F D U2 F2 U' F2 R2 L B2 D2 F B D' R F2 R2 L2 B U',x2,F' R2 B2 L' D2,U2,D' U2 R' D B' U2 B',D2 L' U2 L R' U R B' L' U2 L D2,D2 R' B2 U2 B' U F' R2 F' R' B2 D2 U2 L' U2 B,41
