scramble,orientation,step_0,step_1,step_2,total_moves
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,L' U B' L2 D' R U L' F D,U B' R B2 L2 R' B U2 B U B2 L2,B L' D2 B' F' R2 B R' F D2 B' L B2,35
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,B L F2 R' D' R2 D' L',D' R' B' R' F2 U' L F L F L2 R' D R',U L' B2 U B L' B' L R' U2 R2 B' R' U' L,37
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,R2 U F' R2 B2 L' B' F2,B D2 R D' F' L2 F' D R' D2 B' L2 B,R D L D' B D' B' D2 L' D' B' L' B R',35
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,L2 U' L F2 R' F' L' F2,L D U' L2 D' B' U' L U' B R B L2 R',B2 D L2 B F' D2 R' B2 R' B' F D,34
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,D' F R D' B' D' L' D2,B U F R B U' F2 D B' F2 R' B' F' U2,U' F2 D R' B2 D B D2 R' D' B R2 F D' F,37
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,D' L2 U2 F2 U L R2 D R,B2 U2 R B R' F U B' F' U2 B L,L' B U B' L' B' L B2 U' B' L U',33
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,R2 F D B2 D R' F' L' U,D' R' B2 U' R B2 R' U2 B R D B2 L,B U2 B U' B' R D' R2 U' R' D R2 B U',36
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,D2 L2 R D2 L2 U' L R2,U2 L B2 U' L' B2 U' B L' B2 U B',F' U' L2 B L B2 U B R B2 L R' F U',34
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,R' F' L' U R' F D U' F2,B2 F2 D U R' D U' B D2 R B2 R' F2 L',L' U R B R2 U2 L' R B L B' U' B2 L U',38
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,L' F R D' B' U R2 D2 B2,F' L F R B2 R2 F' R' F2 R' D R2 F R,B2 D L2 U L2 D' B' L' B' L2 F' L F L2,37
R2 B2 R' B' L D' R2 U2 R2 U B' R U F L' U' D2 L' F L2,x2,D2 F' U2 B' D2 R' F' L' B,B D' B R' B' U R' U2 R U R B D,L F U' F' L' B U R B R2 U R U2,35
U' D2 R2 D' R' F' D' L B F L' R F' R2 B' R' F2 D L' R U' F,x2,L' F R' U B2 D2 U' F' U,D' L U R2 B2 L2 R' D B' U F' U2 F',U2 R F' D2 F R' U2 R F' D2 F R',34
U2 B2 R' F2 U2 L2 R U' F2 D2 U2 L' R2 F2 B2 R F2 R' B' R,x2,F' L2 B2 R' U B2 R U',D2 R2 U' F2 R' U' B' D' R D' L2 U F',R B' F D F2 L2 F2 D' B F' R' B2 U2 B2,35
R2 D R F L B' L2 R D U2 F' R D L' U2 B2 R2 F2 U2 L' R2 D' F2 B2 R,x2,R2 B U F2 L B U' L F,D L2 U2 L D' U L' B' U2 B' L2 B' L',F L' U L B F' D' L' D B',32
F2 U F2 D2 L' U' F' B' L D L2 B2 F2 R L D2 B R2 U' D' L U,x2,L2 B D F2 L' B2 L' R2 F L2,B2 L2 B' D L D' U2 L' U L' U2 L2 U2 L',R U' B' U2 L U B U B' L' B2 R' U',37
B2 R2 B F R F R' F' U' D2 B' F' L2 R U' B' L2 R' D2 B' U2 F',x2,R' D2 L U' L2 D R2 B R2,R2 B' U F' U B2 D' U2 F' L' R D L F2,L' R D' B' D2 L' D' L2 B L' B' L B' R',37
U L2 U D' R' D2 U F' D2 L B L B2 L' D L' D R' U2 F2 U' F',x2,D' L2 B U' F' R' F' U' L2,B' U' B R' U R2 D2 B D2 L2 B' D2 R',B L' D2 B' F' R2 B R' F D2 B' L B2,35
L B2 U B' U' L B' R B2 U2 F U' B F2 D2 L' R B L2 D2 R B2,x2,D' F D' B' D U L' D2 L2,B2 L2 D' R2 B' U2 F' R2 D2 B' L' F' D',B' D' F2 L F' R' F L' F2 D B R' U R,36
R2 B U' B' D L R D2 L U B' U R' F' L' F' U L' R2 B' U B U,x2,F R F L' B R' B R2,D2 R' U2 F' D R' D B U' L' D F' L' F' D',L U' L' D2 L F' L' D2 L2 D F D' L2 U,37
L F' D2 B D' U2 R' F2 D U2 F R' B2 R' F2 R2 D2 U R U' L2 D2 F2 D2 U,x2,D U R' U' B2 R' B R2 D2,D F2 U2 L D2 U B2 U' B D2 U2 L' F2 D' L',L U F L2 D2 B D' L' D R2 D2 L2 B' U,38
