scramble,orientation,step_0,step_1,step_2,total_moves
B' L2 R B' L' D' L2 R' F' B' D2 L' R D2 L' F L B R2 B' D B2 U2,x2,L' B' F2 L F' L2 U R D',U L D' L D2 U' L' D F D2 L' F2,B U2 B' R U2 B' R2 F D2 F' R B U2,34
R' U2 D R D' F' R' F R U B D2 F L2 D' F2 R U2 B R F U' B' F,x2,D' B' L R' B U2 B' F2 U2,F2 R' F' D F2 L2 F2 D' L2 R F L,U2 L' D U F' D' U L U2 L U2,32
L' F2 U2 R' L B U L2 B2 D R D L' B2 D2 R2 D2 L2 B' R D',x2,F' L U2 F R' U F' L2 U,R' D2 R B' R U2 L' R' F2 U2 L' B,F' R' F' L' F2 D2 B R' D' B R B2 D' R,35
F2 R D U R' U' R' B R' L D R' U L' U L' F' B' R' F' U,x2,L U' B2 F L U' L2 R B,D2 L2 F' U2 R B2 U R' U F L' D2,R2 D2 R' D2 L' F2 R2 F2 L B2 R' B2,33
B' D' F' L R2 D' L' D2 B R' D B2 F' D2 B D2 U L' R B D2,x2,U2 L U B L2 R B F,R' F' D' B2 F R' B' R D2 B' F2 R F2,R' B D R' B2 L2 B2 L D' R D2 L' B' R,35
D L D' B D2 L2 D F2 U R' F' U' D' L D U' R2 B2 L2 U' B2 U' R' D F,x2,U' R2 D' F L' R2 B U' B2 R,F' L D2 B R F R B' F' D2 F' L',R' B F2 D F' R' D' R F D' B' L2 F2 R,36
F' R B D B R' U2 R2 U2 L' R' F' R F L' F B2 R' D R2 U' B',x2,F' D B2 U' F' U2 R' F D,R B' U2 B' U2 L' U' B2 L2 R' F,B' D2 B' R' B D2 R' F2 L2 U' L2 U F2 R B,35
R2 B R2 L' F' D2 R F B D' R B' U2 L2 D2 U2 B2 F' L' U R' U2,x2,F2 R' F' D2 B2 U2 R2,R2 D R D R2 B' R' U F' U2 L' U,R2 D2 F R' B' D F2 U2 F2 L2 D' B R F' R2,34
D2 U' B' L' B' U' R' F' U' B2 F2 L' D2 F2 D' F2 L' D U2 R2 D,x2,R D' F D2 U R D2 U',U2 L' B2 L U F U' B2 R' D' U2 R,B' U' F L2 F' U F2 D2 B' F2 R' B' U2 B' D2,35
U R2 U' R' F2 U' B' D' R U2 L' D U L B F2 D R' B L B F' D L2,x2,B U2 F' U2 F' R U R2,F' R2 B' R' U R' F' L' F U F,U2 L' D' B2 R2 U' B' D2 L' D' L2 B' L U L U2,35
