scramble,orientation,step_0,step_1,step_2,step_3,total_moves
F D' R2 D L D2 U2 R' F' R2 U' F2 L2 B D R' U2 F' D R' F' U,x2,D' U' F' U' B' L U2 B2 D',U L U' B2 D2 U' R' D2 U B2,D' L D2 L U' L' B2 D' R2 D B2 D2 L' D,U R' B F2 U F2 U' B' R2 U' R' D R' D',47
R L2 F2 D L R F' D2 L' U2 L' U' B L' R F D' L2 D L F2,x2,F' U L U R F' D' B' F' R,B2 R2 D2 U' R D2 U F' R2 B2,D L2 U2 L2 B' R' D2 B L' F' R2 F' L D',D' B' D' B' D B D' R2 B R D' R D',47
L2 R' D' L' B' D R' U' R' D' R D F R L2 D' R2 D' U' R' F2,x2,D R2 F' L2 B R2 U L U2 B2,U' B' U2 F U2 F U B L' F' U,U R B' U2 B2 F2 U' B' F L2 F R' U',R2 B' D' R D' R' D2 B2 L B L' B2 R2,47
R' L B' R' F' U R2 L2 B2 R' B D B2 D F' B2 L' D U R' L,x2,B R' F2 D2 R2 D F U' B' U B,U' R D' L D L2 R' U,R' F' R F' R2 D2 L D L' D R2 F2,B' U F D2 F D F2 U' B2 L B L' B2 R2,45
B' U' L2 R B2 L2 U' B F' R F R D R2 L' D2 B' D' R2 L2 F',x2,F2 U2 R U R B2 D R2,B' U B U2 F L2 F2 L2 F' U,B' R2 D F D' F' R2 B,F' U' B F' L2 B' F U' F,35
R' F' D2 L D' B2 F2 U D' F B D R2 U F' D R D2 L' R2 U2 D L',x2,F U L2 B' D' B' F R' D U',F2 D' U L' D U' F',D' U2 F' L' F R U R' F' L F D U2,L' D' B2 U2 R D' R D2 U' B2 U2 L' U,43
L R' F D' F' R' D' L' F D U F' U2 L2 D' F U' F' D2 U R' D' R2,x2,F' R U' L' D R2 B D2 L' D' L2,L' D2 L D' F' L' D' L F D',B2 U' B R B' D' F' R F R' U B2,L2 U F' R2 F U' L2 U F' R2 F U',45
L2 B L' U2 B' D L D' U' R' U2 F L2 R2 D2 B2 R D F L2 F' L',x2,U2 B L2 B2 F L F' U2 R2,U' L2 D F2 L U L' D' L2,L' D F' D' F D' L' R2 F2 U' L2 R2 B2,R2 B2 L B' L' B2 D2 R D R' D B R2,44
U F B D' U2 B L' B U L' B' R U2 B U' B2 U2 D2 F2 R' D2 U2 B,x2,L U2 F D2 B2 U B' F' R' U',L2 U' L2 D B' U' B D' U,D U B D' F' U' F' U F2 D B' D' U',R U' B' R2 D' F' R2 B2 L2 B' R' F' U' F2,46
B' F' L U R F' B D B R D2 B' L D B D2 F' D' L2 R B U L R2,x2,U B L' F R2 U B' L' D U B',B D U' B D' B' D' U B',B L2 U2 L D' F L2 U2 B' F R F' U L' R2,B D' R2 U' B' U R2 D' F D' F' D' B',48
B R2 F2 R2 F' R2 U2 R L U2 B D2 L' D2 U' B R2 B' F' U2 L2 R D,x2,R F U' L R F U L2 D R',B' R' B2 F' D B2 U' R B U,R B' F D F' D' L' F' L B R',L U' F2 L F U' F U2 L' U' L' U,43
L D2 F2 U' R F' B' R L2 F2 U2 R2 L2 F B U' B D' L' F' R2 F' U R F,x2,R' F' U2 L' D' R F' R U B2,B2 R B R2 U R U2 B U,B2 L B L D2 L' B' L D2 L2 B2,D L2 D2 B D B' D L2 U' F D' U,42
F2 D2 F2 D2 R2 F2 B L' R' B R U F2 L F2 L' F L' R B D' B U2 R,x2,B F L' R2 U' F' D R2 B F',D' U' L2 B' L2 B L2 D L' U,B' L B' L2 U2 L2 B L' B R' F2 R,B' D' U2 F' D F U2 B' D B2 U2 F' U2,45
L2 D' U F' L' R2 F' L R' F' L' U F' U2 D R L U D F2 U2 D2,x2,D2 B F L2 D' U B R' F' U,L' B2 R' B U R' U2 F' U' R2 B,B L2 F' L' F R' F' R U L' U' B' U,D' U2 R U' R B R2 U' B U B' U' B' D,48
L2 D L' F' B D' R2 F2 D2 R' L' D2 U' R2 L F' L U L D B,x2,L' B2 R' F R2 F U R' B2 F,U' L2 F' L2 F L F' L F U,R' D2 B' L2 B2 F' L2 B' D2 F D2 R,D' B' D' U R2 D U' B' D,41
L2 B' D B L' B L D L D B' L2 U L2 D2 U' L' U' B2 U D2 B' F2 D',x2,D U' F' U B' F2 R2 B' D2,U' R D' L D R' U,B' R F' R' B R F R',U2 F U2 F R' U2 R B2 L' B' L2 B' F',37
R' F R B' F D2 L' B R' B2 L2 B U' B F U' R F2 U2 B2 L2 R',x2,D U B L' B2 U' R B2 D F',L2 D U' B' U2 B D' L' U L',U R F' U2 B' F R2 D B R U' B2 D' B2,U2 F U L2 D2 B D B' D L2 U,45
D2 U F' L D2 R L' F' B D R2 F2 R2 F' B' L D2 R' B' F2 U' B' L U2,x2,R' B D F' R2 F2 L2 D U,U2 F2 D F D' F U2,U R2 D2 B' F2 L B F2 R' D2 R' U',D2 L F2 D' F D F L' D' L F L' D',41
B' L2 B2 R' L' B D2 U B2 U2 F2 L2 D' R L2 B' D' B' D2 L' B F' D2 U' B',x2,U2 L2 F' U' R F2 D' B F' L',D2 U2 F' R F R' F D2 U L U,R B' D R2 F' R' D' F2 D F R' D' B R',B' R' B' F D2 B F' R' B,44
D' U2 F' L F2 L' U2 B' R' U L U' D R' B D' U' B2 R F,x2,D' R2 F D' B2 R B' L' U' R2,R2 D' L' D L2 F' L' F L' R2,U R B F' U R U' R' F' U2 B' F2 R' U',D' B U B U' B' U R2 B' R' U R' D U2,48
