scramble,orientation,step_0,step_1,step_2,total_moves
F L D2 R2 U D' L' F B R' F' D' R' L' U R' D L2 B F2 R2 L' F',x2,U' R U' B D' L' R U R2,F2 U' R U F2 L2 R U2 L2 F2 R' F,U2 F D' L2 R B L R' U' L D F' U2,34
F2 D L2 D U' B2 U2 R' F' R2 F' U2 R B L U L2 R U R2 B',x2,L2 B F2 D U2 B R2 U' R',D2 B D' F D B' U2 R D2 U F' U F',B' L' B2 D2 U B D U' L' D B2 L B,35
R' U2 R D L R D F' L2 R B2 F2 L' B R L2 F' L R U' L',x2,B2 D' F' U' R' B2 L' U2 B',F' L' U' F' D L2 D' U B2 F2 L,F' L' F' R' D R' B R D L D2 L R,33
L' F2 D L B' F' L' U' R2 U F U2 L' F' L' R' B F2 D' R2 B2 U' B' L,x2,D F' L2 D' L U2 R2 D2 B,F D2 U' R B U2 B' R2 D2 F' U,F2 L D' U L D U' F L' R U2 R' F2,33
U2 D' L' F B L' F' L' B' U2 R D' B F L' B L' R2 U2 F,x2,R2 D B2 R U' B R D' R2 D,F L2 F' L' D U F2 D B' R2 D2,B' F' R' U R F2 U B L' U' F2 L' F2,34
B2 F U' B2 F' L2 B U L' U R U2 L' R2 D' B U2 F2 L B2 R' F2 D,x2,B2 D2 B L2 F2 U' R D' B,U' F2 R' D B2 U' B2 D' R F' U F',U' B L2 B' L R' D F2 D' F L' R,33
U' R' D2 R B' L D2 R2 L' B' U L2 U2 R' L2 B2 U R2 U R2 L' D' B D2,x2,F2 L2 R F' U' B L R U',R' D F2 R' F R' D' B U2 B' R',B2 L2 D B D' B R2 U F2 R2 B L B',33
L B2 D2 L U D2 L' D2 L2 D B2 U' F D2 R F' B U' D R2 D L B',x2,D B2 F2 L' D L' B' D' U2,L U R2 D B U B' U F R U B2 D',B2 D B' L2 F L B D F2 D' F' D2 B2,35
L F2 L B D2 L2 D2 B' L2 R' F2 R L2 U L D2 R2 L2 U B L' U B,x2,U2 B2 L R' U L' B' F2 D,D F D R' D2 F2 L' U F U L,R2 D B' F' D2 B2 R D' U' L' F' D U' R B',35
R2 F2 R' B2 F' L2 D' U' B' R D2 U2 R B U L2 U B2 L2 U2 D B' R2,x2,F' L U R2 D2 R B U R',D R F2 D2 L' U' F U2 L D F' R',D R2 U R' F' R' D2 L D R F' L2 F L R',36
