scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B2 F2 U F2 L D' U F L2 B' F R U L F2 U B2 L D2 L' R' B2 F D,x2,D R2 F' D' U' L2 B' L F',F U2 L' F R F' L U2 F',D B2 D' B R F D2 F' R2 B2 R B2,R B' F' U' R B R B' U B R2 F,,42
R' D' U2 B2 U2 B' L B' L2 F2 R2 D2 B' F2 L2 F' L D R F',x2,R' F' R2 D' B2 U B L2 B2,D' F D L' D' F' D,B U2 R2 F' L' F L' D L' D' L2 R2 U2,U2 R F2 L F' R' F L' F2 U' R U',,41
B2 D' B' D2 B' U' B2 F L' F2 R' F' B2 L' F2 R2 F' D2 U' L U' F2 R,x2,L2 D2 F2 U R' U2 B' F2 U,B' F L' B L F',B L D L' B' D L F L F' D2 L',D B' D L' D L D2 B2 U R U' B' D',D L R B2 R2 B' R B R B2 L' D' R',53
B2 L2 D2 F2 U' L2 U2 L' F' R' U L B2 U' F R U' B2 U2 D B',x2,B F2 R B' D' L F' U' R2,D2 F L' B' L2 U B' U' B2 F',U' B2 U R D' R' D F D2 F' R',R B' F' U' R B R B' U B R2 F,,42
U2 L B2 U' F' D' U R2 D R2 L F2 R' F L' B' U F' U L F2 R' L B2 R,x2,B' F2 R2 B D R' U2 F L',L' F U2 B' U2 F2 D F L,U R B2 R B' F D' F' R B' U' B',B D' L2 U2 F' D U2 R D' L2 D R' B',,43
L U' L2 D' U L D' L' U2 L U2 L' B2 R' F U2 D F' L2 U2 R L D' U' R,x2,F D' B F' U L2 F' U2 L2,L D' U' F U' R2 D U2 L',L B' U2 R F R' B F' R' B' U2 B2 L',U F D' F' U' F D' L B' L' D2 F',D L R B2 R2 B' R B R B2 L' D' R',56
L2 R D U' B R U B2 F2 D2 F2 U' R L2 D' B D2 L' U R2,x2,D B2 R B' F2 U L2 R2 D2,L2 B2 F' D2 B2 F L2 U R' U',R' B2 R F D B D2 B' D' F',F' R' F U' F' R U' R' U' R U F U,D L R B2 R2 B' R B R B2 L' D' R',55
L2 D2 U2 F2 R B L2 F' B2 U2 L2 U' B' L' B R2 D' R2 U' B,x2,R' F' L2 R B' D2 U2 B,F2 L' F' U B U' F L F2,B R2 U R F2 D' F2 R' F2 D' F2 U',U R' D' U R2 B U2 B' R2 U2 F' R2 F D,D L R B2 R2 B' R B R B2 L' D' R',56
R D2 R U L U' D2 L R' F2 U' F2 B' R' D2 F' D R F2 B2 U F',x2,R2 B L B U' R2 B' L R2 U2,B2 F' D2 B' F L' B L' B',R B R U' L' B2 U' L' U L B U,U' B2 D B D' B2 U B' U R U',D L R B2 R2 B' R B R B2 L' D' R',55
U2 B' F2 D' L R2 B' D U2 F2 U' D2 L' R F2 R2 U' F L B U' F' R2,x2,B' D L' B U' B' F' U' R,F' R2 U' R2 F2 D' F',D' B U R' F' R D' R' D F D U',B' F' D B D2 F L2 U R B2 U' B' L2,D L R B2 R2 B' R B R B2 L' D' R',54
