scramble,orientation,step_0,step_1,step_2,step_3,total_moves
B' U B2 R' D L' R' U2 L U L U2 B2 D' F D B F L' R2 U R' L2,x2,B2 U' F' U' R2 D' B,U L' F L U' R2 D R2,B D' R2 U2 L B L2 U2 B R B2 F L2 D,R D' B2 D B R D' B' D' B2 D B R2,42
L2 F D B' U F2 D' R U F' D' L2 R' D B2 L' R' F U' B2 U2,x2,L2 D2 L F R2 U B2,R' F2 L' U L2 B L' F2 D R',L2 F' L2 D2 F' L2 R2 F L' R2 B L D2 B,D' B F' R2 B' F D',38
L' F' B R L' D2 B' R B' U2 R D L' R D U B' R' L F D L2 D' F',x2,B' D U' F2 D2 F R',U B2 D R D' B' D B' U',L2 U2 R U' R' U F2 R2 F U F U L2 B2,L U B2 U L' R B' L2 R2 U2 F' L2 R,43
L2 B2 U' B L' B2 R' B L' B' F U F2 L' F L' U2 L2 B F,x2,R2 F' R U' R2 F',F U' B2 L' U B D2 F' R',U2 B' D R' U R U' B' R' B' R2 D' B U2,U R2 F' D2 R2 U2 B' L2 U,38
L' U2 R2 U2 F R F' L' D2 R2 U' B' R2 U2 B L D B' F2 D R U',x2,D R2 D L' D R B,L R B2 R D2 B' D2 L' R2,B F2 L' B L2 F2 D' B2 L B2 L2 B2 L B' R2,B D B2 F2 U' B' U B2 F2 D',41
F U' L' U' F R2 D2 U L' B' D' L2 D R' D2 F' L F' D2 R2 L2 F2 R2 L2 B,x2,D2 F2 L U' R F' D F2,F' U' L' F L' F2 L F' L U F,F2 U B D F' L2 F L D U L2 D2 U' B' F2,D B' U' B' F R' B' F D' B' F L' F D',48
B' L' B D B' R' L2 F2 U2 L R' B2 U L' D2 L' D2 F2 D R' F R' U' D F2,x2,B U' L' R' F' U B2,U2 F' L' F R U2 R B R2,B L2 B' L' F' D' R' B L' R2 U B' L' R' U,R2 B D' B2 D2 B2 D R' B' U' B2 U R',44
U' F2 D B2 R' D2 F B2 R L D2 F' U B R' L2 D' F' B2 U R2,x2,B' F' R B2 R2 B' U2,F2 R' F2 D' R D' B' L' B D,F' L2 B2 F' D' L2 B2 F2 L2 F L B2 D2 B L,R U2 L2 B' U2 R2 F' L' R U F2 U' L,45
L' F2 U' F2 U' L2 D2 F R2 L2 B' F' L' D' B U' F' R' U F' L2 R2 B,x2,F' U F2 R B' U2,L F' U2 R B' R' U' F L',B' F L' R2 F' D' L' D2 R2 B F' D2 L D B,D' B F' R' B R' B' F D B' D2,41
F' L R B R L B F' D' U L' D B' F' U2 B2 U B2 U' F,x2,D R2 D2 L' D F R',U2 F2 R' F2 D2 R U' F2 U' L',U B' D R' D B' U' B2 U B' U2 B D2 U R' B,L D' L2 B2 F2 R2 B2 F2 D L',43
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,D L F U2 F2 L2,F2 U L B' U' B U' F2,D' R' D B D' L2 R D' L2 R' D' R D2,L' B2 F2 R B' R' B2 F2 L B,37
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,F L' U2 F2 D' B2 F,D2 B2 R' D F' R' B2 U2 F D2,D R2 B2 R' D' R B' D R B' D' R B' R,L U' B2 U' L' R B L2 R2 U2 F L2 R,44
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,U B2 R' U B2 L2 B,U2 B D U2 R' U2 B' U2,B' U R2 U R' D U' B' U' B2 D B2 D2 B,B D' B F' R B' R B' F D',39
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,L' B2 F' U' L' F',D B2 D R U B2 L' D' L U',U B' R U B U L2 F L' F2 U' F2 L',U' B2 U L' R B' D2 B L R',39
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,D F' R D' L' F R',B2 D L' R B' L U B2 U',F' R U2 R2 B' R2 U2 F D R D' R2 B' R,B D' B F' R B' R B' F D',40
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,F D2 L' B2 D F2,U' F U2 L' F2 U2 F' L U' L',F2 D' R D2 L2 D' L D F' R2 D2 U L' B,B D B F' R' B' R' B' F D,40
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,D B R' F R' F,F2 L' B2 F' D2 B' F' L' B' L,D L B' F' R F' U' B' D2 U B2 F D2 U2 L',D B F' R B R B' F D' B' D2,42
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,L' B F' R' F2,R D' F' L2 R U' L' B' L' F,D' L' R2 F' L' D' L2 D2 U2 B U F R B2 F',D R D U' B2 D' U R D',39
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,R B2 D2 R2 D L2 F,R' U2 L' D L B D B' U2 R,U L2 D B2 F2 D' B F' R' B' D B2 F D' L2,D B F' R B R B' F D' B' D2,43
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,R2 B' U' F2 L' U2,R D2 R2 D2 B' D' B R2 D R',F2 U B F2 D U2 R D' U' B' R2 D B2 D' B' U',B U' L' R B D' B L' R D2 L2 R2 U,45
