scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B' R2 L B' L' B' D2 U2 F2 B2 U2 D' R2 L U2 F' L' R U' F B',x2,R2 F' L2 D2 U L,D L' D2 F2 D2 L D' R',R' D2 F2 R2 D2 R' D2 R' F2 D2,B U' B' U F2 L2 R' U R U' L2 F2,,36
L' R' U' B R B' L U L' R F R F L B U' L D2 R2 F' L2 R2,x2,U F' D R' F' U2 B2,B L2 D2 F D R' U2 R' D L2,R' B' U2 B2 R' B' R B' U2 B,L' F L2 R2 F R F' L2 R F' L,U F' R2 F U' L2 U F' R2 F U' L2,50
D U R B D' U' L2 F' L F' B' D' F' B2 U R U L2 R' B D R' L2,x2,L2 F' U2 R D F L',F D' B' D2 B2 D R' D' B' F',L' F2 D' F2 R F2 D F2 L,B' U' L U' F2 D R' D' F2 U2 B2 L' B',L2 U F' R2 F U' L2 U F' R2 F U',51
R B' D2 L2 B U' D' L2 B F2 L2 R U2 L' D2 B R D F' D,x2,D2 R' F' D' B L2 B2,R B F R B' D F' R2,F2 L2 U' B2 U L2 F2,R' U' B D' B U R2 B' U' B2 U B' D R,L2 U F' R2 F U' L2 U F' R2 F U',48
R2 B F R2 F' R2 D2 U' B R2 D2 F' B2 D2 F' D' R2 D2 R2 L D' L',x2,B R2 F U R U',B' L' F2 D2 L B2 F2 D F2 D' B',D F' L2 R2 U' R' U L2 R2 F D',B2 U B2 L2 U L2 B2 U' B L B2 L' B',,41
F2 U2 F R2 U' F D U' F D2 L2 R U D2 R' B2 U' F2 R D2 R' D2 U,x2,B F2 R' U2 F' U,F L2 D R D' B R' B' L2 D2 F',R' F D' B F R B' R' F2 R2,B' R D2 B' R2 B2 L B' L2 R' D R2 D L,L2 U F' R2 F U' L2 U F' R2 F U',53
F2 B2 D2 F2 U' D R' D' L' R' F2 L' F' R' D' R L U' D' F L2 U B',x2,U2 B' D B2 L F D',F D F D F' R F' R,L2 U R2 U' L' U B2 R2 B2 U' L',B D2 R' B' D' R2 D R B D2 B',U F' R2 F U' L2 U F' R2 F U' L2,49
L R2 B U F' B R B F' D L2 B D U R2 U' L' D' R U2 F2 R D' L' U2,x2,U' L' B2 U B L,D2 R B' D F R' F' R B R' D2,F' U F U F2 L' U' L U F2 U2,B' D' B' D L2 F2 R' D B2 R B2 R F2 U,U F' R2 F U' L2 U F' R2 F U' L2,54
F2 U D B' D U R L2 D' B2 D' F' U2 L' U2 R F' L F2 B2 U' F',x2,F' U L R' U B U2,D' L' F L R D L' F' L D,D B' R2 D2 R2 B D2 R2 D,B' D F2 L D F2 U2 R U R U R2 D2 B,L2 U F' R2 F U' L2 U F' R2 F U',52
L2 R D' L2 D U B' R F L2 U F' U2 R' U' D2 F2 L' B2 R,x2,U2 B L2 R' B2 F' U B,B F' R' D F' D R' D2 R B' F,B' D R' F D' F' R D' B R',L U2 B' L' B L B' U2 L2 R2 D' F' D L R2,L2 U F' R2 F U' L2 U F' R2 F U',56
