scramble,orientation,step_0,step_1,step_2,step_3,total_moves
F L D2 R2 U D' L' F B R' F' D' R' L' U R' D L2 B F2 R2 L' F',x2,D B2 R' D' R' B2 R' B2 D' R,R F2 R B' F' L D F2 L' B F' R2,L R F' D2 R2 D2 F' L' R' F2,U2 L2 U' R2 U L2 U' R2 U',41
F2 D L2 D U' B2 U2 R' F' R2 F' U2 R B L U L2 R U R2 B',x2,D' B R' B F R2 D' B' D,R2 D2 B2 U2 B D' B2 U' B' D' R2 F',D2 B R B2 F2 L' F' L2 B F',D' F R2 B F2 U' F U2 B' R2 U' R2 D U,45
L F2 L B D2 L2 D2 B' L2 R' F2 R L2 U L D2 R2 L2 U B L' U B,x2,U2 L F D' L F R B2 L B',R2 B F D' F2 D B' F' R2,R U L' B F' U2 B' U' R' U' F L U',D2 F2 U F2 U L' U' R U' L R' F2 D2 U',46
U2 D' L' F B L' F' L' B' U2 R D' B F L' B L' R2 U2 F,x2,D' F D R' U' B D2 R2 U2,D R' B L' B U2 B' U2 L B' R D',F' D B R' U' R U B' D' R F R',U R2 D' F2 U2 B U' F U' F U' B' D,46
R' U2 R D L R D F' L2 R B2 F2 L' B R L2 F' L R U' L',x2,U B R2 D2 B U' F U' B R',B' F' L F' L2 B2 F2 D' R2 B2 U' L' B,R2 D' B' D B2 U' B' D B2 U B2 R2,U L2 R U' R' F2 L2 D' L' D L' F2 L2 U',49
L' F2 D L B' F' L' U' R2 U F U2 L' F' L' R' B F2 D' R2 B2 U' B' L,x2,L F R2 U2 F L F' L' D' L2,R2 D B2 U2 B' R2 U R2 B' D' R2 F',D' L' B2 U F' D U' R D' B2 L D,B' D2 B R B R' F' R' U F R B' D' R2 D',49
R2 F2 R' B2 F' L2 D' U' B' R D2 U2 R B U L2 U B2 L2 U2 D B' R2,x2,D' B' U' F D' L' R2 D2 F D,B2 U2 L2 U2 F' L' F U2 L2 U2 B2,R2 D' R2 B' D2 B F' R F R D,U F2 R' F2 L F2 U' L' U F2 D2 L' D2 R U',47
U' R' D2 R B' L D2 R2 L' B' U L2 U2 R' L2 B2 U R2 U R2 L' D' B D2,x2,L U L2 D2 F D2 F,F U F' R2 U' R2 F2 U' F2,D B R B' F' L2 F2 D F2 L2 F D',D2 B' R F L2 F L D2 B2 L' D2 F2 U2 R2 B,43
L B2 D2 L U D2 L' D2 L2 D B2 U' F D2 R F' B U' D R2 D L B',x2,L2 F L F L' D' L U L F,B L' B' U L2 B L' B R' F R B2 L',L2 F2 D R' F L R' D' L' R2 D' F2 L2,B' D2 B R B R' F' R' U F R B' D' R2 D',51
B2 F U' B2 F' L2 B U L' U R U2 L' R2 D' B U2 F2 L B2 R' F2 D,x2,U' L2 R' D' R' D' B F2 U' F,R U2 B D' U' L D U' F U2 B' U2 R',U L R' F2 L' R U,D' F D' F2 L2 F2 D F' R D2 B' U2 B D2 R' D,46
