scramble,orientation,step_0,step_1,step_2,total_moves
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,L B2 L D' B' F2 U' R U2 F2,F2 D B R' U' B' D F2 U L2 D' U' R F2,R B' D2 B L R' U' B2 U L',34
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,D L' D' R U B D F L' B,B L' R D' U B' F2 R D' B2 F2 R' F' U',R B' D2 B L R' U' B2 U L',34
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,R F' R D' U L2 B' R' F,B2 F' D R F' D2 B L2 D L U B L B,R2 B2 L' D' L B2 R' U R' U',33
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,B' D B2 L' D L2 F2 R2 D2 L',D R U' R' D B' D2 L' D F R' D2 L D U,R' U2 L2 B D2 L2 U2 F R',34
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,D' U' L' F L' R2 D U2 F2,B F' L' B' R2 D2 R' F D2 B R D F D' F,U' R B L' B D B2 R' B L U B',36
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,B2 R' D2 B L U' B D' L' F2,D U R' U' F2 D' L' F U L' F' L' D F2 D',U' F' U2 B L2 D2 F D2 B' L2 F U',37
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,L2 F' D2 U' L2 B2 D' R B U2,L U F D U R2 D U' B D L D F' L' U',B2 L R B2 L' D L B2 R2 U R U' L' B2,39
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,D2 L2 U2 L D' R F2 U' L2,B D R U' R' D2 U F' U' B' L2 B' F U' B D,U' R2 D B D2 B' D2 R' B D B2 R2 U R,39
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,D' L U B' F' D2 B2 L' U' B,R' B F R' U R' F L2 D F2 U' B' U B F' U2,B2 L R B2 L' D L B2 R2 U R U' L' B2,40
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,L D' F U L' R2 D' L2 B' F',L D2 R2 D B R D' U2 F' R2 F2 U' R' D2 U2 B',,26
