scramble,orientation,step_0,step_1,step_2,step_3,total_moves
U' D2 L2 R2 F2 L U' D2 F B2 R2 U F' U2 F2 U' R D2 B' F' R' F2 R',x2,U' B' D2 L R B F,B R2 F2 R B' R F2 L R',L2 R B' D' L D B R' F D' L D2 L' F' L2,U2 F' L U2 B' U2 B L2 F' L F U2 F,44
R2 F U L R2 F D U2 F2 U' F2 R2 L B2 D2 F B D' R F2 R2 L2 B U',x2,D R D L2 F' L B U',B' L2 B' R2 F U2 B2 D2 F',R2 B' L2 B L U2 B R B L' B2 R' U2 L2 R2,U2 F' L U2 B' U2 B L2 F' L F U2 F,45
L R B2 L2 R D F' L' D2 L2 F R' L' F' R B' U2 D L2 U' R2 B2 D,x2,L U F L B F U2,B' D' B' U' B D U B2 R' B',L2 D2 L' D' L F2 D L F2 L F' L' D' F2 D',,32
F2 U' F' D F2 R2 F L' R' F2 R B R D2 U' R2 L B2 L' F L' B2,x2,R2 B D L R' U' B',D' B L D2 L' R2 D R B',F U2 R' D' B D R B2 F' R' B2 F D' U2 F',U2 F' L U2 B' U2 B L2 F' L F U2 F,44
F L2 U2 F B' R L F' U B F2 U2 L B' R' B' U2 B' F U',x2,F R F D2 B2 R D',F2 D' L F2 L B' U' B,L D2 B' U2 L2 B D2 F2 D' L B' L F2 U' B F',,31
F R B R U D R' B L R' B2 R U' D' R2 F B' R B2 U' R L B' D2 B',x2,F2 D R D U R',B R F R2 D2 R2 B' D2 F',U' F2 U L' D' L' D' L' F2 L2 D F D' F2 L D2,U2 F' L U2 B' U2 B L2 F' L F U2 F,44
B2 D2 B' U F B' D2 R2 U' D2 R' F' U' L2 R B' L2 B2 D F U' F D' B' F2,x2,R2 F' D2 B U R,B' D' B2 U R2 F' U' B' D,U' L' F2 L D' F' D2 F2 D' U F D F L2 F2 D',,31
F2 R' U D2 R B F2 L' B2 F2 D' B2 F' U2 L F2 D2 B2 R2 L B2 L2 U2,x2,L F L2 R' B2 U,D' B D' R2 D' B' D L D2,D2 L F2 L2 F L' U2 L U' B L D B' F2 D2 U',F' U2 L B' U2 B U2 B L B' L2 F U2,44
R B U2 B' R2 L B' R2 B2 D' U' R2 B2 D2 U R2 D' U2 B U,x2,D B2 D' F2 L U2,B R2 D' R D B R B2,F D' F' D L' D F D R D F D' R' F L2 F2,,30
F2 U' R2 D' R F' B2 U2 L B' F' L' F' R' B2 U' B R' F2 D R2 F2 D2 B2 L,x2,L' U' L2 F' D2 B' D' R',F L' D' L2 B' U2 B L' F' L',B' F L' B D' F2 D B D2 B' D' L F2 L' F L',U2 F' L U2 B' U2 B L2 F' L F U2 F,47
