scramble,orientation,step_0,step_1,step_2,step_3,total_moves
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,U R' D B' D,F2 U L U' F U' F' U' B2 F2 R B2,B' D' R D2 L D2 L' D F2 L R' D' L' B,,31
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,L' D' R D',R2 F' U2 L' D2 F2 L' B' U L2 D2 L D F',D B D2 U2 F' D2 B2 U L2 D' R2 U B2,,31
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,L2 U L2 B2 L,B' L2 B U' L R2 D' B D' R D L' R F,F R' B' D B' D' L' D' L B2 R F',,31
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,L2 R2 D U B L F',D R' F L2 R2 U F R2 B2 D F' R D' L2,B D2 U2 L R2 D' L2 B U F2 L2 D' R' B U,,36
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,R B F R' B2,D F2 U F2 U2 F R' D' R' U2 R2 F2,F2 R2 B' D U2 F' D F D2 U2 R D B R F2,,32
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,U2 F' L' D' B2 L,D' U2 B U2 B2 L U2 L2 F' D' B' L2 D2,F2 D B' R' B2 R2 B D B U2 L U2 B D2 F2,,34
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,L B U' F D',U' B' R F D2 U2 R B F' L2 D R2 D',R' B' L2 F2 D' B2 D' B2 D B' F2 R B' L2 B,,33
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,F2 L2 R' B L2,U' F L' D2 L' D2 B' U' B F U' F2 L F2,R U2 R' F' U' R' D' F' D2 R D2 U F' D F',,34
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,U' B' L2 F' D F,L' F' U' L2 U2 L F2 L2 B2 F' R D' B2,B' F L2 B' R' B' L2 D B R D2 F2 D' B2 F2 D2,,35
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,U2 B' L' U R F,R' U2 R' B L R F' U F2 R' U2 L' B',U' B' R2 F' D' F2 D U F' R B U B2 R B2,,34
