scramble,orientation,step_0,step_1,step_2,total_moves
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,R2 D' B' F2 L D U2 B' F D2,L' U' L' F U L F' U' L U2 L' F L2,U F U F' L U2 B D' B R D B2,35
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,L2 R' U' R2 U2 L' D2 F',L' B U' L' D2 L D2 L' D2 L U L B',U L F' U' B2 F2 D F R' D' B2 F2,33
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,D' L U2 R F L' D B2 F2,R2 D2 R' F' R' B R D R2 D R F R' B',B D' B U R2 B U B D L' F' L' F L',37
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,U2 R U2 L' B U2 L2 F,D' L' D2 U F2 U B2 R B2 D2 U2 L D,F L B' U B L' R' D2 B D B' D R F',35
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,D U L U2 R D2 B' D2 U',U B L' U2 L' F L2 F' U2 B' L2 F L' U,F' R U' L' D L2 D' B' U2 R2 F2 L D R U',38
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,U L B' D2 U' L2 F' U F2,L D U2 B' R2 U' F U2 R B F U F D',F L B' U F' U2 B F L2 D F D' F L F',38
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,R D U L F U' B' L' U2,B2 U2 B' R' F2 U F U' R B2 L2 U B,L2 B' U L' U L U2 B2 D L' F2 D' B' L U,37
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,B L R F2 R B' R2 D' U2,U B D' U' F' U B' F2 D' F2 U' F' L F2 D,F' L F' L2 U2 F' R' F' L' F2 R U2 F2 L',38
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,B D' B2 F L' R' F' L F2,R2 F L2 B2 D' F' D2 U R' B' D' R U' B2 R2,U2 L' F2 L U2 F' D' B' D2 R2 D2 B D F,38
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,D' B L' U2 L2 B' L2 F2 R2,U B2 R2 D2 U L' B U R' B' U2 L D' R2 B2,F U' F' D2 F2 D2 L' U' L D F' D U F2 D2,39
