scramble,orientation,step_0,step_1,step_2,step_3,total_moves
R2 L2 B U' D L D2 U' B F' U2 D B' D L D' L2 R2 D U,x2,R F U' F' L2 D' R' U' L,B' D L2 D2 F D2 L2 D2 F' D B,F U L D2 R' B2 R D L' D U' F',,32
U' B' R B R' U F2 L D R' D' R2 L U2 L2 U' F2 D R2 D L' D',x2,D' U' L R' D2 L D B2,R D B U F' R' U' R' B' D,F D' F' L' F2 L F' D F R F2 R',U2 F' L U2 B' U2 B L2 F' L F U2 F,43
U' R' U' L2 F' L' U2 R' D' R' L F2 U' L R' U' L D R' F R2,x2,R' B' D2 B2 L' F D' F D' U2,D2 F2 R' F' D B' L' B F R F2 D2,F' U F U L U L2 U L2 U2 L' F' U',F' U2 L B' U2 B U2 B L B' L2 F U2,48
D' U B L' B2 F R2 F' R B2 F2 L' F' L D' U B' D F B' L2 U L B,x2,D2 F' U2 R' U' L2 B' U L D U',B2 U' F' U B' F2 R B2 F' D' F' D B,D' B' L' B D L2 B' L F L' B L2 F',,37
F' U' R2 F D' R' L2 F' B' D' U2 R2 D F2 U B' D' F2 D' B D',x2,R' D2 B U' R' F U' L R2 F2,U B2 D' B' F D2 F' D' B' F2 U' L2,L F' U' F' U2 B L2 B' U' F2 L',U2 F' L U2 B' U2 B L2 F' L F U2 F,46
D' F B R2 B L2 F2 U R B R L2 U L F L' U D2 L' B F',x2,U' L' B' D' F2 U' L2 F' U2 L2,F' U2 B' U' F' U F U2 R' U2 R' B F,R' D' R U' R' D R U,F' U2 L B' U2 B U2 B L B' L2 F U2,44
R2 U2 D2 B2 F2 U F D' F' U D' L' D' R2 U2 B2 D R' F' D' B',x2,R2 D' U2 L2 R' U R' U2 B' F,D F2 U F2 L2 D L2 D2 F U' F' D,L R U F' U' R2 B' D B L' R,U2 F' L U2 B' U2 B L2 F' L F U2 F,46
D U B' U B2 L2 F R2 L D' B' D R2 L B D2 U2 F D2 B2 U2 B2,x2,B L' D2 L F' U' L2 R' D,B2 L B2 R' B2 L' B L B D' R2 D2 R2,F' R B F' L' B' U2 B L2 F2 L' B' R',F' U2 L B' U2 B U2 B L B' L2 F U2,48
D B' U D L R2 D' U R2 B R2 D U' B L' R2 D' L' U2 F' R D' B F,x2,U' L' U2 B F' L' D L2 F2,B R B' R F R B R' F2 U B' F R',L2 F2 L' U B L' B' U' F' L F' L2,F' U2 L B' U2 B U2 B L B' L2 F U2,47
R D' L2 B L U2 D F B U2 D' F' D2 F2 R L2 U' L D' F',x2,D2 R2 F2 L' B F2 R B2 U' B,R' D' U' B' L' F2 D' L2 B' L' B2 U R,U' B' F' R F' D R D' F R' B U F,F' U2 L B' U2 B U2 B L B' L2 F U2,49
R D L2 F2 D2 U F D B' L R2 U2 B' U2 L F' B2 R' D R',x2,L2 U2 R' D' R2 B L D' B2 U,R2 D B2 R2 B D' F' U2 B R' F R2,U F L' U' F' U2 F L U' F' U2 F,,34
