scramble,orientation,step_0,step_1,step_2,step_3,total_moves
R B' D2 L2 B U' D' L2 B F2 L2 R U2 L' D2 B R D F' D,x2,R D' U F2 U' L R,L D B U' F' U L2 B' D',D B' F L' F2 R F2 L' B' F' L2 D L2,F' D' U L B L' D U' F L',39
L2 R D' L2 D U B' R F L2 U F' U2 R' U' D2 F2 L' B2 R,x2,U2 F' L2 B D' U L2 F' R,R' B D' R2 U R' F D U',B D2 F2 U2 F' U2 L B L' B' U F' L' D2,F' D2 B2 D B' D' B' D2 F L B L' B',45
L' R' U' B R B' L U L' R F R F L B U' L D2 R2 F' L2 R2,x2,R2 U' B' F' D' L2 U2 R',B F R D' R' U' F' L,R' B D2 B2 D' U R B D B' R D' U' B' R,L F' D' U L B' L' D U' F,41
D U R B D' U' L2 F' L F' B' D' F' B2 U R U L2 R' B D R' L2,x2,F R' D2 U' R2 U2 F R2,F L2 R2 D2 R F L2 R U F',F D2 F2 U F U2 R U2 F R2 D R2 B' D F',L F' D' U L B' L' D U' F,43
B' R2 L B' L' B' D2 U2 F2 B2 U2 D' R2 L U2 F' L' R U' F B',x2,R2 U' L2 D' B D' B',U2 R2 U' B' D U' B' L' D',U F D' R' D B D' B2 U' B2 U B D F' U',B2 U2 R B' F D R2 B2 R2 D' B F' R' U2,45
R2 B F R2 F' R2 D2 U' B R2 D2 F' B2 D2 F' D' R2 D2 R2 L D' L',x2,D2 B2 R B2 L U' L,F' L U' L R2 B' U2 L2 D2,L2 F2 R' F' U' L' U' F R' B' R2 B2 U F2 L',U R D2 R' D U' B D2 B' D',41
F2 U2 F R2 U' F D U' F D2 L2 R U D2 R' B2 U' F2 R D2 R' D2 U,x2,D B2 F' U' R2 B' D',U' F2 D' U B L B L D,B' R B' D2 L2 B' R' F U2 L2 B' D' B2 D F',B D2 F' R' B' R B F D2 B2 D' B D,44
F2 B2 D2 F2 U' D R' D' L' R' F2 L' F' R' D' R L U' D' F L2 U B',x2,L2 F D2 U2 F' U' B2,D2 U2 F R D R2 U2 B D B2,U F' U' B U R B' L' R' F L R' U' L' R,F' D' U L B L' D U' F L',42
F2 U D B' D U R L2 D' B2 D' F' U2 L' U2 R F' L F2 B2 U' F',x2,B F2 D2 L F' D' F2,U' F2 L B' D' U L2 R D,B D L B2 F' U R' U' R' D R2 D F D2 L',U R D2 R' D U' B D2 B' D',41
L R2 B U F' B R B F' D L2 B D U R2 U' L' D' R U2 F2 R D' L' U2,x2,D B' D F' R D2 R2,L B D' U B' R' U' B' D,U2 R2 B R' U' R B' R2 U' L2 D2 B R2 D2 F U,B D2 F' R' B' R B F D2 B2 D' B D,45
