scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,B L R B' F' U',R B2 L' U L2 B U2 L',F R D' R' D2 R2 F' R2,L2 R U' L' R B L' R2,R2 B L' B2 R2 B' D' B' D B D2 L2 F2 L',44
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,L R F' R' B' U',F L D L2 D2 F' L,U2 L B2 U B' U' B2 L' U2,F' D L D' L' F2 R F' R',D2 L' R' D R D' L D2 L' D' F2 D L D,45
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,F L2 U,F' D L' D2 F2 L F2,D2 U' R U L' F2 L,L2 D' F' L2 F' L' F L2 D F2 L2,R' B' R' B R' D2 R B' L2 R U2 L2 R,41
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,D2 L2 U' R,D' F' L' F2 D L,F2 U2 L B2 L' D' U2 F2,B2 D L' F' L R' B' D R D' B',F2 L R2 U' L R' F L2 R' F2,39
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,F' D R B' U',D F' L2 F' L2 D,F L2 U L' B' L2 U' L,R2 U' B' L' B2 U2 R' F2 U' R',R' U R' U' R2 D2 F2 L R' D2 U' B' R B' L',44
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,F' U B L',F2 L D' L F2 L F2 L,F2 L D L' F2 U' R2 U,U' B' F2 L' B2 F2 R B' U,R' B' L2 U2 L' U' R B' D' B' L' D' F' D2 F,44
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,R' U' F L' R2,D' L D2 L F' L2 D',L2 D' U' R D U L2,D R' D' B L' D' R F L,R' B U2 F' D2 L' R' D' B F R B F D' L',43
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,L F R' B2 U,D' L2 B' L2 B,F' D2 L' U2 R' U2 L D2 F,B' L2 D' L2 B' U B' R2 U' B',B2 L U B' R B2 R2 U2 B R B' U B' L' D2,44
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,R' B L2 F' U,L2 U2 R B2 U2 F' L2,U' R D' U2 L2 U B' U2 F',L R2 U' B' L2 R D' R D F L,L2 D R2 U' R' U2 L2 F2 U F' R2 D2 B R2 F' R',48
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,R F' U B2 R',D L D' L2 D L,U2 B U2 F D' F',L' D' F R' D' R D L D',D' B D2 L R U R' B2 L R U' F L2 R' B' D2,42
