scramble,orientation,step_0,step_1,step_2,step_3,total_moves
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,D L',D' U2 B F L2 R' B' L' F' U',L U' L2 B' R B L F D2 R' B' D2 B2 F' R,R2 U R2 U' B R2 D' R2 D B2 U' B U,40
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,R' U F',F L B D' B F' U R2 B2 D,R2 D' R' B2 R B' L2 R2 U' L R' D2 R F2 L,B R2 B' F D F L2 B' U B L2 F2 D,41
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,R2 D2 L',L U' L2 D' L' F2 D2 F L2,U' L' F2 D2 L2 U B' U' B' D' F2 U2 B2 U' L U2,B R2 B' F D F L2 B' U B L2 F2 D,41
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,F' U2 R,U' L2 R B U' F2 R' D2 L F,R' U R U' B D' R' D L F R2 F' L' R2,,27
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,R' F2,F2 L2 U' F U' R F2 R' F',L B D F L F D F2 U2 R D' U2 L' F' D' B',B R2 B' F D F L2 B' U B L2 F2 D,40
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,F2 D2 B L',L' F' D L' U F' U F2 L2 U2,F U' L U F' U B2 D2 U L' R' B' L D2 B2 U',B R U' R' U2 F' U B L' B' U' F U' B',44
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,R' U F',D B' F L R2 B' F' U' B2,L2 F R U' F' L2 B L B' F' U B F2 R' F' L',B2 F2 U' R B' U R' B2 F2 L D' B L' D,42
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,B' L',L U F2 U L' R' B2 R D' U',L R2 B R B R B2 U' B U2 R U B U L',R2 U R2 U' B R2 D' R2 D B2 U' B U,40
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,L' D' B2 F,L U L' D2 B D' B D' B2 U',B' D' L2 F U' B' U F' D U B D' L D L F',B R2 D' R2 D2 B R B' D2 B' D B2 R' B2 D',45
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,L' U' B2 F',L R2 U L' U' B D R2 D,L U2 L' D L R' B' U B' U' L2 D' R D2 L D,B2 F2 U' R B' U R' B2 F2 L D' B L' D,43
F2 U F2 D2 L' U' F' B' L D L2 B2 F2 R L D2 B R2 U' D' L U,x2,U' L,U B2 R2 U L F L' B2,L U2 F' D U2 L D' L U' B L2 B' L' F L',B R U' R' U2 F' U B L' B' U' F U' B',39
R2 B U' B' D L R D2 L U B' U R' F' L' F' U L' R2 B' U B U,x2,F2 U R,F R' B L' R D L2 F' D',R D L' F' D' L R2 B2 U' F U' B' U F' U R,B2 F2 U' R B' U R' B2 F2 L D' B L' D,42
R2 B2 R' B' L D' R2 U2 R2 U B' R U F L' U' D2 L' F L2,x2,L' D' B,L F L2 B D L2 R2 B' L' D2 U',B2 L2 B U R2 U2 R' F U2 R2 U' B' F' U L2 B',D B U' B L' D' L D B2 D2 B' D B2 U B',45
L F' D2 B D' U2 R' F2 D U2 F R' B2 R' F2 R2 D2 U R U' L2 D2 F2 D2 U,x2,R' D F,B R' B R2 B R' U R B D2,L2 U2 F' L2 U F2 U F2 R2 B' R D2 R' B' R2 U2,B R2 B' F D F L2 B' U B L2 F2 D,42
U2 B2 R' F2 U2 L2 R U' F2 D2 U2 L' R2 F2 B2 R F2 R' B' R,x2,L' F2 R2,U' R2 F L' R' B2 F' D' R2 U,B2 F2 U' L B2 U2 B R' D' B' F2 U' B R' F2 R2,F D F L2 B' U B L2 F2 D F D2 F',42
R2 D R F L B' L2 R D U2 F' R D L' U2 B2 R2 F2 U2 L' R2 D' F2 B2 R,x2,B' D' L2 R',F2 D B' L' U' B' U' F2 R2 B2,L' D B2 L' U' B' R' F R B U L B2 D' L,D B U' B L' D' L D B2 D2 B' D B2 U B',44
B2 R2 B F R F R' F' U' D2 B' F' L2 R U' B' L2 R' D2 B' U2 F',x2,D L2 B,L2 U F' R2 U L2 U2 R2,L R D U B2 D F2 L B D' L' D' B U2 F2 L',,27
U L2 U D' R' D2 U F' D2 L B L B2 L' D L' D R' U2 F2 U' F',x2,L F2 R2,D2 R' F' D' B R F2 D L F,D' F' R B R B D2 L2 D2 B' R2 U2 F D,R' B' L B' U R U' R' B2 R2 B R' B2 L' B,42
U' D2 R2 D' R' F' D' L B F L' R F' R2 B' R' F2 D L' R U' F,x2,U' R D F,B F D' R' D2 B' D' L2 F' U',D F2 D B' F R B' U2 B2 D2 B' F2 U' L2 U' B,D B U' B L' D' L D B2 D2 B' D B2 U B',45
