scramble,orientation,step_0,step_1,step_2,total_moves
D F' U R2 F2 D' B D' F D B D' L' R' U2 B U' D2 F' B D L2 U,x2,F2 R U' L2 D B F' L,D2 F' U L R2 B2 D F D2 B U2 L2 U,B' D2 U' F U' L U L' F' U' L' D2 U2 B,35
F' B' R' U D2 B2 U F' L' F' B2 L' F' R2 U' L2 R2 F L' U R L F' D',x2,U R2 B' F' L U L B2,F2 R2 D R2 B2 R2 B' R D L B' D F D,B2 U' B D' B' D B' U B2 U2 L' U L' U,36
U' R' D2 R2 F' R2 D F' U2 R' D2 B2 F L F' R U D2 R2 F2 U,x2,L' R2 D' L2 D' B U2,U2 R2 F D2 F2 D R D' B F2 U L D2 U,B' F U B2 F2 L2 D B' F L' U2 L',33
U2 L2 R' F R B L F2 L2 F' L2 B R2 F2 R F2 B2 D' U L B,x2,L' R' D B' D2 L2 R' D',U2 F R' D B2 R U2 B' U' B' R' B2 D' F,R' D2 U L2 U' B D F2 D' B' D2 R,34
R2 U' F2 U' D B L' U F U R' D' R2 L2 F2 B' D F' U F D2 L' U',x2,D F R B' U B2 R,D' L2 U F2 L' U2 L' D' L2 D2 F2,R B D2 U F' U F' D2 U B2 U B R',31
F' B R' D2 F' U' D B' F2 R2 L F2 D2 B U2 R' B' U' R' F2 R' B2,x2,D L' B2 D' U2 B D,F2 U2 F D' U' F2 R' F2 L2 F R D U2,U F U' B' U F' U' B,28
R B2 R2 L' U B' L R U' R' U L U' D' F2 L R' B F R U' B2 F2 U',x2,B D' B R U2 B' F2,U2 R' D2 L2 F U2 F' D L D R' U' F2 R2,B' U2 L' U2 B2 R B R' B U' L U B,34
L U' R U R2 U2 R2 F' B U B D2 R2 U' L F2 B U L2 B',x2,B2 F' L F R U2 B',R2 D2 B2 D L2 U' L' D' B D2 R2 F2 U,F2 U R F2 D2 B R B' R' D2 F2 U' R' F2,34
D' U' L U2 B' D F' U R' L2 F D' R' U R2 U2 B' F U L' U,x2,L U L2 U2 R' B2,L2 D F U B2 F' U' B2 D' L' U' F L2,L U2 B L B' L U L2 F' L' U' L' U F L',34
U D' F' B L2 B' L2 R2 D F L' U' F2 U' R L F' R2 D R2 F' D B2 R' U,x2,U' B' L2 D2 L,D' U' F2 U F U F2 U' B L2 B' D U',U F' U' B' U2 F' U' R F' U' R' U F2 U' B,33
F2 U2 R' B' U2 D' B' F U' D' R' U2 B2 U B U2 D' F2 U2 L R2 B' D' R' L',x2,D R2 F' L2 R B2,L' U2 F' D F2 D2 B' U' L U' B F D,D' R' U F U' R B U' B' D' B' U B D2,33
F2 D2 F' L D F2 B D R2 D F R' D F L2 R' F' B' R2 F2 U' F' D R,x2,D' L U R' B L2 D',R D R D' U2 R D B2 D B D' R2 D' U',U' B' D B U' B2 D2 U2 R F D' F D2 R',35
