scramble,orientation,step_0,step_1,step_2,total_moves
D U B' U B2 L2 F R2 L D' B' D R2 L B D2 U2 F D2 B2 U2 B2,x2,R2 F U B F2 L2 R2 U' F,F2 U' B F U R2 F U' B' D2 U,L F2 U B' U' F2 L' B D2 L B L' D' B',34
U' R' U' L2 F' L' U2 R' D' R' L F2 U' L R' U' L D R' F R2,x2,F2 L' D2 B L B' D' R D2,U2 F2 L F2 U2 B R' B R2 B2,U B D2 L' B2 U' L U B2 L B2 D2 B' U',33
R2 L2 B U' D L D2 U' B F' U2 D B' D L D' L2 R2 D U,x2,R2 D2 B R' U F' U L2 R' U,D2 F L B L2 B2 L2 D2 B' L' F' D2,F' U' R' F R' F' U' R U F' U F2,34
U' B' R B R' U F2 L D R' D' R2 L U2 L2 U' F2 D R2 D L' D',x2,U' F2 R' D' F2 R' D' B2 U2,L' U' R U' R2 D2 U R U' R U2 L',R F' L2 R2 D2 B U B' D2 L2 R2 F D' R',35
D' U B L' B2 F R2 F' R B2 F2 L' F' L D' U B' D F B' L2 U L B,x2,F2 R D' F' U2 L2 D' U2 L U',U2 B D F D' F2 R' B' F D U2,U F' R F2 L D' L' F' R2 D R2 D' R' U',35
D' F B R2 B L2 F2 U R B R L2 U L F L' U D2 L' B F',x2,L F R' F2 R2 D' R' B' F' R,F2 D2 L' U L' B2 F2 R2 D U2 B2 R2,R2 F' U2 B L2 F D2 F L' F2 L' U2 R F,36
R2 U2 D2 B2 F2 U F D' F' U D' L' D' R2 U2 B2 D R' F' D' B',x2,F' U R' D2 B' F2 D U2 R2 B',R' B' D2 B2 R' B' D L' U' B2 U L,B2 D' L' F L' F R U2 R' F2 L2 D B2,35
R D' L2 B L U2 D F B U2 D' F' D2 F2 R L2 U' L D' F',x2,U' R2 U R' D' F' L2 F' R2 D2,D2 F D F2 U2 R' U F2 D F U F2 D,L' U2 F' D2 F D R F' D R F R2 U2 L,37
D B' U D L R2 D' U R2 B R2 D U' B L' R2 D' L' U2 F' R D' B F,x2,D' B L U B' D2 U' R' F,U2 B' R' D R B2 D2 R' D2 B' U2,U2 F2 L' F R' F' U2 F' L2 B' L' F' R' D2 U2,35
F' U' R2 F D' R' L2 F' B' D' U2 R2 D F2 U B' D' F2 D' B D',x2,R2 U2 B F' R D L B F U',F2 U B L D' U' B D' B' F L2 F,B L D' B' D2 R D R' B D2 B2 D' B2 L' B',37
