scramble,orientation,step_0,step_1,step_2,total_moves
B R2 F2 R2 F' R2 U2 R L U2 B D2 L' D2 U' B R2 B' F' U2 L2 R D,x2,L B' D' R' F' L' D,L R F R' B R2 D' F2 R2 D' B' L' D2,U2 F' L B' U2 B U L U' L' U2 L' F U2,34
L D2 F2 U' R F' B' R L2 F2 U2 R2 L2 F B U' B D' L' F' R2 F' U R F,x2,D U' L D2 L F',R' B L' R' U' L' F U' R' F2 U2 B' F,D F2 R2 D R2 F R' D' R D' B' L2 B,32
F2 D2 F2 D2 R2 F2 B L' R' B R U F2 L F2 L' F L' R B D' B U2 R,x2,D R2 D U' B D2,U2 B2 F2 R F' R2 D F' L B U2 L' R,B F2 R F' L F L R' F2 L2 B' U2 F' U2,33
D' U2 F' L F2 L' U2 B' R' U L U' D R' B D' U' B2 R F,x2,L R' F' U B2,R' U F L U2 L' R' D R' B' F' R' B2,L U L2 U' L U L2 U2 L' F' U' L U F,32
B' L2 B2 R' L' B D2 U B2 U2 F2 L2 D' R L2 B' D' B' D2 L' B F' D2 U' B',x2,B' R2 D L2 B L' F',U' L D2 B' F L2 R' B F' R U2 L R',U2 F' R B L2 U' L U L2 B' R' U' F,33
L2 D' U F' L' R2 F' L R' F' L' U F' U2 D R L U D F2 U2 D2,x2,L U' L2 F D' R2 D2,F2 U2 L U B2 R D2 B L B D2 L' D L,B2 U L2 B' L2 B L2 R' B' R U' B R B U,36
D2 U F' L D2 R L' F' B D R2 F2 R2 F' B' L D2 R' B' F2 U' B' L U2,x2,B' F2 D F' R2,F2 L2 D' R F D2 F2 D2 U2 R B' R F' R,U F' U' B' D2 F R2 F' D2 B2 L' B' U2 F,33
L2 D L' F' B D' R2 F2 D2 R' L' D2 U' R2 L F' L U L D B,x2,R B' R' F L' D,D' B2 U L' R' U2 B' L D2 U' B2 L2 D',R B F' U R U R' U F' U F U B' R' F,34
R' F R B' F D2 L' B R' B2 L2 B U' B F U' R F2 U2 B2 L2 R',x2,L' B2 L' B' D B,R D2 R' U2 F' U2 L F L' F D2 U2 R',D F' D R2 U2 F2 R' F' U F' U2 R2 D' F' D',34
L2 B' D B L' B L D L D B' L2 U L2 D2 U' L' U' B2 U D2 B' F2 D',x2,B2 F' L' D F',B' U' F R' D R B' D' R' U R B U2 F',F2 R B' R F' R2 B2 U2 F' L' B D F' D' B2,34
