scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,D' B' R D L2 F,R U2 B U2 B R2 B2 U2,F' U' B' L2 D' L2 F R B,U F' D' B' F2 R2 B U2 F' U R B2 R',U2 L D F2 D' F' L' D' L2 D F U2,48
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,B' U' L F D2,R' U2 B U2 B' L' R' U2,U2 R B' D' R2 F2 R F D B,U' L2 U' B2 U' R U' R' D2 F2 D B2 D,R' F L2 R2 B' R B L2 R2 F',46
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,R' F' L D B,L2 B2 R2 B R B L2,U L2 R' U2 B' R B L2 U',B L F D' F' R2 B R' B' L' R' B',L2 B' U2 L' D2 F2 U2 R' D2 B' L2,44
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,U2 L' D' L2 F',F2 R' F' U F' R2,R' F2 D' F' U' F D F2 R,R2 D R F R F' D2 R U2 B L2 U2 R' D,F' U F' D' U L U' L' D U' F2,45
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,U2 B2 L' F,B' D2 R F' D F D B,B D L D2 B2 D U2 R U2 B,F2 L' F' D L B' F' U' L2 F L F' U B,F' U F D2 B R D B' D F2 L U' F2,49
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,L B L2 U',L' U2 B U' B' U2 R',B' F L' U' L U B L F',L2 R' D U R B2 R' B' D' U R U2 L2 R,L B F' D' L D B' F L' U',44
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,F2 D L D,L' B' D2 L' D2 R' B',L' B' U' R' B R U L2,F' R2 F R' B' L' F2 R B' L F2 D2 B L,L' B2 F2 R B R' B2 F2 L B',43
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,R2 U B,D2 R D' B2 D' L' R,D' B L F U' F' L' D L,D2 R2 D2 U' B2 D L' U' L2 U2 B' D R2 D2,L F U' L D R F' R2 F2 R F' D' L2,46
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,L D L' D,F2 L' F' U2 F' L',L' D' F U2 R2 D B U' B2 U',D B2 L R' D L2 B2 L' D L2 B2 F D' F' L,B F D F2 R2 F2 D B' F' D2,45
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,L U' B' R D',U2 R2 U B U B' L',B2 D2 R F2 L' D2 R B2 U2,F2 R' U2 F' L' U2 B' F2 D U' B2 U F D' B',L' F D B2 R2 B2 D2 R2 B2 R2 D F' L,49
B F' U2 L F' R' U' B' R2 U2 F2 B U R' F' B2 D F U R U' L D' B',x2,R2 B2 F' D2,D2 R D' B2 D' L,F' L2 U2 B' D F R2 U2 B,D' U R2 U' B U F2 D' F' R D2 U' R' B,U2 F' D' L2 D L F D F2 D' L' U2,45
F B2 D' L' F2 B2 U' B L B' D F' R2 B D L U2 L2 U F' L2 F' R,x2,L R' F' D2 F2,L D B2 D L2 D2 R2,F R U' B' F' R' B U R',B' U R D' R2 F R2 F2 D' R' U' R2 D2 B,B2 U' L' B2 L B U R' B2 R2 B2 R B,48
U2 L B D' B' U R2 B2 F' R U D2 F L2 B' L R B' F' D' L R',x2,U' L B2 F',B L B2 U' B2 U B',F2 L2 F U R' U2 R U' F,D L2 B' L' F2 L' B L B2 U B2 F2 L' D',U' F' U' F' D' U' L U L D F2,45
R2 D2 U F L B2 U' B D2 B' F2 R2 L D2 U' F2 L2 R2 F B' L' B D2 U,x2,D2 L' F R' D,R' B L2 U' B' U,R U' B' R2 U R2 B U R',B' D U2 F2 U L2 D' L2 F' D' F U B,B R' B2 R B R U' B' R' B2 R U B2,46
D2 B2 F2 L2 F2 L F' R2 L2 U2 F' R' F' L' D' F U' D2 L' D' L2 D2 B F,x2,U L F D B F2,R2 B2 L2 D' R2 D B2,B L D B2 D' B F U' F',F D R F' L2 R U R B2 L2 R2 F R' F',R U' R' F' L' B' U B L F,46
U2 L F' L F' B2 R U' F' B2 R' D U' L U D F' U F' D U' F' D' U',x2,R' B' L2 F,F2 R' D B' D' F2 R2,D2 B' D F2 U' F2 D' B D2,L' F' D' F L U' B' L B F' D F U,B' R' B' F D B' D' B F' R B2,44
B F' D2 F' R B' F L B L' D2 L2 B' L' B F' R2 B U2 F2 D U,x2,L2 D' L' F',R' F' L2 U' L2 F,F L B2 L2 B2 L F' U R U',L B' L' U2 F U L U B L2 F L F' L,F2 D2 R2 U2 B' R2 D2 L2 F,43
R2 U2 F L' B L' B' U2 F2 U2 D F D R' L U B D2 B' U',x2,D R2 F D,R' U2 R' B U2 B' U2 R',L2 D' B' D L' D' B2 D,L2 D2 L U' L' D F U F2 U F2 D L2,R F' U' B' U B F R2 B2 R' B R B R,47
B2 R' F2 R D2 B2 R U' F2 L2 U' D2 B' D' L2 U F U' D' F D' U' R2 D R2,x2,B2 F2 D2 U2,L' F2 L2 F' U F',B L2 F' D2 F L U B' R2 U',B2 U2 L F2 R2 D F' D F' U2 L2 D2 R D2,D' U R2 U' B' R2 B R D R B2 R' B,47
