scramble,orientation,step_0,step_1,step_2,step_3,total_moves
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,U L B2 U' L B2 D B',B U2 F' D' L R2 D U2 L2 D F L2 R',D' R2 B D' B D B2 R2 D' L' D L D,,34
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,R D' R' D U2 F2 L' D' B2 F',F R U' F' U' F L2 U R2 B2 D R,R' D' U R' D U' L' R D L,,32
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,U L' B2 D' L' D R U2 B' U2,F' D R' B D U F' U2 L' B2 D2 R U B',B' D' F U2 B2 L B2 F' D' F U2 F' D2 B,,38
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,L2 U' F' D L' F D B' F U',D' L' B' R' B' D F R2 U F2 R B2 L',D2 L2 F2 R2 B' U F' U L2 F' D2 B D B,L U' L' D' B2 U B U B' U2 B2 D U,50
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,L2 R2 D F2 L U2 R2 F' U' L,F L R2 D' L2 R2 U L F',D2 F2 U' L U' L' U2 B2 R B R' B F2 D2,,33
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,U F2 R' F2 R' U B L D,L2 F L2 R' B U R' U' L' R D' L,B' U' L2 D L2 R' B R D U B' D',L U' L' D' B2 U B U B' U2 B2 D U,46
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,L' F L U2 R U' L2 B F,L2 U2 L D L D F' U2 L' D2 L' U2 F',R2 U2 R' D R U2 R2 B R D' R' F' R2 F,,36
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,L2 D L R2 D' R2 U2 R' B D,R2 U2 F' D2 B F2 U L D U F' D B,D' F D' L B' U' L' U F U' B F' D2 F',L U' L' D' B2 U B U B' U2 B2 D U,50
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,R' U2 R2 F' U2 F2 D' F L' U',U2 R U R' U B2 D' B L' B' D U B2,U2 B D B L2 B2 D L' D' L U2 F2 R2 F2 D',,38
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,B F2 D' F' R D' B2 U2 F,B R' U' R' B' U' B2 U2 B' D' F D,D L B2 L F L' B U' B L2 F' L R' B R,L U' L' D' B2 U B U B' U2 B2 D U,49
