scramble,orientation,step_0,step_1,step_2,step_3,total_moves
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,R D B,D2 B' D B' D' R' U' F' U' B D2,L' D' B2 R' U2 R B2 D2 F D' L2,U2 F R2 U' B' D B' D' B' U F' U2 B',38
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,U' L R,D' L' F' D F2 D R F L' B2 R',L' F' L R' D2 L' R F' L,B' R B F2 D2 B L B' D2 F2 U2 R U2 R',37
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,D B D',D2 B R2 D2 R' D B' F' L2 F2 L,D F' L' F2 L' F' L2 F D' L2,R' B U2 B' F' L2 B2 L F R B2 F' L F,38
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,L2 D2 B2,D U2 F U' L' D U L D U L2,L2 B' L B D L2 D2 L' B' L B D,U' B' U2 B U B' L U' B U' B' L' U B,40
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,B' F' D' R',F R2 B2 L' B' D' L B2 D R2 U,D F2 L' F L' F L2 F2 L2 D',B2 U B' U' B U' B2 L2 F D' R2 D F' L2,39
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,F R2 F L,U2 L' F' R2 D2 B D' B' R D' R,F2 L2 B' L2 U' L F' L2 F U B F2,B' U2 B2 U B' U B2 U2 R' B' U' B R B' U2,42
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,L' F2 D' B,U' R F2 L D2 B R2 D2 U2 B' R',D R' F L' B F' D B' R D',U B L' B2 L U B' U B2 U2 B U' B U B',40
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,D2 B L',B2 R' B' L D' F R' B' F D2 U,L' B' L' B D U L2 U' F' L' D' L,F' U L2 D2 R2 F' R2 D2 U L2 U' L2 F U B' U2,42
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,R2 B' D' R',U2 F L B L D R B' U F L U',F' L' U' L B' U B' U2 B2 L' U F,B R' U' F2 U' F2 U' F2 U2 F' R B2 R' F' R B,44
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,D R' D,L F' U F' U L2 F2 R F2 R',L D2 U' F' D' U L D' L',L2 D' B D B L2 F' L2 B2 L' F L2 U B2 L U',38
