scramble,orientation,step_0,step_1,step_2,step_3,total_moves
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,B L U2 L,R F2 D2 L' F U' L F,B' R2 D' R B' D2 L R U B U2 R2 U2 L',L' R' F' U R U2 R U R2 U' R F L R2,40
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,F L F L' F2,F' R2 D' R2 B' D' B' D F,B R2 D B2 D2 F' D B L2 F2 R' F' L2,R' B U' B' D' B U2 R' F2 R U' B' D R',41
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,D B' U L D2,F U' B R D2 L' U F2 R,R F D' B' U B R' F' L' D L F D' L',B' U R' B R U' L2 D' F' D' F L2 B,41
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,D L2 B' D' L R2,F' D' B' D F R' B' R,D F D' R2 D L' D2 L' F L2 F' D' R2,L' D' B' D B2 F2 U B' F R2 F D L,40
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,F D L' R,D' B L D' R B L' D F2,U' B' D2 L' D' B' U' L B L2 D' U2 B' R',D F2 U F2 L2 B D B' L2 F U' F' D',40
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,U2 L B L F2,F' U L2 U F U2 R' B',F D' R U R U' R2 U L2 R D U' F,D2 F' R2 D' B U R U' R2 B' D R' D F,40
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,B F' L F,D2 B2 L U' L2 U L B',L D L F L2 D' F' R D F' R' F,B U R U F2 D2 F U' F' D2 F2 R' U' B' R',39
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,B2 F D' L D2,L' D B2 D' B2 L,D2 F U2 R' D L2 R U' L2 U' F2 D R' D,D' B F R' F2 R' B' D F' R2 D B' F2 D' B,40
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,L' D L2 R',B' F2 L B2 R' D2 L',D2 L2 R' D2 B' D2 U2 F' L U F2 D L B,R2 D' R2 F U2 L' D B2 D' L U2 F' R D R',40
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,D2 U L2 R2,R2 B' L' U F R2 U' L,F2 L2 D R2 D U2 B D L D U2 L2 F2,R' F' R' D L2 F D B R2 D' B' F' L2 D' F2 R2,41
