scramble,orientation,step_0,step_1,step_2,total_moves
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,L2 B' F' R' B U2 F2 R2 F U2,F L' F' U' B2 F' U L R' U' R U' F R D,D F' R' D R F D' L B' L B L2,37
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,D R2 F2 D2 F2 L' F' U2 F,B R2 F R' B' D2 B R2 B' D' F2 D2 F2 D2 F,L' R2 F L' B2 U2 B U B' U B2 L2 F' R2,38
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,D L' D2 R' F' D' U' B2 F2 D2,D' B' D U2 L' B' L' B' L2 D' U2 B D' F' D2,U2 F' D R D2 R' F U2 R D2 R' F' D' F,39
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,L F R' B2 D' B U2 B D2 F2,B U R' D F D' B' D' U2 B L2 R' U' B' D',L' U' F' D' F2 L2 U L U' L F' D U L,39
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,R2 D2 F R' D' R2 U2 L' D',D' F' R2 F R' U2 L U L' D2 U L U2 B L',D' L2 B' L B L2 D2 F D' B D B' L' F',38
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,U2 B2 U' L' U R2 B L2 R',L2 D' F L B2 D2 L' F2 R D2 F L2 U' B' R',L' F2 U' F U F2 L2 B D B' L2 F' L,37
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,U2 B U' L2 B2 F' R' U' L',U2 R U L' U F U' B R B' L' R2 D L' F2 L',F2 D' L' R F2 L R' D' F2,34
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,F2 D B L F2 D' L2 D2 R2 B',B' R' B' F U2 L2 F' L' F U' L2 D U F U2 B2,L F U L2 U' L B F2 R F' R' F2 D B' L2,41
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,D2 L R D B D2 B2 L F2 D,L' D F' L' D' U R' D F2 L2 F R' B' D' R2 F',L' U2 F U' R2 D B' D B D2 R2 U' L,39
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,B2 R2 D' F2 L' U' B2 L' F,L' F D' R' D F R2 B' R' F R' B L D R,D L' B' U B' R U' B L' B L2 D' U' F U,39
R2 B U' B' D L R D2 L U B' U R' F' L' F' U L' R2 B' U B U,x2,U' L' D2 R D2 B2 F' U2 L U',L' B' D L R' F' D F L' D' B F' L D' F2,L' D2 U' L2 B' L' B L' D F' D F U L,39
B2 R2 B F R F R' F' U' D2 B' F' L2 R U' B' L2 R' D2 B' U2 F',x2,B' D F2 R' B2 F L2 B' L2,R B' R D L' R F' L B R D' R2 D R2,F' R2 B2 R2 D' L' D L R2 B2 R2 D F D',37
L B2 U B' U' L B' R B2 U2 F U' B F2 D2 L' R B L2 D2 R B2,x2,B F L2 U' B D2 B2 D2 L D,L2 R D2 R2 D2 B R U R' B' D2 L2 U2 R,F2 D2 R' B2 L U' L' B2 R2 D' R' D' F2,37
R2 B2 R' B' L D' R2 U2 R2 U B' R U F L' U' D2 L' F L2,x2,U' B F D L D' B2 F2 L' U',B U2 L2 D2 L U B' R' D B2 U2 R2 D U' B F',F' U2 F L' B' R2 B' F' R' B2 F L,38
L F' D2 B D' U2 R' F2 D U2 F R' B2 R' F2 R2 D2 U R U' L2 D2 F2 D2 U,x2,R' B' R B2 D B' F D U,B' F' D' U' R' F L2 R' D U' R' B' L' F L2 F2,D L2 B R' B R B2 L2 D' L D' L' D,38
U' D2 R2 D' R' F' D' L B F L' R F' R2 B' R' F2 D L' R U' F,x2,D U L2 B' L U2 F U' B2 D2,B U L2 R2 B' L2 D' B2 R' D2 L2 F2 D2 F' U R2,R2 F' L B2 R U R U' B2 L' F D' R2,39
U2 B2 R' F2 U2 L2 R U' F2 D2 U2 L' R2 F2 B2 R F2 R' B' R,x2,U2 B' L' D' F2 R' U B' R' U',L' D' L U' F D B D2 B F D' B2 L D' L F2,R F' D F' D' F2 R' F D F' D' F',38
U L2 U D' R' D2 U F' D2 L B L B2 L' D L' D R' U2 F2 U' F',x2,L U2 L2 F' L' R2 F' D2 R' D2,B2 U L2 U F D F' U' R2 D2 F2 L2 R' U' R',F' D F D' U' F2 D2 F R F' R' D2 F2 U,39
R2 D R F L B' L2 R D U2 F' R D L' U2 B2 R2 F2 U2 L' R2 D' F2 B2 R,x2,U L2 F L2 D2 L F R D B,R' U2 L F' R B' U2 B F2 U R2 U F2 R2 B' L',L' F2 U' F U F2 L2 B D B' L2 F' L,39
F2 U F2 D2 L' U' F' B' L D L2 B2 F2 R L D2 B R2 U' D' L U,x2,B2 U2 F' R' D2 B L' B D' L',F2 D' F' L' R' F' D' F R D L B F' R B',L D2 B R F D F' R' D2 F D' B' D F' L',40
