scramble,orientation,step_0,step_1,step_2,total_moves
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,B2 L D2 B' R F D U' B' R2,U' L D' L2 U L F2 R2 U2 L' B2 U' L,U' R D' L2 U F' D2 B' U R2 D' F U' R,37
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,L2 B2 U' L F' L2 D L F,L D' F2 R' F' D' L R D' L2 F2 R2,B R2 F R' F2 L' U L F R2 U' R U B',35
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,F D2 U L R' B D' L' B2,D L' B' L' B' F R' D2 U2 F' D' R2 B,B U2 R' F R F2 L' B' U2 B U' L B' F,36
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,F D2 F2 D B' U' F' R D2,R2 B' U' L' D L D R' D' R' U R2 B,B U' B2 D2 B' D' B F R2 D' F' D' B U',36
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,U2 L' R' F' U B' F' U' F' R,L' B' U R B2 L2 D' F L' R U F2,B L U2 L' B D B D' R B R2,33
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,D' F U F R2 B L D2 R2 D,D B F D F D B' L2 F L2 F D',R2 U R B U2 R U' R' B' U F' U' F U',36
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,U2 R2 D L D2 U R F' D,U2 R2 D' U2 B2 U F2 L' U B2 F2 R D',R' F' U' R D' U F D R F D R2 D',35
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,U2 B2 R U' F' L' R2 U R2 D',D' L B2 U' R B' U B' L B U' R2 B' L2,B2 U' B' U' R U B U B2 R B U' B',37
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,D2 B2 L' B2 F' L2 U2 L2 U' L',F U' L2 R' U R' U' B L2 R2 U F',B2 L D' B' U' L2 U' L B D B2 F2 D' F' D,37
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,U' B2 U' L2 B F U2 L' R,F' U2 R2 F' L2 R B R' B' D2 B' L2 F2,B2 U B' U' F' U2 F R2 U F' U B' F2 R' F',37
