scramble,orientation,2x2x2,2x2x3,EO,block_fr,block_br,co,pll,total_moves
L2 D' U F' L' R2 F' L R' F' L' U F' U2 D R L U D F2 U2 D2,,U2 L' D2 R2 U2,B' D2 R2 D' B R B2,U L' F L U',R2 D R2 D',D2 R' D2 R D R' D' R,F' R' F L' F' R F L,L' R' D2 L D L' D2 R D' L,47
B R2 F2 R2 F' R2 U2 R L U2 B D2 L' D2 U' B R2 B' F' U2 L2 R D,,L U R2 F' L' U,D' R D' U' B U R2 B2,U L' F L U',R2 D2 R' D' R D R' D2,D2 R' D' R D',B2 U' B D2 B' U B D2 B,R2 D' R2 U F2 L2 D L2 U' F2 D,52
F2 D2 F2 D2 R2 F2 B L' R' B R U F2 L F2 L' F L' R B D' B U2 R,,B2 F' L' D2 F,R B' R2 B',F' R B' F2 D' B F',L' D2 L D2 L B2 L' B2,R D R D R' D2 R,D2 F' R' F L' F' R F L D2,D' R2 D' R2 U F2 L2 D L2 U' F2 D D',54
R' F R B' F D2 L' B R' B2 L2 B U' B F U' R F2 U2 B2 L2 R',,B R' U2 L D2 F,B2 D2 R B D U R U',R2 U L' F' L U',R D R' D',F2 D2 R F2 R' D2 F2 D2,D' B2 U' B D2 B' U B D2 B D,L R D2 L' R' B' D F' D2 B D' F,55
L2 B' D B L' B L D L D B' L2 U L2 D2 U' L' U' B2 U D2 B' F2 D',,D2 F D2 R F L',F D2 F' R' B R B2,R2 B' F D' B F',D2 R2 D2 R',R' D2 R D2,D F' R' F L' F' R F L D',R F' R B2 R' F R B2 R2,46
L2 D L' F' B D' R2 F2 D2 R' L' D2 U' R2 L F' L U L D B,,L F U' L B L,L' U F D' U' L R' B',B' R' D R B,U' L2 U R2 U' L2 U,R F2 U L' U L U2 F2 R',B' D' B2 R2 U F2 U F2 U2 R2 B',F' R B' D2 F L' B2 F U2 B2 L B F',59
D2 U F' L D2 R L' F' B D R2 F2 R2 F' B' L D2 R' B' F2 U' B' L U2,,F2 L' R' B2 F U',R2 D2 B' R D B2 D2,R2 B' F D' B F',B' D2 B' D' B D' B' D2 B2,R2 D R2 D',D2 F' R' F L' F' R F L D2,L' F L' B2 L F' L' B2 L2,51
L D2 F2 U' R F' B' R L2 F2 U2 R2 L2 F B U' B D' L' F' R2 F' U R F,,D U' L B' R' U2,D2 R' B2 D2 B' U' B U,D2 B R' B' D2,R B2 D R' D R D2 B2,R' D R D',D' F' D B D' F D B',R' D L' D R D2 B R F2 R' B' F2 D L,53
D' U2 F' L F2 L' U2 B' R' U L U' D R' B D' U' B2 R F,,U2 R2 B D2 L U',R B R' D' L' D' L B',F2 U F U' R2 F,D' R2 U' L B2 L' U,F2 D U L D' L' U' F2 D',D2 F' R' F L' F' R F L D2,D F' D R' B R F R' B' R D F' D2 F,60
B' L2 B2 R' L' B D2 U B2 U2 F2 L2 D' R L2 B' D' B' D2 L' B F' D2 U' B',,F R D R2 B' U2 L,D2 U' B D' U2 R' D U',R2 B' F D' B F',D R2 D' R2 D2 R' D2,R' D' R D R' D' R D2,D B2 U' B D2 B' U B D2 B D',B2 R' B' D' B' D B R B' D2 B D2 B' D',61
