scramble,orientation,step_0,step_1,step_2,step_3,total_moves
B' R2 L B' L' B' D2 U2 F2 B2 U2 D' R2 L U2 F' L' R U' F B',x2,U' L' D2 B' L' U,L B' U L' B2 D' U' B' D L2,D L R B' L' B2 F' D2 B' R F R' D' R',F' D' F D' B D F' D F' D B' D' F2,43
L' R' U' B R B' L U L' R F R F L B U' L D2 R2 F' L2 R2,x2,R2 D2 F U' R D,L U2 F' R D2 B2 R' D' B' F U2 L',R2 B R' D2 R D2 R D' B' D2 B D' B' R2,B' U B' U' B2 L2 F' D' F L2,42
L2 R D' L2 D U B' R F L2 U F' U2 R' U' D2 F2 L' B2 R,x2,L2 F' R F' U' B',F D B2 D' U2 F' U2 L B' R2 U' R2,R B D2 F L2 B' L' D L' F' D' R' D' B',U L U' B F2 D2 B' D' F D' L' D2 F L,46
D U R B D' U' L2 F' L F' B' D' F' B2 U R U L2 R' B D R' L2,x2,R2 U' B L' F2 D,F' L' D' L2 B' L' F L' B,B U2 F2 D' B' D' B2 D2 B' D2 L' F2 U2 B2 R',L' F' L' F L F' D2 L D F' D F2,42
F2 U2 F R2 U' F D U' F D2 L2 R U D2 R' B2 U' F2 R D2 R' D2 U,x2,D L' F U2,D L' B2 U B L2 D' U' B,L2 F R' B R B' F2 D B D2 U B2 U' B F,D' U F L2 F' D U' R F2 R',38
R B' D2 L2 B U' D' L2 B F2 L2 R U2 L' D2 B R D F' D,x2,D' R' U B' D' R2,U F' U' B' D' F U' B F2 L2 F2,F' L' F' D' B' R' D2 F' R' F' L' R B' R' U2,B2 U' R U B' U' R B R B' R2 U B',45
R2 B F R2 F' R2 D2 U' B R2 D2 F' B2 D2 F' D' R2 D2 R2 L D' L',x2,F' L D2 R2 U',L' U' B2 U F' D' R2 F R2 F R2,B' R' U F2 D' L' B' L2 B L F2 R' U' B2 R',F2 D' F D' L' D2 F L' F' L F L,43
L R2 B U F' B R B F' D L2 B D U R2 U' L' D' R U2 F2 R D' L' U2,x2,L' U' L' U B' R2,D2 B2 L2 R2 U F R2 B' D' B' L,B D' R U2 R F R' F' D' F' D U2 R' D B',U' L' U L' B2 D' B2 L' D' L D L2,44
F2 B2 D2 F2 U' D R' D' L' R' F2 L' F' R' D' R L U' D' F L2 U B',x2,B' D U B2 D' R',L' U R' B' L2 R B' L2 B U',B U' B2 D2 B' D L B2 L' B2 L U F' R2 F,L' D2 B' F2 U' F' U B L F2 D' F D',44
F2 U D B' D U R L2 D' B2 D' F' U2 L' U2 R F' L F2 B2 U' F',x2,F' D' R D U B2,L U L' B L2 B' R' B2 R U',L F2 L D F2 R2 B' U' R2 U2 R2 B' L' B2 R',B2 D B' D L D2 B' L B L' B' L',43
