scramble,orientation,step_0,step_1,step_2,step_3,step_4,step_5,total_moves
D U B' U B2 L2 F R2 L D' B' D R2 L B D2 U2 F D2 B2 U2 B2,x2,U2 B U' F U2,F' U R2 U R U2 F,L' F2 U2 L B R' U B' F2 R,L U2 L' F2 D' U2 B2 R' D2 B2 L',R' D L R' D B' L' D' R' D2 B' D2 B R',B D2 F2 D' F D F D2 B' L' F' L F,60
D' F B R2 B L2 F2 U R B R L2 U L F L' U D2 L' B F',x2,L' U B U F2,R' U2 F2 U F2 R,D U' B' D B L' F2 L U,R F' L2 U2 L2 F R',D2 F' D R B U2 R2 D2 F L' D R D2 L',B D2 F2 D' F D F D2 B' L' F' L F,54
D' U B L' B2 F R2 F' R B2 F2 L' F' L D' U B' D F B' L2 U L B,x2,F D B' D2 L U2,U B2 L' B2 L' U' B L,L B' R D' R' B2 L B2 L2,B' L F' D' L2 D2 F D' B D2 F2 D',D F R U2 F R' D' L2 R' D2 L R F' L,B D2 F2 D' F D F D2 B' L' F' L F,62
R D' L2 B L U2 D F B U2 D' F' D2 F2 R L2 U' L D' F',x2,D L2 B' D' U2,R' F2 D' R F2 U' R F',B' L' B D2 L D' L' D2,R D2 B2 R U2 B2 D2 R' F2 L,D' L2 U R U' R' B R D B D' B2 L2 D,B D2 F2 D' F D F D2 B' L' F' L F,58
D B' U D L R2 D' U R2 B R2 D U' B L' R2 D' L' U2 F' R D' B F,x2,R2 U,D B L B' R2 U' R2,U' B' D' L2 B D' U' R U2,B' L B' R F U' F' R' B2,U' B' U B L2 D B' U' L F2 L' B D' U,,41
F' U' R2 F D' R' L2 F' B' D' U2 R2 D F2 U B' D' F2 D' B D',x2,F2 D B L2 R',F2 R U R U F' R2,R B' F L B D' F R' F2,R2 B2 D2 F2 L D2 B2 U2 R',L U2 L R2 B L D2 L' B' U2 B L2 R2 D2,,44
U' R' U' L2 F' L' U2 R' D' R' L F2 U' L R' U' L D R' F R2,x2,D2 L' U2,D2 R2 F U' F R2 D2,U' F' U' R D R D2 U2,R' B' D L2 B L D L' D R D,L2 B2 U B' R' U' B2 R' B2 R U B2 U' B L2,B D2 F2 D' F D F D2 B' L' F' L F,57
U' B' R B R' U F2 L D R' D' R2 L U2 L2 U' F2 D R2 D L' D',x2,D L F D U,F' D2 L B D' F L',U' B R2 B' D' R U F2,L2 F2 R2 U2 L U R2 F2 L2 D',F' L' R2 U L2 B2 L B2 L U R' F L F2 R',B D2 F2 D' F D F D2 B' L' F' L F,58
R2 L2 B U' D L D2 U' B F' U2 D B' D L D' L2 R2 D U,x2,D' L R U',U2 B' D2 R D2 B' U2 B2,B' L' R' U B U' R B D2,D2 F' D' B' L F' L' B F D',D2 B2 L D L' B2 U' F' U F2 U' F' U F' D2,,46
R2 U2 D2 B2 F2 U F D' F' U D' L' D' R2 U2 B2 D R' F' D' B',x2,D F L2 F',U R' U' F D' F D,B' L B U2 R D2 R' U2,B2 L2 B2 F' D2 L B L' D' F,D2 B' R2 F' D' F' D2 R' D2 F' D F' R B D2,B D2 F2 D' F D F D2 B' L' F' L F,57
R D L2 F2 D2 U F D B' L R2 U2 B' U2 L F' B2 R' D R',x2,D2 U L' B U2,R2 U' F D2 U F D2 R2,B' D' F L' F' D2 B D2,D' R' B' L2 D2 L' B2 R' B' R2 D',D2 R' U2 F' D U2 R B R' B2 R' B' D B2,,46
B L R2 F' D' L' D' U' B D' U L D L B D2 R' F R2 L U' B R',x2,F' R' D L2,L' B' R' U2 L U' R,D B2 L B D' L B D,D' L D L' D2 B' L2 B D',L B' D2 B' D2 L F' L2 B D2 R' B' R F2 D2,,43
R' F2 L B2 D' L2 B2 R' L U D' B U D R2 U' F' B R' B R' F2 R',x2,U L' F D,F' R F' D F U R',R2 D' B R2 B' D R2,L' D F2 L' F2 R2 B' R2 D' L,D' U' R2 U' L' B2 L R' F' U' F2 R' F' D U,B D2 F2 D' F D F D2 B' L' F' L F,56
