scramble,orientation,step_0,step_1,step_2,step_3,total_moves
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,F L2 F' L D2,F U L' B' L F2 U2,B L' B D L2 R2 U R2 B2 L' U L R2 U',R2 B D2 R' D R D B' R' B D B' R',39
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,B' F' R U L2,L U2 R B2 U2 R' U,L B2 F2 L2 B F' R' U' R' F2 L F R2 F',U B2 L B' L2 F L' F' L2 B' U',37
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,U' L2 F D2,U B L B' F,D2 R2 B2 U F U' F' U' R2 D2 F2 L2 F',L' D2 B D L B L' D' B' D L' D L2,35
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,F' D2 R,L2 R2 D' L2 R2 F,L D R' D' L2 D L2 D' L F U' F2 R' F R,F' L' D' R2 D F L2 B2 L U' B' U2 B' L2,38
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,D2 B' F2 L' D2,F2 U' B L' U2 B' F,F U' F R' F R' B' R' B2 L2 B' R' U' F' U',D2 B L2 B L2 D2 B' D' L B D B2 L' B,41
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,L2 F' D' L D2,F R' U F2 U2 R,B2 F2 D2 R2 B2 R' B' F' U B U2 R' D2 B2,U B2 D2 B D L B' L' D L B L' B U',39
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,D B L F2 D,U F' U' R2 F' R2,L2 D R D2 L2 F2 U' B R F R2 B' D' R' F,U B' F L' F' L D L D' L' B U',38
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,D L F R D,B U L2 F L U2 B',F2 U' R' F' L D' B U2 L2 F U2 L' R' U F2,B' R' B' F2 L B F L2 F R B' U2 B2,40
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,F2 L' D2 U L2,B F2 L2 U' B',R F' R F' R' U F2 R' B L U2 F2 U2 B',R D2 B2 R B' R U F R' D2 F2 R2 F U' B',39
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,F2 U L' D2 R2,U2 L' B U2 L U',D' B2 D' B' D2 F2 L' D' F' D B' L2 F D F,L2 R' B D' L2 B D2 F' R2 F D' B' L2 B' R,41
L F' D2 B D' U2 R' F2 D U2 F R' B2 R' F2 R2 D2 U R U' L2 D2 F2 D2 U,x2,U2 L2 U L' D',U' B U' B' F,F2 D2 R F L B' D2 B' L' F' R2 U2 R',U B' D2 F' D B D' F D2 R D' R' U',36
R2 B U' B' D L R D2 L U B' U R' F' L' F' U L' R2 B' U B U,x2,D B L B D',B F' D R' D' B' F2,R F' R F' R' U2 R2 D' B2 U L2 B2 U' R,F' U2 R' B D2 B' R2 B D2 B' R' U2 F,39
R2 B2 R' B' L D' R2 U2 R2 U B' R U F L' U' D2 L' F L2,x2,U' L' B D' R,F' R U2 R' U F',L' B' L D2 R' U B' R U B2 D2 L2 U' B F2,D2 B L2 B L2 D2 B' D' L B D B2 L' B,40
B2 R2 B F R F R' F' U' D2 B' F' L2 R U' B' L2 R' D2 B' U2 F',x2,D' U' F2 L,L R' U2 R B2,D F' L2 R2 D2 L2 B' D' B D2 U2 F,R2 U2 F2 L R U L U B2 R D2 L B2,34
U2 B2 R' F2 U2 L2 R U' F2 D2 U2 L' R2 F2 B2 R F2 R' B' R,x2,B2 U' F2 L' D2,B L2 U2 L B' F,R2 F2 L2 D2 B2 D' L' D' F' R U2 L R B2,L D2 L D2 L B' L' F L' B F' D2 L2,38
R2 D R F L B' L2 R D U2 F' R D L' U2 B2 R2 F2 U2 L' R2 D' F2 B2 R,x2,U B R2 F2 D,R' U2 R' F' R2 U',R' D' U2 B2 U2 L U' B2 U2 R' F U F' R2,D' L' D' F2 R F' R' U' R U F' D L D,39
L B2 U B' U' L B' R B2 U2 F U' B F2 D2 L' R B L2 D2 R B2,x2,D2 B' L' F' D2,R U2 R2 F2 R U2,F L2 F' D R' U' B' D B' L U' R' U2 R2,R2 B F L' F L F2 D2 R' D' R D' B' R2,39
U' D2 R2 D' R' F' D' L B F L' R F' R2 B' R' F2 D L' R U' F,x2,B U B D' R,F2 L' B U2 B2 L,B L B D2 U B' D R2 B' R D' R U' B' D2,B2 L' F L' F' L2 R D2 B D B' D R' B2,40
F2 U F2 D2 L' U' F' B' L D L2 B2 F2 R L D2 B R2 U' D' L U,x2,R2 B U' B2,L2 B2 L U' L U2 F,F' U' F U2 B L' F U L F' U B' U2,B' L' F' L D B' L2 D' L' F2 L F' D L2 B2,39
U L2 U D' R' D2 U F' D2 L B L B2 L' D L' D R' U2 F2 U' F',x2,L' D B' L' D2,U L' U L F' U2,R' B2 F' U' B2 L R B2 L R U B' L2 U2 R',F' U2 R B2 L F D' F D2 B D B R F',40
