scramble,orientation,step_0,step_1,step_2,total_moves
B' R2 L B' L' B' D2 U2 F2 B2 U2 D' R2 L U2 F' L' R U' F B',x2,D' R2 F L2 U B2 D2 L,L D2 F2 D2 F2 D' F' D' F2 R' D R F' L',L' U' F' L D' B L B D' U2 B2 D2 F',35
L' R' U' B R B' L U L' R F R F L B U' L D2 R2 F' L2 R2,x2,B' D U2 L B' D' R B' R2 D,U L' D B D2 U R2 D B U2 L R' D R D',F D' U L' U' L D U' F' U,35
L2 R D' L2 D U B' R F L2 U F' U2 R' U' D2 F2 L' B2 R,x2,L' B' R B L' B2 F' U B,F' D2 L U B2 D R F L2 D2 R F2 L' R2 U',F R' F2 R B F' U' F2 U B',34
D U R B D' U' L2 F' L F' B' D' F' B2 U R U L2 R' B D R' L2,x2,R2 B2 D F D U' B' L R,B2 R B2 U L' R2 B2 L' U' R2 D L' F U' L',D R2 B F' U2 R' F2 R B' F D' F2,36
R B' D2 L2 B U' D' L2 B F2 L2 R U2 L' D2 B R D F' D,x2,D' L2 U' F L B U2 L,R' F' L' F' D R B U' L' F L F D' U B',U F D' U L' U' L D U' F',33
F2 U2 F R2 U' F D U' F D2 L2 R U D2 R' B2 U' F2 R D2 R' D2 U,x2,R' B D' R' D2 U' F2,L2 F2 U L2 D B' R' U2 R B' D2 R2 D B2 D,R F D U' R2 D' U F R',31
L R2 B U F' B R B F' D L2 B D U R2 U' L' D' R U2 F2 R D' L' U2,x2,U' L2 B F2 R2 U B' L B',B' U B2 L2 B' U' B2 D R D' L2 B' F2 D R2,L' R B' D2 B' L' R D L2 R2 B2 U,36
F2 B2 D2 F2 U' D R' D' L' R' F2 L' F' R' D' R L U' D' F L2 U B',x2,B' D U' L2 B2 D2 L' F,F' U R B' D' F2 U2 R U F' R U' F' L2 U',,23
F2 U D B' D U R L2 D' B2 D' F' U2 L' U2 R F' L F2 B2 U' F',x2,L2 R F' L D' F2 U2 F' L,B F U' L' R' F U' L B2 F L2 D' F2 L2 B,,24
R2 B F R2 F' R2 D2 U' B R2 D2 F' B2 D2 F' D' R2 D2 R2 L D' L',x2,R B F D' L2 R B L2 U',F2 L R' F R U F' U2 B' F2 U' L B D' L U2,F2 L2 D B F' R D2 F2 D2 R' B' F D' L2,39
