scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,F R D2 L2 B' U' F' U',B2 U R U',L R' B' R B L' B L' D L,U2 F U L' U L' B D' B' L2,B' L' F' D' F L B R D R',42
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,B2 D2 R2 U' F2 L B2 U',B' L B' L' B2,R2 U L2 U' L F L U' R2,R F' R2 F R U F' U' R U2 F U2,R' B' D B2 F2 U2 B2 F2 D B R,45
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,F' R B D2 U' F',D',L R D' R' D' L' D2 L' D2 B' D2,U L' B' U R B U2 L' B D' B' L2,R' B2 D2 F2 L F2 D2 B2 R2,39
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,L' R' B L' U2 L U' L2,B D B,F D L' F2 R2 B' U R2 F D' B' D',U B U' L F' L' U2 B2 R B U2,D B' D L2 B D B L F L' B' F2 D F,48
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,D U' B2 R F L',B' D B' D B',R2 U' L D2 U2 R D F2 R U' B',R' F' R' F R D R2 D' R' F2 U' F2,D' F' R B F' U2 B' F R F D,45
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,R' B D2 L U' B' R2 U2,D2,B' U' F' L B D2 B' D F2 L2 U,D R2 D' B' F' R D' R2 D B F R',R2 U L R' F' R F' L' R U R,43
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,R U2 B' D2 U' F,B' D2 R' B R,L' B2 U B' R2 B' R B' U' B L2 B',B2 U2 R' D' R D U2 B2 U R' U',D L' R' B L B R U B' D' F' R' F U',48
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,F2 R' D' R2 U' L2 U F,B' R' B2 R D2,D2 L2 U' F' L2 D U L' B' L D B,B' U R' D' R U' R D R2 B R,R' B' U R2 F2 L2 R2 B2 L2 U' B R,48
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,F2 R' U' L U2 F L2,B' D2 B,D2 B2 L2 U' R' F2 U2 L' U' B' L' D,B2 D2 B D' F D B2 L2 B D B2 F',R2 U L R' F' R F' L' R U R,45
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,L' D R B' L2,B D' L B L' D',R2 D F D2 B L' D F' R2 D',R2 B' R D' R' D' R2 D R2 D2 R' B R,F' R B F' U2 B' F R F,43
