scramble,orientation,cross,pair_fr,pair_fl,pair_bl,pair_br,1lll,total_moves
B2 F2 U F2 L D' U F L2 B' F R U L F2 U B2 L D2 L' R' B2 F D,,U' R' U L B U,R2 B R2 B',B R' D2 R B',D' R' F2 U2 B D2 L' B2 D U2,R2 F' D' R D F R2,B2 D2 B D R' B' R2 D' R2 D' B D R B,46
B2 D' B' D2 B' U' B2 F L' F2 R' F' B2 L' F2 R2 F' D2 U' L U' F2 R,,L' U' F L U F',R' B R B',L' D2 L,F L B D' F' D2 B' L D,R' B D R D' R2 B' R2,L B2 L' F' L2 D R2 B2 L F2 L U R2 F',44
R' D' U2 B2 U2 B' L B' L2 F2 R2 D2 B' F2 L2 F' L D R F',,U' L' U' R B' L U',B' D2 B,L' D2 L,D2 F U L' D F D' L2 F' U',R' D' R2 F' R' F2 D F',B' D F' D2 L' D' L B2 D' F D B2 D2 B,45
L2 D2 U2 F2 R B L2 F' B2 U2 L2 U' B' L' B R2 D' R2 U' B,,B D F2 L2 B',R B D' B' R',R2 B D2 B' D2 R2,R U2 L' U2 R' F' D' F D,F D' F' R2 B' D' B D R2,R2 B L2 B' R2 B L2 U F' U' B' U F U',48
L2 R D U' B R U B2 F2 D2 F2 U' R L2 D' B D2 L' U R2,,L D2 L U2 B',F' R D R' F,L2 F2 L2 F2,D U B R2 B D U' B2 L2,R' D R F D F' D',B' D L' D2 L F D' B D2 L D' L' F',43
B2 L2 D2 F2 U' L2 U2 L' F' R' U L B2 U' F R U' B2 U2 D B',,B' L F' R B',B' D2 B,L' F D2 F' L,F2 U L2 F D' F' L D' L2 U',R' B R' B' R2,R B2 U' L' B2 D B' L B2 D U R2 D' B',42
U2 L B2 U' F' D' U R2 D R2 L F2 R' F L' B' U F' U L F2 R' L B2 R,,U2 F' L' D' U' B' L2,R2 B R2 B',R B D2 R2 D2 B' R',D2 U' F2 U' B D' R' B' U2 L2,R2 F' D' R D F R2,R' U' R D R' U B' F2 D' B D F2 R D',49
U2 B' F2 D' L R2 B' D U2 F2 U' D2 L' R F2 R2 U' F L B U' F' R2,,R U' R' F',R D2 R',R B D2 R2 D2 B' R',D L2 F' D2 L2 D2 L D' L F,F L D2 L' D2 F' D2,U' F' U2 B2 D' F D B2 D2 F' D2 U2 F U,45
L U' L2 D' U L D' L' U2 L U2 L' B2 R' F U2 D F' L2 U2 R L D' U' R,,U' B L D2 R2 B2,B U R U' B',D' B D B',D2 L D2 F L' D F' L' D2,D' R' D R2 F' R' F,B2 U' L2 F L2 F2 L2 U' F U L2 F U B2 D',46
R D2 R U L U' D2 L R' F2 U' F2 B' R' D2 F' D R F2 B2 U F',,B F2 U R' B',R D2 R',D' B D B',L2 F L2 F2 L' D' L F D,D' R' D' R D R' D2 R,L B2 R' B2 R B D' R D' R2 B L R B2 L2,44
F L2 U2 F B' R L F' U B F2 U2 L B' R' B' U2 B' F U',,R U2 L' U F L,R2 B R2 B',B D' B',D F' L2 D2 F L2 F D2 L2,D2 R' D2 R F D2 F',B' L2 F L' B' L F' D' B L B' D L2 B2,43
U' D2 L2 R2 F2 L U' D2 F B2 R2 U F' U2 F2 U' R D2 B' F' R' F2 R',,D B' L' U B' L2,,B R' D2 R B',L2 D B R' D R U2 R U2 B',U L F' R F L' R' U',D R D' R' D R D R' D2 R F D2 F' R',43
F R B R U D R' B L R' B2 R U' D' R2 F B' R B2 U' R L B' D2 B',,R' D B2 L' U2 L',B R2 B' R2,D' B D B',L' B D2 F D2 B' L' F2 D' F,R' D2 R D R' D' R D',F D' B' U L2 U' F R F D F D' R' B,46
R2 F U L R2 F D U2 F2 U' F2 R2 L B2 D2 F B D' R F2 R2 L2 B U',,L2 D B' L R',R2 B R2 B',B R' D R B',D L D' F2 L' F2 L' D,F D2 F' D2,F' R' F2 D U2 L' D2 B2 R' B2 R D U2 F',40
L R B2 L2 R D F' L' D2 L2 F R' L' F' R B' U2 D L2 U' R2 B2 D,,R2 D' U' F2 R,L2 B2 L2 B2,B R' D2 R B',D F' U F2 L' F2 D' U' F D',R D R2 D2 R2 D R',B R' B' F D2 F' D R2 D F' R' F R2,44
F2 U' F' D F2 R2 F L' R' F2 R B R D2 U' R2 L B2 L' F L' B2,,B' L B' L' U L2 F,B' D B,B R' D2 R B',U' B2 R2 B' D' R' B' U F2 D',F' R F R',R2 F' R F R2 B2 R2 U F' R' F U' R2 B2,43
R B U2 B' R2 L B' R2 B2 D' U' R2 B2 D2 U R2 D' U2 B U,,F' R' B2 L2,B2 L2 B2 L2,D2 B D' B',L D' F L' D2 F L' F2 L',F2 U F' L F L' F U' F,D2 B' D' F L2 F L F' L D B D2 F' D',44
B2 D2 B' U F B' D2 R2 U' D2 R' F' U' L2 R B' L2 B2 D F U' F D' B' F2,,B' U F' U R',R' B R B',B D2 B',L F L' D B F' D' B' D' L',F L D2 L' D2 F' D2,F D F' D' B' F L' D2 L B F2 R2 F R2 D',44
F2 R' U D2 R B F2 L' B2 F2 D' B2 F' U2 L F2 D2 B2 R2 L B2 L2 U2,,L B' U2 L B2 R',B' D' B,D2 L2 B' L2 B,U L B F D B' L F' L' U',D2 F D2 F' D' F D F',D L2 U' L' U R' B L' B R B2 D B' D2 B',47
F2 U' R2 D' R F' B2 U2 L B' F' L' F' R' B2 U' B R' F2 D R2 F2 D2 B2 L,,L' F L2 U' R B',R D' R',B R' D2 R B',D2 F2 L2 D' F' D L2 F2 D2,R' D2 B' D2 B R,L' D2 L' B' R D2 F' D2 F L R' D2 L' B L2,44
R D L2 F2 D2 U F D B' L R2 U2 B' U2 L F' B2 R' D R',,L' B2 U' L R',B' D B,B R' D2 R B',F2 U R' D' L2 R D2 U',R2 D' R2 D2 R2 D' R2,D B' R2 U L' R' F' L R2 U' B' R D B2,42
R' F2 L B2 D' L2 B2 R' L U D' B U D R2 U' F' B R' B R' F2 R',,F2 D' F L' R' F,R D2 R',R D L' D' L R',L F L2 D' L F' D L',D R' D' R D R' D' R,R' B R F' R2 B2 R2 B R B' R B R' F,45
B L R2 F' D' L' D' U' B D' U L D L B D2 R' F R2 L U' B R',,L D2 L B' U2 B2,R D' R',B D F' D2 B' F,U F D L2 F' L2 U',B2 D' B' U2 B D B' U2 B',D2 L' D L D U' B D2 B' D2 U L' D2 L,45
L' D F' U2 L' D F2 B' R' D U B2 U D L2 B2 R2 F B' L' D R',,R2 D2 L B' L F,R D2 R',R2 B D2 B' D2 R2,F D2 L2 F' U' F D F2 U,D2 F L D L' D F',L2 F D' R D' F R' D2 F' L D' B2 L B2,45
B2 F' L' D2 F2 L' B U2 B' U2 F L B2 U' B2 U R2 L' F' R2 D2 L2,,R2 D' L2 B' U2,R D2 R',F' D' B D B' F,L' U' F2 U L2 D L',B R2 B' D' R2 D R2,L' R F2 L2 D L' D' L' F2 L2 R' D2 L',41
U2 L2 F' U2 D2 R B2 L' B R2 L B2 U F B L' D2 B' F D F2,,U' B L2 R B' L' F,B' D2 B,B F' D' B' F,F' U' B2 R' B' D R2 D B' U F,F2 L D L' D' F' D F',R' B' R2 U2 F' D F' L2 F L2 D' F U2 R',48
L' R' U' R' B2 D' U' F' U B U F' U D B2 U2 B' D' B2 F2,,L' F' L2 B' F,R D R',D2 B D' B',U F2 L' F2 D2 L2 D L' D2 U',F D L D L' D2 F',F' U' R2 D U B' D' B R2 B R' F R' B',43
R F B D2 R' B L D B L' D L F' B' R2 L2 U' R F' L U L2 D',,L' R U2 B' F',R D2 R',B R D2 R' B',D2 F2 R2 U' B U R' F2 R' D2,D2 F D F' D,B U B' D B2 U' R2 U B' U' B R2 B2 D',42
L U B' L' F' U L' F' U L' F D' R2 U F D' F2 L2 B R' F',,U2 F L U' B' U2,L2 B2 L2 B2,L D2 L2 D L,F' R' U2 B' D U2 R D2 F,U F D' F' D U',R' B' R2 D' U2 B D B' L2 F' L2 U2 R' D,44
F B2 R L' F L' R2 U2 B' D2 R2 D' L' D B' L' F L2 R' U F2,,B' U' L' D2 R2 B',B R2 B' R2,B D' B',F U L F D' L2 D F' U',B2 D2 R' D' R D' B2 D',R B R' F' R2 F R2 D R' D' B' D' R' D,44
D' F' D U2 F R2 L' D2 U' F' B2 L' B2 F U2 L2 R D R' U' L2 U L,,F U' B' U' F,B2 L2 B2 L2,D2 B D' B',F2 D' B L D L' B' U L2 U',B U' R D R' D' U B',F' D2 U F' U' B R2 B' U F U' F D',44
U2 B2 F R B' F U' D' B2 R U R2 D' L' B2 D2 F U B L F' D2 R' U' B',,B F2 R U B' R',,B D B',D F' D2 L2 F L D' L F D',U R F' R' F U',B R2 B' R' B R2 B' F' R' D' R' D R F,39
L' B L' U2 L2 R B2 F' R' U' D' R' L' U' B' L' U' L2 F2 D2,,R2 U' F L' U' R B',R2 B R2 B',B R D2 R' B',F2 R F' R2 U2 B U2 R D2,R' D2 B' D2 B R,B' R' D R D2 L' D' R' D2 L R B D2,44
R U2 L R2 D' L2 R D2 U B U2 R U' R D F' U F B2 L' D2 U2 L2 B2,,B2 D' L2 U2 L,B' D2 B,L2 F2 L2 F2,F2 D2 R2 U L U B U2 R2 F',R2 F' D' R' D F R2,B2 F' D2 B' R' B D2 B' R B' F D2,41
B R' B' L U D2 B' L U2 R' D2 R B2 R2 U' D' F2 D2 L2 U D R2 L' B2 F',,F' L' U L2 R U',R B R' B' D' R',L' D L,R' D2 R F U L' D' U' F',B L2 D R' D' L2 R B',B U2 L F L' U2 R2 F' R B' F R',44
