scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,D' L2 B,U' B2 D R B U' L' U2,B F R2 B' R' B R' B' D F' R',B' R' D B2 L R' B L2 R2 F' D2 F' L B,F' D' F D B R2 F' R' F' R F2 R2 B',49
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,U' F' D2 B2,D R F' L D L D F2 D2 U,U2 L2 B2 U B2 U' L' B L' U2,B R2 F2 L R D' U2 B L' R D' B D2 F,,38
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,D' L D2 L,B D' F U' B2 L R2 U F' D,L D B2 D2 B' D B D B2 L' D',F2 D F U L D L U' F' D' F U2 B2 U2,F' D' F D B R2 F' R' F' R F2 R2 B',52
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,U2 R' U2 B,F' U2 F D2 U2 R' F2 R B' D,U' R2 U B U' R2 U B',U' B' L B2 R D' B' R' B D B2 L' B R U,F' D' F D B R2 F' R' F' R F2 R2 B',50
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,B' L,L B L U' R' B2 U B L2 F',R' U' R B R' U R,U' R D U F' U L2 U2 R' D' R' D R2 U F,,34
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,L2 F L',F D F2 D' L B' D2 B' L',R2 B L2 R2 D2 F' D2 F' L2 B2,F2 L F L F' L' D R D F2 D' U2 B2 L U2,F' D' F D B R2 F' R' F' R F2 R2 B',50
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,D2 B2 D' L,R2 D F L F' U2 B' F L',R2 U' F D B' D2 B D' F' U R2,F' U' R' B2 U2 F2 L2 D' U B L2 U2 R2 D F,,39
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,F U' B D2 L,B' R2 D2 R' B' D' F R,B U2 L R2 F' R2 F2 L' U2 B' R',D F2 L' F L' D2 F' L F2 L F2 D' L' D' L2 F,F' D' F D B R2 F' R' F' R F2 R2 B',53
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,L D' B U',R2 B' U R D' F D L2 U',L2 R B R2 F' U2 F R B' L2,F' U2 B' D2 R D L B2 L' D2 R2 B U R U F',,39
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,R2 D' L2 B,L2 R B L2 R' D F' R' D,R B R' B' D' R' D,U' R2 U R U L2 F L2 F' L D F D' F U' R',,36
L F' D2 B D' U2 R' F2 D U2 F R' B2 R' F2 R2 D2 U R U' L2 D2 F2 D2 U,x2,U F U B,F2 D' F' L2 R' B' L2 R' D' R2,F' D2 F' R2 U' B U R2 F2,R' B' L2 R2 B2 L2 R2 D' B F' R F' R,F' D' F D B R2 F' R' F' R F2 R2 B',49
R2 D R F L B' L2 R D U2 F' R D L' U2 B2 R2 F2 U2 L' R2 D' F2 B2 R,x2,F D2 L' B2,R' F L R2 D B' D' L' D,D2 U F2 L F' L' F' D2 U',F' D B2 L R' B' D U' R B2 L' B,,34
U2 B2 R' F2 U2 L2 R U' F2 D2 U2 L' R2 F2 B2 R F2 R' B' R,x2,B2 U' B D L,L2 U' L' R D R D2 R2 B' L' F2,R' F R' F D F' R F' R,L B2 U2 B F U R2 U L2 B F D2 L B2,F' D' F D B R2 F' R' F' R F2 R2 B',52
F2 U F2 D2 L' U' F' B' L D L2 B2 F2 R L D2 B R2 U' D' L U,x2,L F U' L',R' F U' F' L2 B' D U' R2,U2 R U' F D2 F' U R' U2,F' D2 F R' F D2 F2 D2 R F' U' R' U R2,F' D' F D B R2 F' R' F' R F2 R2 B',49
B2 R2 B F R F R' F' U' D2 B' F' L2 R U' B' L2 R' D2 B' U2 F',x2,B,R D L' B L' U' B' L F',D2 U' R' D R D2 L' D' L U,R U' B2 D' R D2 R B2 R U R D2 R D2,F' D' F D B R2 F' R' F' R F2 R2 B',47
U' D2 R2 D' R' F' D' L B F L' R F' R2 B' R' F2 D L' R U' F,x2,L' U2 B',R D' L' U R2 U2 F2 L F,F2 D F2 U' L' R2 D' L R2 U,D' F2 D F' D2 F R B U2 F2 L2 F L' D2 U2,,37
R2 B2 R' B' L D' R2 U2 R2 U B' R U F L' U' D2 L' F L2,x2,F U2 L',D' F D2 F' L2 U' L2 D2,B' F2 D B2 R D R' D' B' F2,F' U2 B' L B' L B U' F' D L' F2 U' F D F',,37
R2 B U' B' D L R D2 L U B' U R' F' L' F' U L' R2 B' U B U,x2,U B' U' B2,D' F2 L' D F2 L2 B' U L',R F' D2 F' D2 F' D2 F2 R',R F R' F R' U2 L U2 R2 D' F' D2 F2 D' R' F2,,38
L B2 U B' U' L B' R B2 U2 F U' B F2 D2 L' R B L2 D2 R B2,x2,R2 D2 L,R U L R F' D U' B' R,R' F R B2 R' F' R B2,R U F2 R2 U B D B' L' B L U2 B' R2 F' R',,36
