scramble,orientation,step_0,step_1,step_2,step_3,total_moves
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,B2 U R' F2 U B,R B F' R D2 R' D2 B' R' D,D R B' L2 D' L2 D L2 B R',F' R' B' R F R' B R,34
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,L D' B2 U2 B' L2,B' U F D L D F' U' B D,L D B D2 L B' L' D2 B' L' D2 B' D2 B,L R' B L2 F' R D2 R' F L B2 R,42
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,D' F U',U L B' D B' L2 B2 L U' F',F R D2 B2 U2 F' L F' U2 B2 F D F D,L' F2 R2 U' R' U R' F2 L D',37
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,L' F R' B2 U2 B2,D2 B R D F D' F2 R' B',U' R' B' D B R D2 U' R' F' D F R U2,L R' B L2 F' R D2 R' F L B2 R,41
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,F L B2 F' L2 F',U2 L2 D F2 R' D2 R2 U' B2 L,B2 L' U2 L F2 L2 U2 L' B2 R D B2 L' B2,R' F U2 F' R D2 R' F U2 F' R D2,42
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,F2 L D B' L R U,L B' D L' R2 F2 U2 F U2 R2,D F' D2 L' F2 R F' L R' D' F,R F2 L' U L' U' L2 F2 R' D',38
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,B2 R' U L' B L2,R F2 L' B R2 B' L D' R' D',L2 U' B D' R2 U' R' U R' F' D2 B' F2 U,L' U' R F2 R' U L D2 L D L',41
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,L U' L D' B U' R' B2,L' D' L R F' L' D F2 L R',D2 F2 D2 F L2 U' L' D2 R2 D L R2 U L2,R' D2 R' U' R D2 R' U R2,41
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,B' F L' R2 U' B' F' L2,R D2 B' U2 L U2 B F' D' R',D' B U R' B U F' U2 L2 U' F L' U B2,B R B U R U2 B U B' U R' U' B2,45
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,R2 B2 R D F' U B' R',U B D2 U2 B D2 F2 R' B' U,U' R' D2 R U B2 L2 B' U R' B U' L2 B2 D2,L B R2 U R U2 B U B2 L' R,44
R2 B U' B' D L R D2 L U B' U R' F' L' F' U L' R2 B' U B U,x2,D' B' F U' B',R2 B L' F L B' R' D' R',B' L2 B' U2 F' R2 D L D2 L' D' R2 U2 B2,D B D B2 L' D' L D B2 D2 B',39
R2 B2 R' B' L D' R2 U2 R2 U B' R U F L' U' D2 L' F L2,x2,L' F D2 L U F' L2,L' B R2 F' U' F' R2 B' L,F' R D' L' R' F L D F R2 U F2 U' R2,B D B' D' F2 R2 B R B R' B2 R2 F2,43
U' D2 R2 D' R' F' D' L B F L' R F' R2 B' R' F2 D L' R U' F,x2,F' R' U' R U2 B,D2 L' B U R2 B U' B2 L,B U2 R2 F' R2 D U' R2 D' R' U F U2 B',D B D' F' D B' D' F,37
L F' D2 B D' U2 R' F2 D U2 F R' B2 R' F2 R2 D2 U R U' L2 D2 F2 D2 U,x2,L F' U' L' U2 F U,U2 R' D' F2 L' U2 F2 L U2,D F' D2 F D B2 F' L' F L B2 D2 F,L2 D' F' L B' U B2 R' B2 U' B L' F L2,43
U2 B2 R' F2 U2 L2 R U' F2 D2 U2 L' R2 F2 B2 R F2 R' B' R,x2,R' D' F' D2 L U R',R D B F D F D' B' R' D2,B D U B R' B' D' R U' F' D' F D B',F D' F' D2 B F D' F' D B' D2,42
R2 D R F L B' L2 R D U2 F' R D L' U2 B2 R2 F2 U2 L' R2 D' F2 B2 R,x2,F D2 B2 U L' B R,B' R D2 F2 R' D R D R' B,U B L R B2 L F R2 B D U L' F2 L,D' R' B D B2 D B2 D2 B' D R,42
B2 R2 B F R F R' F' U' D2 B' F' L2 R U' B' L2 R' D2 B' U2 F',x2,D2 B2 L U' L B' L2,R2 D F2 R2 F D' R2,D B D' L2 D' U L2 U' F' D B' F2 L2,L' U' R F2 R' U L D2 L D L',38
F2 U F2 D2 L' U' F' B' L D L2 B2 F2 R L D2 B R2 U' D' L U,x2,U' L2 F' U R U2 B',L' B2 U' L U' L' B2 F' L R',D L B' L D B U B2 U' B' D' B L2 D',F D F' D F D2 F2 D B D' F D B',44
U L2 U D' R' D2 U F' D2 L B L B2 L' D L' D R' U2 F2 U' F',x2,L R' B U2 R2 U L,D2 U' F2 R' F2 D U F' D2,D U F U' R' D F' L D2 L' F' R F' D,D' L2 D L2 B U2 F' D2 F U2 B' D' L2,43
L B2 U B' U' L B' R B2 U2 F U' B F2 D2 L' R B L2 D2 R B2,x2,B L2 F U' R' B' L,R B F2 D2 R D2 B' R',U B' D U' B D2 U' F2 D2 L2 U L2 B' D',L' F2 L' B2 L F2 L' B2 L2,38
