scramble,orientation,step_0,step_1,step_2,step_3,total_moves
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,L2 D U F' U R' U2 B L,D' R F' R F D2 R' D2 R D' R',F2 R F L B2 R2 B' D2 B R2 B2 L' R',,33
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,U' L' F2 D' L' D2 U,B2 U B D2 F D' L B' F U' B D2 B F2,F2 L B' L B L2 F2 D2 F' R F R' D2,,34
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,D' B2 F2 R D' L' F2,L' F2 D B R2 B' R' D' F2 R F' L,R U2 F U' F' U2 B F U' F' U B' R',,32
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,F2 D' F D' R' U' L,D R' B R B F2 U B F' D2 B D F',F2 U' R2 F' R2 F2 R2 F' R2 F' U F2,,32
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,R2 B L2 D2 U' F' L',B D L U' R2 B' D' F U' R' D B2 L' D,D2 B2 U' B L2 U' L2 U B' U B' D' B' D',,35
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,D' B F' L U F' D' B',F2 D' B' L D L2 D2 F2 D' F' L2 B F,B2 U' F' R' F' R F' R' F' R F' U B2,,34
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,R2 F' L2 D' B' L2 F,L' B2 D' U L' R2 F U L' U2 F' D L R,D L2 U' R' U2 L' D' B2 D' L2 U' L D,,34
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,L R' F2 R' D B D2 U2,R' F2 L' R2 F2 L B U F' U B2 D' B F',R2 D2 R' F2 U2 L B2 L' U2 F2 R',,33
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,U2 L D' U2 B2 U' R2 F' D2,D R2 F' R D' B F2 U B' F' D F R D',D' U L' D' L' D L2 D B2 U2 R U2 B2 U',,37
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,B' R F' D' B2 D F,L' U F2 D' F L' F2 L2 B2 F D U' L' R2,U2 R' B2 D' B D' B' D' B D2 B R U2,,34
