scramble,orientation,step_0,step_1,step_2,step_3,total_moves
F2 D L2 D U' B2 U2 R' F' R2 F' U2 R B L U L2 R U R2 B',x2,B D2 L U2 F' D2 B R D',L' D F U' F' L' D' U2 B2 L U',R2 D2 R2 U' L U' L U2 B2 D' B' D B',B2 U B F' L' B L' B' F U B,44
F L D2 R2 U D' L' F B R' F' D' R' L' U R' D L2 B F2 R2 L' F',x2,U' B D2 U2 L' B F2 R2 D',L2 R' U L R2 B2 R' U B U,B2 D F U L' B2 L U' F' D' B2 D2 L2 D2,F2 L R' D' B F2 D B' F L' F D' L' R,47
R' U2 R D L R D F' L2 R B2 F2 L' B R L2 F' L R U' L',x2,R' U' B2 U F R2 B D',B2 U' L' B' D L' D' B2 L U B,R2 U B D' B' L' U' B D2 F2 D' B' F2 R2,D L' D' U' B2 U2 F U' F' U' B2 U L,46
U2 D' L' F B L' F' L' B' U2 R D' B F L' B L' R2 U2 F,x2,B' R D L2 D' L U' L F,U2 R B2 R D L' R F L2 R,L U' B L2 R' F R2 B D' R' B U' B,U B' L2 B D L F L2 F' D' L' U',44
R2 F2 R' B2 F' L2 D' U' B' R D2 U2 R B U L2 U B2 L2 U2 D B' R2,x2,U2 F2 D' U2 F L2 U' R',R2 B' D F D' B F2 R F R,U R' U L F2 L U2 L2 U L2 R2 D R',R B2 L U B2 U' B' R' B' U2 B U' L',44
B2 F U' B2 F' L2 B U L' U R U2 L' R2 D' B U2 F2 L B2 R' F2 D,x2,D U' B' D F2 R B2 D2,B2 L U2 R B' R2 U2 R B2 L',B2 R2 F R2 B' D' R D' F R' D B' D,F' U L' F' D B D B' L' D' F L F U',45
U' R' D2 R B' L D2 R2 L' B' U L2 U2 R' L2 B2 U R2 U R2 L' D' B D2,x2,F L R B F' R2 U R',L B L R' F L' U R U' B' L',B U' B R' F' R B' D L D' L' U B' L,L R' U B' U2 B R B U B2 U' L' B2,46
L B2 D2 L U D2 L' D2 L2 D B2 U' F D2 R F' B U' D R2 D L B',x2,D2 B2 U B' L D' F2,R B U' L' U B D2 R' U2 L' U2,D2 L2 D U B U' B D' L2 U' L2 U B',L' F' L B F D2 F2 D' F D F D2 B',44
L F2 L B D2 L2 D2 B' L2 R' F2 R L2 U L D2 R2 L2 U B L' U B,x2,F U' F' R2 U L' D2,F2 L U' L B' R2 B2 L F2 L B R2,R B2 U B' D2 B U F L R F' R' F' U2 B2,D F' D' U L D L' D U' F D2,45
L' F2 D L B' F' L' U' R2 U F U2 L' F' L' R' B F2 D' R2 B2 U' B' L,x2,D' L2 B' D2 L B' F' D2,R' U R' F R2 D' U2 B' D L U,R' U2 F' L U' F2 U L U2 R' D R' D' B' R',D2 F D F2 U' R' D' R U2 L2 D' U' F' D',48
