scramble,orientation,step_0,step_1,step_2,step_3,total_moves
F2 D L2 D U' B2 U2 R' F' R2 F' U2 R B L U L2 R U R2 B',x2,D' F D B,F U2 L' B R D R2 U B2 R U,U B L B' L' U R2 B R D R' B' R2 U2,B' R2 B' L B R2 B' L' B2,38
F L D2 R2 U D' L' F B R' F' D' R' L' U R' D L2 B F2 R2 L' F',x2,R2 U2 F R' U,F L' B D2 R' B' L2 D2 F D,B' R2 F2 L' F D' R2 B2 R2 D F' L' F2 R2 B',B2 D' B' U2 B D B' U2 B',39
B2 F U' B2 F' L2 B U L' U R U2 L' R2 D' B U2 F2 L B2 R' F2 D,x2,F' D L' B2 F,B D L2 B D' L2 R U' B' D2,U' R' D2 L' F' D B R B' F L D R U,U R2 U' B2 D B' U' B2 D' B2 U B' R2,42
L F2 L B D2 L2 D2 B' L2 R' F2 R L2 U L D2 R2 L2 U B L' U B,x2,D2 B' R' D2 B',U F2 D' L F' U' F D L2 R F,U2 R D' R D R' B D' L' B R' B' L B' U2,F2 R B R' F2 R B' R',39
U2 D' L' F B L' F' L' B' U2 R D' B F L' B L' R2 U2 F,x2,F' D2 F' U,L B D F' D U' B' L' D' L' R,L' R D' L B2 R' U2 B' L B' L2 B2 L U2 B',R' F2 R D' B2 D R' F2 R D' B2 D,42
U' R' D2 R B' L D2 R2 L' B' U L2 U2 R' L2 B2 U R2 U R2 L' D' B D2,x2,L U F2 D2,L D2 B U R F' U' F2 U2 B' F2,F' R' B2 R2 B' D2 B F' U R2 F R2 B2 R F,U2 F' L2 B F D' B' U B' U B' D B2,43
L B2 D2 L U D2 L' D2 L2 D B2 U' F D2 R F' B U' D R2 D L B',x2,R D' L' B2 U,L' R U L2 F2 U B D' L' U2,B R2 D2 F' L2 R' F D' B' D2 F D' F' R' U2,R U' L2 U R' U' L2 U,38
R' U2 R D L R D F' L2 R B2 F2 L' B R L2 F' L R U' L',x2,D2 R2 U B2,D' L R' F R2 B U R U2 B' L2,F' R' F D' F D' B F2 D2 R F R B' L2 D R,F2 R B R' F2 R B' R',39
L' F2 D L B' F' L' U' R2 U F U2 L' F' L' R' B F2 D' R2 B2 U' B' L,x2,L' D' R U B',U' R' D R B' U' B' R' U2 L' R2,B2 L R' F U' L U2 F' R U2 B' L2 B L2 U2 B',U' B' D2 B U B' D2 B,40
R2 F2 R' B2 F' L2 D' U' B' R D2 U2 R B U L2 U B2 L2 U2 D B' R2,x2,F U2 R' U,D' L' U' B U' L D2 R D' U2,F L' F' D' U B D' U' L' D' R D2 L D' R' D',R D' B2 D R' F2 R D' B2 D R' F2,42
