scramble,orientation,step_0,step_1,step_2,step_3,total_moves
F2 D2 F2 D2 R2 F2 B L' R' B R U F2 L F2 L' F L' R B D' B U2 R,x2,B' L' B U B' R U2 B F2,L' D' U' R U' B' U2 R' D L,B U R2 U2 R2 U R2 U R2 B',B2 R U' F2 U R' B2 R U' F2 U R',41
B R2 F2 R2 F' R2 U2 R L U2 B D2 L' D2 U' B R2 B' F' U2 L2 R D,x2,B' F L F' R2 B L2 B2 D,D2 F R D B R D U B2 U L2 B,U L F R2 B' F R' D2 R' B F2 L2 U' L,D2 U L B L' D2 R F' R F R2 U',47
D' U2 F' L F2 L' U2 B' R' U L U' D R' B D' U' B2 R F,x2,U' F' U2 L B' D2 L' D' U',L B' F U2 B F' L,R' D F L2 D' L2 B2 F2 U' B2 F R2 D' R',B D F U F2 D' L2 B2 D F D' B U2,43
D2 U F' L D2 R L' F' B D R2 F2 R2 F' B' L D2 R' B' F2 U' B' L U2,x2,D2 F2 R2 D2 R' D F' R',D' L2 U' B U' L B' D U F2 U,U2 B' F' R' D2 F2 L' F R F2 L B U2,D2 U L B L' D2 R F' R F R2 U',44
B' L2 B2 R' L' B D2 U B2 U2 F2 L2 D' R L2 B' D' B' D2 L' B F' D2 U' B',x2,U' L2 F R2 U R D2 R' D B,B' D2 U R' F2 R2 U' R' D2 B,L' U' L2 R2 F' L D2 F L R2 U2 L B U',B D F U F2 D' L2 B2 D F D' B U2,47
L2 D' U F' L' R2 F' L R' F' L' U F' U2 D R L U D F2 U2 D2,x2,F' R2 B L F D2 B' L F',D' B U R U' R' B D U' L2 U,U2 B U2 F2 U R2 D2 U2 F L2 F' U F D2 F,,35
R' F R B' F D2 L' B R' B2 L2 B U' B F U' R F2 U2 B2 L2 R',x2,F R' U2 B' U B2 D2 L B,B2 L2 B2 L2 U2 L U2 L',F' D' B2 L B2 F U' F' D F2 U F2 L F L',B2 R U' F2 U R' B2 R U' F2 U R',44
L D2 F2 U' R F' B' R L2 F2 U2 R2 L2 F B U' B D' L' F' R2 F' U R F,x2,L2 R F' D' L D2 U L' D L',D' L U' F R' F2 U F L' R D,U' B2 R B D L D' B2 R' B2 L' B U2 L U',U B U' B2 U2 B F R B' R' F' U2 B,49
L2 D L' F' B D' R2 F2 D2 R' L' D2 U' R2 L F' L U L D B,x2,F2 D L2 U2 R' B' D L' F,L' U L' F L2 F D2 B D2 U',D2 U' L D L' D2 B2 L2 B L2 B U R D' R',B2 R U' F2 U R' B2 R U' F2 U R',46
L2 B' D B L' B L D L D B' L2 U L2 D2 U' L' U' B2 U D2 B' F2 D',x2,L' D F2 R2 B2 R' B R D2,U2 B2 D' R' D' U F U F2 D2,U2 L' B' L B F' L B F U2 L B' L' U2 B' U2,B2 R U' F2 U R' B2 R U' F2 U R',47
