scramble,orientation,step_0,step_1,step_2,step_3,total_moves
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,B' D' B2 D L B' L2 B U' L',F' D R U R2 U' R B D' R' F,L D R2 U F2 R' D R U' R2 D2 L',,33
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,B2 D U F2 U2 F' D L B' U',D R U' B2 D' L R' F2 L' U' R2,D2 B2 L' B L B2 L' B L B' D2,D2 B' L B D F U L' U' F' D,43
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,L2 R F' R' U' L2 U' F L B2,D L F2 R U R2 F2 L2 D L D',U2 F2 U F2 D' L2 U L2 D' B2 D2,,32
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,F2 R D B' L2 U B2 U' R2,D2 L B' D F L2 U2 L' F2 D F,D2 B' L' D L' D' L2 B2 L' B L B' D2,B' L2 B2 L R D L' D' R' B2 L B L,46
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,R2 D' R' B2 L D2 R F' L R,B U' F R B' D' R2 D R' B' F',U2 F L2 U2 L U2 L F2 D2 R' D2 F U2,B D B' F L2 B F' D B',43
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,B2 R D2 U' B2 F' R' D2,B2 F' D R D2 B2 F D' L' B2 D,U2 F' D R B U R' U' B' D' R F U2,B' L2 B2 L R D L' D' R' B2 L B L,45
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,L' B L2 F' R B' L2 R' B2,D2 L B D F' D2 R' D' R' F,D2 R' U' B' U B F R B' R' F' R D2,F' L' F' L' F L F L F L',42
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,B' U L U R' D' L' R B' L2,F U' L' F2 D2 R' B' D F D' L' D2,R F2 R F2 R2 D2 B2 L' B' L' B2 L B' D2,F' L' F' L' F L F L F L',46
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,D U2 R F L2 B L2 B2 U' F L2,L2 D' F' R D F2 L' U F' L' B2,D' F U' F U2 F2 L2 F' D2 B2 D' F' U' F2,L D' B F' R D' R' B' F D,46
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,R2 F L' U F L2 R' F2 U B F,B2 F' U' R' U B2 F D R D',D' B' D L F L2 F' L' D F' D B D2 F,L D B2 F2 U' R' U B2 F2 D',45
