scramble,orientation,step_0,step_1,step_2,total_moves
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,L2 B2 F U2 L D B R,B L' U2 F D2 U2 B L U' L2 U L B' L B',,23
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,D' R U' B2 D L2 F' R F' R',L U2 B R2 B' U2 B' D2 B' U2 F2 R D2 F2 U2,L U F' L U2 L' F U' L' R2 D' B2 D R2,39
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,B2 L D' R2 U' F L2 F D' U' L,D L D' L B' L' D' B L B2 L B2 D' B2 L,R2 D' B2 D L R2 U F' L U2 L' F U' L',40
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,U' R2 B' L F' L' R2 B' D' U' F2,U' R' D' R B D B' F L F' R' D R U,R2 B L' B' D' L U' L' U2 B' D U2 L U R2,40
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,B L2 B2 U' L U' L2 D2 F,L' D L' B L2 B U' B' L2 R2 B2 R2 B L2 U B',D' L2 B U' L2 U L2 U B U' B2 D L2,38
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,B' F U' L' U2 B D2 F' D' U2,R' F2 U2 B L2 B L2 B2 D B' L D' U2 F2 R',L F D2 B R' B R B2 D2 F L F2 L',38
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,R2 U2 L2 U' B L B2 L D B U',D' L2 F2 U2 F D' L2 U L2 R D R F' U2 F2 L2,,27
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,B U2 B2 L' U' F L R2 B' L,D' U R D R' B D2 U R2 D2 U' B' U' B' D,D' L2 B U' L2 U L2 U B U' B2 D L2,38
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,U L2 B2 L D B' U L' D' B,R U2 B2 D U R' F2 L U L2 B U2 B' F2 R U,R2 B L' B' D' L U' L' U2 B' D U2 L U R2,41
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,F' R2 F U' R2 U2 B R D2 U,U2 F' D' B U F U R U R' U2 B' D R' F U2,R2 B L' B' D' L U' L' U2 B' D U2 L U R2,41
