scramble,orientation,step_0,step_1,step_2,step_3,total_moves
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,D U' R U' F L' U',F U L R' F' L' R F',R D2 U2 B U2 L2 B U B U' B2 L2 D2 R',U2 R U' R' U2 F2 D' L' D F2 U,40
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,U' F L' F2 L' F' R' B,R' U' F R B U2 B' U2 F',U' L' R F U' B2 D2 B D U F' R B L,L U2 L' B F' D L2 D' B' F,41
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,R D' B' R D2 U' F2 R' B,B R' F R U F' U' B',B' L2 D2 R2 F U' B U' R2 D2 U' F U B2,R2 B' R2 U R B' R B2 U' B' U' B U R2,45
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,B' L' R' D' F D2 L U' F',L2 F U2 L' F L U2 F' L2,U' L' F2 L' R' B' R B L F' R F' L U,U2 F R D B2 R2 U R U' R2 B D' R2 F',46
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,R2 B' U2 R2 F L' B' R,F R' F L2 U R U' L2 F2,D2 B2 D F2 D' L' U L U B2 D2 F2 R',R2 U' B' U B U B2 R' B R' U' R2 B R2,44
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,B2 F2 R' U F' L' B2 D L2,U' F D L U2 R' U' L' D' F',F2 U F' U' R2 F' L' U' R2 U L F' R2,U R U2 R' B D2 B' L F2 L' B D2 B' U',46
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,F2 D U' F' D' F2 U' B D2,F' U R D2 B2 D L' D R' F U',U L' U2 F' U2 L' U2 F L B2 D L D' B2,F' D' B R B R' B U2 B' U B2 D F' L2 F2,49
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,R D' L2 R B D B2 L',L' U R U2 B U2 B' U L R',F' L' U2 R B' R2 B U2 L R F R',D2 U B' U R' U R U B' R B R' U B D2,45
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,L D2 F' L2 R' F2 U' B U',L' U' B F2 L' B' F U2 F L,B' U B F2 U2 B2 R U2 B D2 B' F2 L D2,F' D' B' F' U B F' L' U2 L' U' F U' F2 D,48
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,D2 U' B L D2 B' U L,B2 R' B R2 D2 F2 D2 B' R B2,D' B2 F2 L F L' D2 U2 R2 U B' D' F2 L2 U,F' U L' F U' F R D' U' B' D U R2 F' R,48
