scramble,orientation,step_0,step_1,step_2,step_3,total_moves
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,B U' L R F D R2 F2,R2 F U B' F' L' B2 L R2,D U2 L' B U F' U2 B' F L D' U2,D R2 F U2 F' D' L2 D R2 B2 D B2 D' L2,43
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,D2 U' F D' L' B2 R',L' R' B D' L B2 D L2 R D',D' U R' B' R B U R D U2,B' U' L' U L U' F U' F' U2 B,38
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,U2 B' D L2 B' F' L U' B2,R2 F U B2 U' F' R2,D' U F2 U R' U' R D U' R2,D R2 U' R' U' F' U2 F2 U F' R' D' F',39
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,B' F2 D' B' U' B U2,R2 B' R2 D2 F2 L' F2 D2,D' U2 L' B U B' L D U2,U' B D2 U' L' B U' B' L D2 U B' U,37
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,U2 R F' R' U' F' L' B,R2 F R' U2 L2 F L2 R F' R2,R U2 F L B' R2 B L' F' R',L2 D L D' L D2 L F' D F D R' B2 R,42
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,R D' F' D' U B2 R' F',D R2 D' B' D B L R2 D',R' U' B2 U2 R2 B2 U' B2 R2 B2 R,B' D' L' R D' R' B D L B D L',40
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,L F' D2 R' D U B,R2 B2 F U' B2 U2 B F' R2,L' R2 U L' D2 R D2 L U' L R2,L' U2 R' U L U2 R2 D' R2 U F R' D R2 U2,42
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,D2 R F' L B2 F2,R2 F U' B2 U F' R2,D B' D' B' F2 D2 L D' B2 D' F2,L D L U B2 L' F' R2 F L' F2 D U R2 F2,39
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,D' F2 D F R F L2 B2,D' U' F D2 B U B L D' R2,D B U2 B2 D2 F' R2 D2 B D' U2,D R' B D' U' B2 U2 B U2 B D U L' B' R D',45
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,U2 F' R2 U2 R' B' R',F L' D' L D B D' B' F',D2 B2 D' L' D' B' D2 B' D2 B',L' U R B2 R' U2 L' U L' U' L2 U L' B L B',42
