scramble,orientation,step_0,step_1,step_2,step_3,step_4,step_5,total_moves
B2 D' B' D2 B' U' B2 F L' F2 R' F' B2 L' F2 R2 F' D2 U' L U' F2 R,x2,R2 F R D' L',B' F2 R' B L D2 L' R,F2 L' B' F' R D B R' F L F2,B' L R' U L' R,U L' F' L' F U2 R U' L U R' U,B R' U2 L R U B2 L2 B2 U L' B',54
R' D' U2 B2 U2 B' L B' L2 F2 R2 D2 B' F2 L2 F' L D R F',x2,B' U2 L R2,L2 D' R F' D F2 L2 R',D' U2 B D B L' B' L' U2,L U' L' R B R',F U' R U' F2 D B' D' F2 U2 R' F',U' R' F' L' B' U B L F R,49
L2 D2 U2 F2 R B L2 F' B2 U2 L2 U' B' L' B R2 D' R2 U' B,x2,F' D2 R' U,R2 F R2 D B2 L' D U' L,F' R2 D' F' D F' R F2 R F,L2 B' D U' L D' U L2,L' U L F2 D U' B2 U R D' R F2,R' B' U2 L' D2 F2 U2 R' D2 B' R,54
B2 F2 U F2 L D' U F L2 B' F R U L F2 U B2 L D2 L' R' B2 F D,x2,L D' F' L' R,L' D' B' D' B L B',R B' F L' F' R F' D L F' R2,L2 B' D U' L D' U L2,B L U L' R' D2 L2 F L2 D2 R B',R2 U' B2 D' F' D' F L' D2 B' U B' R,56
L2 R D U' B R U B2 F2 D2 F2 U' R L2 D' B D2 L' U R2,x2,L D F' U2 L,R2 B2 D R B2 U F' U' R2,R2 U' B' F2 L' B' D' L' B' L' F2,D U' L D2 U2 B2 D U' L2 B',R2 U' R' U R2 D' R U' R' D U,U' B R D L2 D' R' U R B2 R' B',58
U2 L B2 U' F' D' U R2 D R2 L F2 R' F L' B' U F' U L F2 R' L B2 R,x2,U2 F L' B' L2 U',F2 D' R' D F R F,D L' R' U F2 R' F2 L F' R2 D',B' L R' U L' R,F' L2 D U B U' B' D2 B2 L' D F U',L' B F' D L D' B' F L U',53
B2 L2 D2 F2 U' L2 U2 L' F' R' U L B2 U' F R U' B2 U2 D B',x2,B' D2 L2 R,B F L' F' U' L B',R2 D L B2 D B D2 L' F2 R2 F,B' D U' L D' U,R2 D' F' D F2 D' L D' L' D2 F2 R2,B L B F' D' B D B2 F2 U2 B F' L B2,54
R D2 R U L U' D2 L R' F2 U' F2 B' R' D2 F' D R F2 B2 U F',x2,L U2 F2 D',B' L B2 R' D2 L' D2 B F2,B2 F' R D' B2 L' B2 R' F U B' U,D F2 U2 R B2 U2 F2 L D,R' U' R2 U R B2 R' U' B2 R' B' U B2,L2 D' R' B' R D L U B U' L,58
L U' L2 D' U L D' L' U2 L U2 L' B2 R' F U2 D F' L2 U2 R L D' U' R,x2,L2 B' U' L R',F2 D2 U2 B' F' L U2 F',R2 D U' F' L' B D' B' U R2 B L,D F2 U2 R B2 U2 F2 L D,B D2 R2 F R U' R D' L' U2 L D' U',R2 B' D' U R F2 R' D' F D U' R' D B,61
U2 B' F2 D' L R2 B' D U2 F2 U' D2 L' R F2 R2 U' F L B U' F' R2,x2,L U F2 D,D L F R F' D U2 L' D2,U2 B D2 L' D L D L' D B' U2,B D U' L2 D' U B,U2 L' R' U2 F' L' F U' R U' L U',R2 B' D' U R F2 R' D' F D U' R' D B,57
U' D2 L2 R2 F2 L U' D2 F B2 R2 U F' U2 F2 U' R D2 B' F' R' F2 R',x2,B' F' U R' D2,F2 R' F D R2 B2 D2 F,F' L F U2 F' R' U R B U' F,D U' L D2 U2 B2 D U' L2 B',L2 U2 B2 L B L' B' L' U2 L2 U' B U,R U F D B R' B' D' F' U',57
F R B R U D R' B L R' B2 R U' D' R2 F B' R B2 U' R L B' D2 B',x2,F2 L' F D2,D B2 L2 B2 L2 D',L2 B' D2 U F' D2 U' F' U F L2,D U' L D2 U2 B2 D U' L2 B',F' D2 R2 U2 B' U2 R2 D2,R2 B' D2 L U2 F2 D2 R U2 B' R2,50
R2 F U L R2 F D U2 F2 U' F2 R2 L B2 D2 F B D' R F2 R2 L2 B U',x2,R B2 D2,D F' R2 F' D' B R F2,U' F2 D B' F2 D B D' B U' B2,B2 L R' U2 L' R,U2 L2 U L' D' U B D L2 U2 L2,R' B D' U R' F' R D U' B' R2,50
F L2 U2 F B' R L F' U B F2 U2 L B' R' B' U2 B' F U',x2,D F2 L' F,U F2 R2 F' L F' L' B2 D L2,U2 B' D' B U2 L' U' L B' D B,B' L R' U L' R,L F R2 U' R U R2 B2 F' L' B2 L' U,R B' R' B' R2 F D B D' B' F' R2 B2,57
R B U2 B' R2 L B' R2 B2 D' U' R2 B2 D2 U R2 D' U2 B U,x2,R' B2 D L',D2 R2 F2 U' R2 U B',D L R2 F' R U R' F L' R2 D',D U L' D' U B U2,L B F' L' B' F U L',R' B D' U R' F' R D U' B' R2,48
F2 U' R2 D' R F' B2 U2 L B' F' L' F' R' B2 U' B R' F2 D R2 F2 D2 B2 L,x2,R' B L U' F2,L B2 D' U2 L B' L2 B2 D2,U' R' B R' F D F' R B' U R,L U' L' R B R',U' B' D2 U' L' B L' B' L2 D2 B U2,R' B' U2 L' D2 F2 U2 R' D2 B' R,54
F2 U' F' D F2 R2 F L' R' F2 R B R D2 U' R2 L B2 L' F L' B2,x2,L' U F L',U F L' U' F' D' B D2 B,F' R2 D2 R2 B' F2 D' B R' D F',B2 L R' U2 L' R,U' B' U2 B' U' B' U R' U' R U B2 U',L' U' L' D' U' B U B D L2 U',54
F2 R' U D2 R B F2 L' B2 F2 D' B2 F' U2 L F2 D2 B2 R2 L B2 L2 U2,x2,D F' U2,L2 F2 R D2 R2 U2 B F2,F2 L2 D L D' L F2 U' F' L F,B D U' L2 D' U B,D2 R' F R' F' U2 R2 D2 L U' L,U B' L2 B R B R' B2 L2 B F U F' U2,54
B2 D2 B' U F B' D2 R2 U' D2 R' F' U' L2 R B' L2 B2 D F U' F D' B' F2,x2,U2 B F D,B L B2 D2 B2 U2 L' B,U' B2 F2 L B' L' B' F2 U,B L R' U' L' R,L F R2 U' R U R2 B2 F' L' B2 L' U,U B' L2 B R B R' B2 L2 B F U F' U2,54
L R B2 L2 R D F' L' D2 L2 F R' L' F' R B' U2 D L2 U' R2 B2 D,x2,D2 F2 L' B' L' U',U' L2 D L2 D2 L D2 U,U F' L B' U' B2 L2 B' U F U,D U L' D' U B U2,B' U2 L2 B L U' L U' B' U2 B U2 B2,U' L2 D2 F R' F D U' R' B' D2 F2 L D',59
R' F2 L B2 D' L2 B2 R' L U D' B U D R2 U' F' B R' B R' F2 R',x2,B U' F2 D',R' F2 D2 R2 F D2 R,L' B U B2 D2 B' D2 L B2 F L F',L2 B' D U' L D' U L2,L D R' F R D' L2 U' B' U' B L,U' B R D L2 D' R' U R B2 R' B',55
U2 L2 F' U2 D2 R B2 L' B R2 L B2 U F B L' D2 B' F D F2,x2,F2 L2 U2 L F2,L F2 R D2 U2 B R' F2 D2,B R' B' F D F L D B L' D' F2,B' R B L R' U' L' B,L' B U' B F' L B2 F L,B L' B' F U B U' B F' L B2,54
B L R2 F' D' L' D' U' B D' U L D L B D2 R' F R2 L U' B R',x2,L2 D' R,D F' R' B2 F' D2 F2,L' B2 F L B' U2 L' B' F' U' L,B' D U' L D' U,F' L F L2 U' L U L' F' L2 F U' L,L' U' L' D' U' B U B D L2 U',51
L' D F' U2 L' D F2 B' R' D U B2 U D L2 B2 R2 F B' L' D R',x2,D L2 D R,F R U' L2 B2 L U F',D2 B L2 F' L' D' L F L2 B' D2,L U' L' R B R',B2 R' D2 U' B' R B' R' B2 D2 R U B2,B' D' F' U' R' U F D B R,52
L' R' U' R' B2 D' U' F' U B U F' U D B2 U2 B' D' B2 F2,x2,U R' U' L,L' D2 B R' B' L R,F' R' F' U' R U F2 R2 F' R2,,U F' D2 L' B D' B' D' F2 U' R' F',R2 B' D2 L U2 F2 D2 R U2 B' R2,44
L U B' L' F' U L' F' U L' F D' R2 U F D' F2 L2 B R' F',x2,F L2 U L,D R F L' F2 L B' R',F L B L2 F' L R2 F' R2,B' L R' U L' R,L2 U2 L' U' F' D' B2 D L F L',L2 D' R' B' R D L U B U' L,49
R D L2 F2 D2 U F D B' L R2 U2 B' U2 L F' B2 R' D R',x2,R2 F' L U' R',B2 U L' B2 L' B2 D2 U',R' F2 L F2 U2 R B2 U2,L2 B' D U' L D' U L2,U B' U F' L2 B' D2 F' D' F D' L2 F,L' U L F R2 B' U' R' U B F R2 F2,55
R F B D2 R' B L D B L' D L F' B' R2 L2 U' R F' L U L2 D',x2,F2 L B L,D2 F2 R2 U R U' B F2,R2 F D L2 B2 L2 F2 D F' R2 F,B' R B L R' U' L' B,U' L' U F2 D' B D' R' D2 F2 L' U2 L,B2 L' B' F U B' U B F' L' B',55
B2 F' L' D2 F2 L' B U2 B' U2 F L B2 U' B2 U R2 L' F' R2 D2 L2,x2,L' D2 F2 L',F U R2 B2 L2 B2 U' F',D U L R' F U' F R D' B',B D U' L2 D' U B,F' L2 D' U' B' L' B D U L' F L',B U2 B' L' U L' B' U' B2 U L B' L U,55
F B2 R L' F L' R2 U2 B' D2 R2 D' L' D B' L' F L2 R' U F2,x2,D2 F L' R2,F R B U' B U' L2 U2 F',F' D' B' D2 L2 U2 L D' U2 L F,D F2 U2 R B2 U2 F2 L D,F U2 L D2 B2 U2 R D2 F,B2 R D U' B' L2 B D L' D' U B D' R',56
F U' R' U2 B' R2 D B U' R2 U2 F2 L R2 F' D' R2 U' L' B' L' F' R U D,x2,F2 D' F' U,F2 L U2 B2 U' L' R2 D2 F2,B F' U2 L2 R2 F' R F2 R U2 L' F,R B' L R' U L',B' U2 B D' B L U2 B2 L B2 L' B D,R' F' L' R U R' U L R' F' R2,55
B' L R' D' F D L' B2 U B' U B R2 D U B L U' R' U',x2,D2 L U' F,L2 D2 B' L2 U' L D2 L2 D,L D2 L U L' B' U' B D2 U L',L2 B' D U' L D' U L2,U2 B' D B' U B' D2 R2 U F D R2,U' F' L2 B L B L' B2 L2 B F U B',57
U2 B2 F R B' F U' D' B2 R U R2 D' L' B2 D2 F U B L F' D2 R' U' B',x2,F2 L' F',B' F' D' F2 L U2 L' F' D,R D R2 D2 L' U2 R U' F L F,,B R B R' F R2 D B' D' B' R2 B' F',L' U' L' D' U' B U B D L2 U',47
D' F' D U2 F R2 L' D2 U' F' B2 L' B2 F U2 L2 R D R' U' L2 U L,x2,D' F R2,D B F2 R2 D' F2 D',F2 D F2 D' R2 F2 D R2,B L R' U' L' R,U2 B' L2 D2 R F' R' D2 L2 B' U B U,R2 B' D2 U2 F2 D U' R' F R' D U' B R,51
L' B L' U2 L2 R B2 F' R' U' D' R' L' U' B' L' U' L2 F2 D2,x2,R U2 B L',D F R2 F2 R D' B' F D2,B2 F L U L U' L2 B2 F',D F2 U2 R B2 U2 F2 L D,B2 L B D' R2 F R F' R B2 D U B' L',L' U L F R2 B' U' R' U B F R2 F2,58
B R' B' L U D2 B' L U2 R' D2 R B2 R2 U' D' F2 D2 L2 U D R2 L' B2 F',x2,F' U2 L,D2 L U L' R B R' D2 B,D R D' L B2 R' D' B2 D2 L' D2,D F2 U2 R B2 U2 F2 L D,L' U' B L2 B' L F' L' F2 U2 F' L,D2 L R D R2 B2 R2 D L' R',54
R U2 L R2 D' L2 R D2 U B U2 R U' R D F' U F B2 L' D2 U2 L2 B2,x2,U F D2 B' L2,B' F R2 B F',R' F2 D2 R F2 U2 B D2 U2 R D2,B' D U' L D' U,U' B' R B D B' R D' R U F2 R,B L B F' D' B D B2 F2 U2 B F' L B2,53
R U L2 D2 B2 L R' F2 D2 B U2 D B L R2 D' U' L R' D2 B',x2,D F' D U L2,R2 D' L R2 B U2 L' B2,F2 D' U R' B D B' U' B F2,L R' U2 L' R B2,U2 L2 U2 F' L' F L U2 L2 U2 L' U' L,R' F' L' R U R' U L R' F' R2,53
L F R2 D' L R' B' L' B' D U R2 D U' L F' U2 L' U D F L,x2,U' F D U,L' B2 D2 B2 L2 U L' B,D2 B F R2 U' R' U R' B' F' D2,R B' L R' U L',F2 L' D' L F' R2 U' B U B R2 F',B U2 B' L' U L' B' U' B2 U L B' L U,55
B R' L2 U' B2 D F' L2 F' R B' R' U B' D2 B2 R2 U' R F' R U F2 U2 B,x2,D B' R2 F' L,B F2 D' L2 R F L2 R' F2,D L' B R B2 D2 B L R' B D',B' L R' U L' R,L' U' B2 F' L2 F' L B' L' F2 U2 B' L,U' L' U' L U2 L2 D' U' B' U B D L2,57
F2 U2 R D R' U' D2 L R2 F2 R L D' F D' F2 U B2 F' U D' F R' L,x2,F R F U,L D2 B' U2 B2 D2 L',U' R2 B2 R2 F2 L B2 L F2 U,D F2 U2 R B2 U2 F2 L D,U2 L' U' F' U' L2 U L F L,R' B D' U R' F' R D U' B' R2,51
L U D' F2 U B2 R' U D' B2 U2 F' U F2 D' U' R2 L2 U R' U' L' R' B2 U2,x2,R' B F2 L',B' L' F2 U2 F2 D' L,L' B2 D' L F2 D F2 L' D B2 L,D U L' D' U B U2,D2 F' U F U R2 U2 F R' F' R D2 L2,L' B F' D L D' B' F L U',52
U2 L2 B' F U R L D' L2 F2 L2 B2 R2 D' U' F' U' R' D F R2 L2,x2,B2 R U' L F,L U' B' U B' L' D2,D' R D F' U2 B2 L' B' U B2 U F,B' D U' L D' U,U2 R' U' R2 D R' B2 R D2 L' D R' U2,R B U' B2 F2 D B' D' B2 F2 U R',55
U F' R' U' R F L U F' U' R L U' D R' L' U' L' R U D,x2,U R' D2 U2 L2,B2 L R' B' L' R D B2,R U2 B D' L D2 L B2 L2 D U2 R',L R' U2 L' R B2,U' F' L2 F2 D2 R D B' D F2 L2 F U',L' U' L' D' U' B U B D L2 U',55
L' B R2 F2 R2 D B' F2 D U' L B D L2 U' R' B' D2 L2 U' B' L' B R,x2,U2 L' F2 D L' F',D B F2 D R B D' F2 D',U F L U2 B U L' U' F' L,L R' U2 L' R B2,L B' D L2 D' B L2 R B' L' R' B2 L2,U L' B F' D L' D' B' F L,54
R D2 F' B' U2 D F2 R2 F' D' L2 F2 R' D' L U2 D L2 F R' D2 R B,x2,F2 D' F' L' D2,F' D2 R D B' F' R F2,L F' L2 U F L' D' B D' F R D2,D U L' D' U B U2,U L2 U L D U' L' U2 L2 D' L U B2,R' B2 F' L2 D' F2 L2 B2 U' R2 F R,57
U D2 R' L F' L2 B D L' F D' L2 R2 D2 L2 F' D2 R' F U' B' D2,x2,D' B' R U2 L,D2 F2 R2 B' F2 L' D2 L B2,D R D F' D' B' F D' B R' D',D U L' D' U B U2,U' L B' F U2 B F' L U,B R' U' L' U L R B2 L2 B' L B L B,55
R2 L' U' B2 U F2 D F2 L2 R D2 L' B' U' L' B' L2 B R2 L U' F2 U',x2,F' L2 D' L R,B L' D R' U F' U' L R,D2 R' D2 R F2 U2 L' U2 R2 F2,D U L' D' U B U2,U' B' D2 U' L R2 F L' F' R2 D2 B U2,B2 D2 R2 U2 F U2 R2 D2 B',53
F U' R' B' L' R D R2 B2 L F' U D L2 B2 R' U' F U F2 B,x2,B D' U' F,D F' D B2 R2 B R D' F,U2 B U' F' L2 F' U B' U' F2 U',L2 B' D U' L D' U L2,F U F' D' U2 B2 U' B D L2 U2,B2 L' B' F U2 B2 F2 D' B' D B' F L' B',57
L' D B R U2 L B L2 R2 B F R2 L B2 U L' U2 D' R2 B' L,x2,D U2 L2 F' L2,B L2 B2 L U2 L D2 B2,F2 D U L2 F' L2 D' U' F2,B' D U' L D' U,R2 D2 L2 D' B U R2 D2 F' U F' D F',B L B F' D' B D B2 F2 U2 B F' L B2,55
