scramble,orientation,step_0,step_1,step_2,step_3,total_moves
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,L2 F R U2 R',D' U2 L B2 D2 B F' D L F',F' U2 L' D L' F D' F' D' B' U2 R2,D U' F' U' R2 D R U F D2 F' D2 U,40
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,B D2 U2 B U2,R' D2 U2 L F' U' R2 D U',F L D L' D' L' B F' D' B' D2,F' L D' U B' D' B' D U' L D F,37
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,B L B F L2,B2 F' U R U' R2 F' U' F2,L U L' D' L U' L2 F' D F D L,R' U2 F' R2 B F' U B2 F2 D B U2 R,39
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,D B' D2 L U' R,F' L2 B2 L B U2 B2 D2 B D,U2 R' D2 B2 R' B' D B' D R U2 L',F' R' B' R2 D B' F L' D2 B2 F' R F,41
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,U' F' U F' R,F D R2 U' F L2 B2 L2 R' F,U B2 D2 B' D' U' L D L2 F' D' F,B' D' B' F R' B' L2 U2 L2 B' L R F',40
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,D' R F2 R2,D' F' U2 L' B' D' R D2 L U F,F D2 R' B2 R D2 F2 R U2 R' F,D2 B2 L B2 F' D' B2 F2 U B' U' B' F' D2,40
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,B R' U L2 R2,B D R D B' F' U2 F2 D' B' F',L B L' B U' L U B U' L' U B2,L2 U B2 U2 F2 D2 B F L D2 L' B' F U,42
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,D2 R F' L' R',D2 R U2 L2 F2 L U2 B' D2 B,B' D B' L' B L2 B L D L' D2 L2,F' R D B2 F' U' B' F R B' D' R' F,40
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,U' F2 D2 U' L2,B D R2 B' D' F' R2 F' L F2,L' U B2 R D B2 U2 F L F2 U,F2 R B' F D B2 L2 F2 U B F' L B2 U2,40
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,D R' D B U2 R2,B U R' D2 B2 L2 D U2 F2 L2,F D' L U B D U' F' R' D2 R,L2 B' F U B U' L B F' D' L B' L,40
