scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 D L2 D U' B2 U2 R' F' R2 F' U2 R B L U L2 R U R2 B',x2,B2 U L2 U F R2,U L2 F2 D R' U' F2 D',L2 B2 R2 D2 R D' R D B2 L2 U2,L2 F L' F U' F' L' U L F U F2 L',B' L2 F2 D' F2 L2 B2 U' B',47
F L D2 R2 U D' L' F B R' F' D' R' L' U R' D L2 B F2 R2 L' F',x2,B R2 B2 D' L' F' R,D2 B' U' B D2 U2 F' U',D U R U' R' U F' R' U2 R U F D',L2 R2 F' U F' U' F2 R2 D R D' L2 R',B' L2 F2 D' F2 L2 B2 U' B',50
L F2 L B D2 L2 D2 B' L2 R' F2 R L2 U L D2 R2 L2 U B L' U B,x2,F D B' L' R' B' U' F2,F L U2 B2 D B2 F' U' F L',B' U2 F2 U R' U' F2 U2 R' F' R2 B F2,U R2 U' F L2 F' U R2 U' F L2 F',U' R U B F' L' U' L B' F,53
R' U2 R D L R D F' L2 R B2 F2 L' B R L2 F' L R U' L',x2,B' D' B' F2 D F2,F' U2 B' L' U L R U R B,U2 F D' L B L B2 L2 D2 F' D' U2,L2 R D R' D' R2 F2 U F U' F L2 R2,U2 B2 D U L U' L' D' B2 U B U B',54
L' F2 D L B' F' L' U' R2 U F U2 L' F' L' R' B F2 D' R2 B2 U' B' L,x2,U F L U' R B' U',D' U' L D' F2 L F2 U B D2,F' L F L2 B' U' R U' B L F' U',B D' B' R B D' R' D' R D2 B' R',F2 D' B' F L' B2 U2 B2 L B F' D F2 R2,55
U2 D' L' F B L' F' L' B' U2 R D' B F L' B L' R2 U2 F,x2,U B L' D B L' D,U B2 R' F U' R' D L2 D',D R' F' U2 F R' U2 R U R2 U R2 D',B2 F' D' R D R B2 L F' U' F L' F,B F' L' U L B' F U' R' U,52
R2 F2 R' B2 F' L2 D' U' B' R D2 U2 R B U L2 U B2 L2 U2 D B' R2,x2,L' F2 D R2 B' U,U' B' U2 F' U' B' D' R2 D B2,B' D U' R U' L' B' D B2 D' L D' U2 B,U' F' D F D2 L2 U B U' L2 D U,,42
B2 F U' B2 F' L2 B U L' U R U2 L' R2 D' B U2 F2 L B2 R' F2 D,x2,R' F' L' D2 U' R,D2 B2 D R2 F2 L' F L R2 D,D U F' U2 L' B L F R2 B U' B' D',D U2 R' D' F2 U2 L' U' L U' F2 U2,B2 R D U' B2 D' U R B2,50
U' R' D2 R B' L D2 R2 L' B' U L2 U2 R' L2 B2 U R2 U R2 L' D' B D2,x2,D' F L' D' B2 F D',D' B' R2 F R2 B D' B2 D2,U2 L F L' D R U' L' B2 L R' D',B2 D B2 L2 F U F' L2 B D' B',F2 D' B' F L' B2 U2 B2 L B F' D F2 R2,53
L B2 D2 L U D2 L' D2 L2 D B2 U' F D2 R F' B U' D R2 D L B',x2,B F2 D2 R2 U L B2,L' U' L' F' L2 D R2 D' F2,B' F R B U2 F2 U F2 U F2 U2 F U',B2 D B2 L' F' D L2 B' R' B L2 D' F L,B' L2 F2 D' F2 L2 B2 U' B',52
