scramble,orientation,step_0,step_1,step_2,total_moves
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,L2 F D F' U,R F2 L D2 R2 F' R2 B2 L' B2 U,F' R' F2 D' B F' R B2 D F D B F' R',30
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,F2 L B' L2 U R',D2 L' U2 B2 U L F' L2 U2 L' F L' R2,D2 U' R' B' R2 B D' B' R' B D2 U R' D,33
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,F' R U' B F,R' B' U' B' D B' D' L2 B' R2 D' B R',B' D' B R D R' B2 D2 B F' R' F R' B R,33
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,B' L B D R D,F U B' F' L2 D2 F D R' D U,R2 D R2 D' R D2 R D' R D' R D' B R2 B',32
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,R' B F R' F,B2 L2 D' F2 D2 U R2 D' R' B R' U2 R2 B',R B2 F2 L' D L2 R2 U' B' R D2 U2 L' F,33
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,L2 B2 L B L' D2 F2,L' U R2 D U' F' D U F' R2 B L U2,D' B R D R D' B' R' F2 U2 B' L' B U2 F2,35
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,U2 L U' B2 F2 D2,F L2 U' F2 R B2 L' U F2 R' D2 L D2,R2 U L R2 D2 R' F' R2 F L' F2 D' R D2 F' U',35
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,R B2 D' B' D2 B,D2 L2 R D U2 F L F2 R2 B L' U' B2,F L' F R2 U' F' U' B' R2 B U2 L D' F2 R2 F2,35
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,D' U2 L D2 R,B' D L' D F2 R2 U F' U2 F' D2,L B U' B2 L2 B' D B2 U R2 U' B' L2 B2 U L',32
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,U2 R2 U2 B' D' B,L U2 L U B R' F' U' L U2 F R B,B F2 D' R U' R' F2 D U R2 U R' U R2 B' F2,35
