scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
L2 R D' L2 D U B' R F L2 U F' U2 R' U' D2 F2 L' B2 R,x2,L R B F2 D R,D B' R' F' U B F D',B' D' B2 D B' D2 R D2,F U' B' F' U' L' U2 B' U' L B L,B R F' R2 B U2 B' U2 R B' R2 F R2,47
L' R' U' B R B' L U L' R F R F L B U' L D2 R2 F' L2 R2,x2,F' D' R2 D2 R B' U2,B' D B D B' D',R' B D2 F' D F D B' R,L' F D2 R2 U2 R2 D B' R B' R' D U2 F',U2 L B' D' B2 R2 F' U' F R2 B' D L' U2,50
F2 U2 F R2 U' F D U' F D2 L2 R U D2 R' B2 U' F2 R D2 R' D2 U,x2,B' D F2 U' R2,U R' U2 F' L U R,D2 B' R2 D' R2 D B R D2,B2 L' B' F2 D2 B2 F D' F' D' F2 U2 B L,U2 L B' D' B2 R2 F' U' F R2 B' D L' U2,49
L R2 B U F' B R B F' D L2 B D U R2 U' L' D' R U2 F2 R D' L' U2,x2,F2 R2 D2 F' R' F2,R' F' U B' R B F R,D F' D R' D2 L' F' L F,U B U' B U2 F' D B L2 D B' D' B2 F,,37
F2 B2 D2 F2 U' D R' D' L' R' F2 L' F' R' D' R L U' D' F L2 U B',x2,U' L' R2 U' B R2 U',L' B L B',B2 D F' D' L F' L' F L' B2,U2 L2 F' U R B2 D2 B2 R' U' F L2 U2,B R F' R2 B U2 B' U2 R B' R2 F R2,47
B' R2 L B' L' B' D2 U2 F2 B2 U2 D' R2 L U2 F' L' R U' F B',x2,F' R' D F U',B R2 D L2 R2 B' L,B2 R B D' B2 D B' R',B' D L2 F2 U2 F' R' F' L F L R F' D' B,R2 F' R2 F D' R2 B R2 B' D2 F D' F',48
F2 U D B' D U R L2 D' B2 D' F' U2 L' U2 R F' L F2 B2 U' F',x2,F' R' F' D U2 F2,U2 B' R2 D' F' R2 B,U' B U B2 D2 R' D B' D B2,U B2 U L B U2 B U2 B L U' B U2 B,R2 F' R2 F D' R2 B R2 B' D2 F D' F',50
D U R B D' U' L2 F' L F' B' D' F' B2 U R U L2 R' B D R' L2,x2,B2 F D' B F,D2 L' B D L2 B2 D R,U' L' D L D2 U B2 R B2 D,B' L2 B D' B D2 L' D' B' L F U2 B2 U' F',B R F' R2 B U2 B' U2 R B' R2 F R2,51
R B' D2 L2 B U' D' L2 B F2 L2 R U2 L' D2 B R D F' D,x2,R2 D R' D' B',L R2 B D' B' L R2,U2 L2 U' F U' L2 F L2 F',B2 D2 F2 R F D B' F D L2 B' D B2 D' L2,B R F' R2 B U2 B' U2 R B' R2 F R2,49
R2 B F R2 F' R2 D2 U' B R2 D2 F' B2 D2 F' D' R2 D2 R2 L D' L',x2,F' U L' B2 D2,B2 R D' L2 D' B2 R',D2 B' R F2 R2 F2 R B R' D2,D F U B F R' U' B R B2 U' F D' R F,U2 L B' D' B2 R2 F' U' F R2 B' D L' U2,51
