scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,B2 R2 U' F,F U F' U' F2 D2 R' F2 R2,L2 R F L D F D2 L D R',L2 B' D2 B L2 U' F' R2 F U,U B F U' F U F2 L2 B D B' L2 B' U',47
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,D B2 U R U' F,B2 U' B U' L U2 B D' R D,B2 R F L' F R' F L B2 F' L,L' U' B' U B U F' L' B L B' F L,U' F U' F2 R2 F2 U F' L B' D2 B L' U,54
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,F2 U' R B D2,R' F' R' U2 R B2 U2 F,B D2 B' F U' F U F' L2 F' L2,F' L R2 U2 F' D F D' U2 R2 F L',F L2 R F' R' D2 L2 B' L' B L' D2 L2 F',50
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,R2 U' F L' U F,R' B2 R' F R U' F' L B2,B R2 F D2 F' D2 R2 D B' D,L D U' R' F' R F U F' D' L',R2 B2 R F R' B2 R F' R,45
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,U2 F' R U' L U,B F U2 R U B F' L R' B2,R U B' R F U F' R' B U' R',F R' F R F' R' U2 R U2 R F',F' L F R' F' L' F R,46
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,L2 D R B' U2 L,B' L2 D U' F' D' B' L' B2,B L B' L' F D' B' U B D U' F',U' L2 F2 U' L2 U' L2 U2 F2 L2,L F' U2 F L' F' L U2 L' F,47
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,B' D L' F' R2 U',R2 D' B2 L U' L' R2 B2 D,L U L2 B L D2 L D2 B' L' U',L' B F2 D' F D L D' L' B' F L,U F U' B' U F' U' B,46
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,D' B2 R2 F L',F2 R' F' U F D F L' U' F,L' D2 F' L2 F D2 F' L F L2,B2 F U' L2 F R F' L2 R' U B2 F',U2 F R' F' U L B' L' F' L D' B F L' U,52
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,F D2 R' U' L2 D2,L B2 D U2 B D' B2 L' R2,B D2 U' R D F2 D' R' D2 U B',U F L' B L B2 R' B' R B2 F' U',B2 R2 B2 U F U' B2 F' R2 F2 R F' R' B2 F',53
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,U2 L2 B F2 U,L' D' F R2 B U B' D L R',B' R U' L' U R' D2 L' D2 L B,L F U' B F2 D F' D' B' F2 U L',B2 R2 B2 U F U' B2 F' R2 F2 R F' R' B2 F',53
