scramble,orientation,step_0,step_1,step_2,step_3,total_moves
D U B' U B2 L2 F R2 L D' B' D R2 L B D2 U2 F D2 B2 U2 B2,x2,L D' F U' F2 D2 F2 D2,L F R U R F' L' U',U B' R U2 R' U F R F' R' U B U',R D' R' U2 R' U R' D R U2 R B2 U',42
R2 L2 B U' D L D2 U' B F' U2 D B' D L D' L2 R2 D U,x2,L' D' R' D U2 F' L' D L,U L U2 B U' B' L' U',L2 R D R F R' F' R' D' L2 U R' U',B L' R D' R' D L R' B' R,40
D' U B L' B2 F R2 F' R B2 F2 L' F' L D' U B' D F B' L2 U L B,x2,B' F2 L' U' L2 U' R B D,R' B' F R' B F2 U F,B F2 D' B L D2 L U B' U' L2 D B2 F2,D R' U2 B' R2 U' R B R B D' U2 R,44
D B' U D L R2 D' U R2 B R2 D U' B L' R2 D' L' U2 F' R D' B F,x2,U2 B' U2 R B' D R' F,R B U B2 R2 U' B U' R2,B2 R' U' R2 B' U B2 U' B' U B' R' B2,D' U B U' B' D U' L U L',40
R D' L2 B L U2 D F B U2 D' F' D2 F2 R L2 U' L D' F',x2,U' R D2 U B' U2 F' L,F R' D R D' R F',L' B' R' B L2 U' L' B' R B,L' D' B' D' B' D2 B D2 R' B L B' R B',39
F' U' R2 F D' R' L2 F' B' D' U2 R2 D F2 U B' D' F2 D' B D',x2,D2 R' F D' B2 D2 B' U' L,B' F' U2 F2 R' B R' F',B2 R2 F L' D2 L D' R2 D B2 R' F',U B' L F' L D' B D L2 F2 U' R' B F',43
R2 U2 D2 B2 F2 U F D' F' U D' L' D' R2 U2 B2 D R' F' D' B',x2,D2 L' B D2 B' U' L B',U2 R' B' U' B' R' B2,U B F' U' F R2 D' R D R B' R U',B2 L2 D' R D R2 B2 U' B' U B' L2 R B2,42
U' R' U' L2 F' L' U2 R' D' R' L F2 U' L R' U' L D R' F R2,x2,F2 D' F' R' D L' D' F,U R U B U B' U2,U2 F' U F U' B2 R U' B' U R' B2 U2,U2 L2 R' F R2 B U R U' R2 F' R B' L2 U2,43
U' B' R B R' U F2 L D R' D' R2 L U2 L2 U' F2 D R2 D L' D',x2,U L D2 L2 F2 L2 B' U,R' B' R' U B2 U2 B',D' R D B' F D R' D' B F' R' B2,F' D F L' D' B' D L U2 F' D' F2 R F' U2,42
D' F B R2 B L2 F2 U R B R L2 U L F L' U D2 L' B F',x2,L U L' B D2 B U F2,R U' B' U2 R B U',B2 U' B' U' B D U B2 R' U R D' B2,L' B L D' B' L B' U F' R' B F U2 L' U,43
