scramble,orientation,step_0,step_1,step_2,step_3,total_moves
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,U2 R2 F D2 U2 L' U',U2 R' U' L2 D F R F L2,D' U2 R2 B2 D B R' B R' D R' U2,U' R2 D U2 B U B U' B U' F' L' F D',42
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,D2 R2 F2 U',R2 B2 R' B' U' R' U2 B' R U,L D' F' L' D L D' L2 F' L2 F,B D2 L F' L' R U R D2 L2 U2 L2 B',38
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,L R2 D B2 U L' D R,B' D2 R2 D' B' R2 D' B' D' R,L' D2 F' D2 L' F L D2 F L,U' R B L F2 R2 F' U' F' R' U L' U2,41
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,U' L' D2 B R F' L2 D',U2 B L' B2 D' L U' R' U' B,B' L F' U' B' R2 B U2 F' L' U' B,U L' B L D U' F' L' F D',40
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,F' U R' B F L2,L' R' D B' L R B' R',D' B2 D' B R D R' D B D2 B D',D L' D' U2 B' F2 D U' L R2 U' L D',39
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,U F' L2 B2 U2 L U2,U L' B' D B2 L U' B' U',R' U' R B2 L2 R F D R' D2 L2 B2,D L' U' F2 D2 R U2 B2 D' U' F D' L D',42
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,U' L' D2 U2 L2 F' D',B' U2 B' R' U2 B2 R' U' B' R',L' D F' D L' D L' F' L2 D2 F L,D' F2 U2 L B' D' B F' R F' D2 B2 R D',43
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,D2 L F' R2 B2 L' B,U' L2 F2 D' R D' F2 R' F L2,R' U' L2 F2 D' L2 B2 D' R' D,U' R D' R U' F' R' B' R2 B F D B U2,41
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,B R' F2 L2 F' L2 D',B2 U2 L' D' R B2 L2 F' L',L U2 F R2 U2 L' B U2 R U2,U' B D2 R2 U' R D U' B' U' R B2 U2 B2 D,41
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,B D' B D2 F2 R' F2,R2 B' U R' D B D' B R2,L' F2 U2 B' L U2 B' F2 D' B D2 L R,U B' D' B2 L' B' L U R D B L B2 L' U2,44
