scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,B L2 R B' F2 L' R,R' U' R,R U' F' R2 F' U F2 R',L2 D' R D2 R' D B' D B D L2,L2 B' R2 B' L B R2 B' F' L F L' B2 L2,43
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,B2 F' D R F2 L2 D B2,F2 U' F2,F2 L2 R2 D L2 R2 F2,L2 R D2 F R F R2 D L D2 L,B2 D2 L' D F' U R2 U' F D' L D2,41
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,F2 L' B2 D R' F2 U,L' B2 L,L' R' U' R2 B' R' U L,D F2 L' B' D B L F2 D',L' B D2 L' U2 L' R2 U2 F' L' D2 R2 B2,40
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,R2 U' L B2 D2 U' L B2,D2 U' L U L' D2,D F D2 R2 D2 F' D',R' U L F2 L' U' R B U' B',L2 B' L U' F' L' B L2 B2 F U' B2 L,44
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,R2 D' B' L F2 R D2 F',D2 B' D2,F' U F2 D' L2 D F U' F2,R' D U L U' L' D' R,L' B' U' L U' L' F' L F U2 B L,40
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,D' B2 D R B' U' F L' D2,D2 B' D2,L F' D' R D F L',L2 F' D' F L2 B L2 D' L2 B',B' R B2 R' U B' R B' R' B' L' B' L B,43
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,U' R2 B' D' F' D2 B,D2 U' L U L' D2,F2 L B U' B' L' F2,L' D L B U R' U' B' U2 R U2,B D' L' B' R' B L U2 R D L' B2 L B',45
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,B U' F2 L U2 B F' R D,F2 U F2,R U' F' R F U R',B2 L B2 R' B2 U2 L' B2 R D2,F' D2 L' D F2 U' R U F2 D U B U' F,43
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,F R' B L D F2 U,L' B' L,L F2 R B R' U B' F2 L',L R2 U' R U R2 D R' D' L',D' U' B U' B2 R' B R D B2 U B' U,42
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,U2 B R D2 R B2 R B',F2 U' F2,F2 L U' R' U F2 D2 L' R,L R2 F' L' B L F' L' B' R2,D2 L F L' D2 R2 U2 B' D' R2 D B2 U2 R2,44
