scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,R' D F L' F2 U',D' F L2 D2 L' D2 F',R2 B' L2 B L F R2 U' R2 F' R2,L' F L U2 L' U2 F' L' B L B' L,,36
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,R' F L' D' B2 F',D' L B2 F' R2 B2 F,B2 R B' R' U' B' D L2 D' U B L',B L B' L2 F U2 F' L' B L2 B',U' L' U' L U2 L2 D' U' B' U B D L2,49
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,U F2 L2 R B2 U',D' F L R2 U R2 F',L2 U' B L B2 U' B' U2 B L2 U2 B L',F2 L U R U2 L' D L U L' D' R' F2,,39
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,R' F' R U2 F',F' R F' U2 R' F2,F' R' B R D' L' R' B' L R F L2,D' B R2 D2 F D2 R2 D' U2 B U2 B' D2,,36
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,R F R2 U' L' D F2,L' R' B R D L' D,R2 D R2 F D2 U F' D2 U F' U',B' F U' R2 D' L F L' D R2 B U' F',,38
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,B2 U2 R' B U R2,B2 L' D2 F' R' D2 F D,D' U' B D2 L2 D' B U2 B2 U L' U2,D F U F' D2 U L U' L' D U',,37
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,L B D' F2 R' B2,F' R' B R F D,R B D L' D' U B2 U' L2 B' L' R',D' L2 B D F' D2 R2 D2 F D' B' L2 D L2,,38
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,R' F L2 U F2,L' B2 F2 R2 U' B2 F2,L2 B' L B L2 B' L' D' B' D L B,F2 U2 L U L' U B' F' U' R' U R B F',U' L' U' L U2 L2 D' U' B' U B D L2,51
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,B R' U2 L D F2,D' R' B' R,D' R U2 B' R2 D2 F' D' L2 B D2 R D2,B L R2 U2 R2 B D B' D' R2 U2 R2 B' L',U' L' U' L U2 L2 D' U' B' U B D L2,50
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,U2 L' F2 D R,D' L D' L' D2,L' U2 L2 D' L U L' D2 L' D' L' U,U2 F U F2 L' F' R2 D2 B' D2 R2 F2 U' L' U2,U' L' U' L U2 L2 D' U' B' U B D L2,50
