scramble,orientation,step_0,step_1,step_2,step_3,total_moves
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,L' F L F' D L',U B' U B R2 F U' B2 F' R' B2,D U' B2 D2 F2 D' L U B2 L B2 L D2 R2,B' L2 D' U' B2 R' U2 R B2 D U L2 B L2,45
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,B F' L D2,L' U' L' D2 L D B2 D L R U' R,F2 D R B U' L' R2 B' L R2 U B' D' F2,L' U2 R B L B' L' R' U2 L2 U L' U',43
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,D' F2 D2 F' L',B F2 D2 L D2 U2 B' F' L U' R2 F L',R F2 R2 F' U' R' F' U2 R2 F R U F',L' U L D' U B' U' B D U',41
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,L2 U R B' D B' U',L R' U R' U L2 B2 F2 D2 B2 F2 L,R2 B' R' F2 R' F' U' R' U R F' R B R2,L' B F' D F' D' B' F L F,43
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,L2 R F' L' D',B2 D R' F D2 R F' D F2 D2 B2,D' F R U2 R' U' B R U R' B' U F' D,L' U L D' U B' U' B D U',40
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,R' D2 U' L2 F',R2 D2 L U2 L U' R' D' B2 D' L' U',B' R2 D' R2 B2 R U2 B U2 R' B2 R2 D R2 B,D2 R2 U2 B U2 R2 D2 F,40
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,R D2 U' L2 F',U' L2 R2 D B' F2 D' L2 R',U L' F' U R F2 L' R F' U2 L R2 U' F U',L' U2 R B L B' L' R' U2 L2 U L' U',42
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,D R B' U F' L,B' R2 B L' F D' L2 D L2 R' F' U L,F2 U' F2 D2 B U B' U2 L B2 D2 F2 R F2 U',F' L' B F' D F D' B' F L,44
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,F D L2 F D L,R F' U F R' U' B2 R B2 R,L' R2 U' L B F2 U F U' B' F2 L' U L R2,L' U2 R B L B' L' R' U2 L2 U L' U',44
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,U2 B' R F2 L',B' U' F2 R' F U F R B' R2 B2 R2 U,L F2 U L2 F2 D' L' U2 B2 L2 D' B2 U2 R' D2,F' D2 R2 U2 B' U2 R2 D2,41
