scramble,orientation,step_0,step_1,step_2,step_3,total_moves
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,L U B' D2 L F',B' R2 B' D' F R D' L' D2 U2 R',U2 R2 D2 B2 L B' F U' F' R2 U2 L2 F,U' F' U2 F D' U L' U2 L D,40
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,D' U' L R U',U2 B L D R2 B R2 U F' D' R2 B2,F2 L' F2 L' B2 F2 R B2 L F2,U' L' U' L U2 L2 D' U' B' U B D L2,40
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,D2 R' U' B' U' L',D R B L' B' L' U' L2 R' F L2 D',R U B R2 U2 R2 B U2 R2 U R',L2 B2 R2 D' R D R B2 L F' U' F L,42
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,B2 D2 L2 U B2,U' B2 F' R B' L2 D R D' B' D2,R B2 U2 B2 D2 F2 U' F D2 U2 B' U' R',F2 R' D L2 U' B R2 B' U L2 D' R,41
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,L D' R D2 U' B D2,B2 U F R B2 F' D' U2 F2 D F' L2 F,L2 R D B R' U F' R' F' U' B2 D2 B L2,R2 B U2 F R' F' U2 B2 L' B' L B2 R2,47
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,D' R U' B' L' U',F2 D F2 U' L D2 L2 D2 F U2 F' L',L B2 F2 U B F' L2 B F' D L',D2 B' L U B2 R D B' L2 F' D F' L F',43
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,B' D' R' F' U2 L',F2 D' F' L B2 U B2 D2 R B' F R',R' D L2 D' R B2 L' D B2 D' L B2,L' U2 B' F' U F U' B U2 F' U F L,43
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,F2 U L' B2 L2,B' F2 R' F2 L U L' D U' B2 F D' B,D' R D2 U2 L' U' B F2 D U' L' R2 D2,F U' L B2 R' F D2 F' R B2 L' U F,44
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,B2 D U2 F2 L' B' D,U' R' U B2 U R U2 R' U2 R2 U,U F' L R' D L B L' R D' L' U',F2 U' R B' R2 F' R2 B2 L U L' B' R' F U,45
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,F' R2 B2 R' B2 D,D B' D' R U' F R' B2 D' R2 D2 F' R',R' D2 U2 L B R2 U F2 R2 F2 U L2 F,F2 U' R B' R2 F' R2 B2 L U L' B' R' F U,47
