scramble,orientation,step_0,step_1,step_2,step_3,total_moves
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,L' D' L F' D2 U2 L,U R2 B' U' L U2 L' B' L2 D L2 R2 B,L2 R' D L2 D2 L2 D L2 D R,U L2 U R U' L2 U R' U2,39
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,U' B2 D2 L B D L' B2,L F2 U' L R F L' U L' B U B2,B D' U R' D2 R' D U' B D2,F2 R' F L2 F' R F L2 F,39
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,R' U2 F2 D' B D B,R D B L U L' F' U' F R2 B D' U',F D' B D F' D' B' D,L2 U F' R2 F U' L2 U F' R2 F U',40
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,B2 L' F D2 U L' B2,R F' U2 F L R' F2 U' L2 D L R2,R U' L B2 L' U R' F R2 D2 R2 F',D F2 D B2 D' F2 D B2 D2,40
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,D U2 B' D F L' D',L' U' R' B2 L F2 R' D B' D2 L' D U2,D B U2 F' L' U2 B' U2 F U2 R D',U B D' B' U' B D B',40
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,D' L' U2 B' D2 L' B',D F D' B F D L2 B' L2 F2 R' B' D',R' B R D F' R' B' R' D' B' D R2 F,U B D' B' U' B D B',41
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,D2 L2 B U' B L D,R2 D2 B2 D' B D' U2 R U' R' U2 R,R' B2 R' B' U' B' L' B' D L' D' L2 U R2,U L2 U R U' L2 U R' U2,42
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,R' U2 B D' L2 R' B2,R2 D' U2 L2 B D2 B' U2 B' R' B F D,B L F L' F' L' F L' F' L B',B D' L2 D B' D' B L2 B' D,41
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,D' B2 F' R' F2 U L,L2 B2 L' D F2 U' F2 R2 U' L' F2 R2,F U' F2 U L2 R F2 L2 U R' F R' B2 R,F' L2 B F D' B' U B' U B' D B2 U2,46
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,B2 L2 F L D' U,D U2 F' U F R' U' R' B' U2 R B2 D' U',B D2 U B D L B L' B' D U' B',B D' L2 D B' D' B L2 B' D,42
R2 B2 R' B' L D' R2 U2 R2 U B' R U F L' U' D2 L' F L2,x2,R F L' R2 D',R' U R' B2 U' B' L F U' F' L' R,L2 D2 B' D' R D2 R' D B L2,L2 U F' R2 F U' L2 U F' R2 F U',39
R2 B U' B' D L R D2 L U B' U R' F' L' F' U L' R2 B' U B U,x2,R2 B' U' F D2 F,L F2 R' F U R2 U' L' U' R' B2 R B,U L F2 R' D2 F2 D2 R F2 L' U',U2 R U' L2 U R' U' L2 U',39
L F' D2 B D' U2 R' F2 D U2 F R' B2 R' F2 R2 D2 U R U' L2 D2 F2 D2 U,x2,F L2 U' B F' U2,F2 R' F' R2 D R U2 B D' F2 U2 R F',F U' F2 R U' L2 R D2 R D L2 R F,F L' B' L F' L' B L,40
U' D2 R2 D' R' F' D' L B F L' R F' R2 B' R' F2 D L' R U' F,x2,D R2 F D B2 U',L R B L F' L' U' B U B2 L',U' F2 L' D' F D' F2 L' F D2 U L' D' L2,D2 B2 D' F2 D B2 D' F2 D',40
R2 D R F L B' L2 R D U2 F' R D L' U2 B2 R2 F2 U2 L' R2 D' F2 B2 R,x2,D2 L' B' L B' F,R' D L' D B' D' B L U' B D' R' U,D R' F' D2 F R F' D2 F D',B D' B' U B D B' U',37
U2 B2 R' F2 U2 L2 R U' F2 D2 U2 L' R2 F2 B2 R F2 R' B' R,x2,L B' L2 U F' L' F',B D2 L' U2 L2 D' B2 R' D L' B' F2 D2,U' L D F D' L' F' U' F' U2,D F D' F2 U L2 U' L2 F D' L2 D L2,43
B2 R2 B F R F R' F' U' D2 B' F' L2 R U' B' L2 R' D2 B' U2 F',x2,D F U2 L2 D' U2,B F' U B2 D R' U2 L' B2 L' D B' F D2,F U F' D' F U' F' D,F2 R' F L2 F' R F L2 F,37
F2 U F2 D2 L' U' F' B' L D L2 B2 F2 R L D2 B R2 U' D' L U,x2,R2 U L' F R2 D2 L',R2 U B U2 L D2 L' U2 R F2 U2 B' R' U',R2 U R D' B R' B' U' L B L' R2,L2 U F' R2 F U' L2 U F' R2 F U',45
L B2 U B' U' L B' R B2 U2 F U' B F2 D2 L' R B L2 D2 R B2,x2,U F R F2 D' L F,D2 R2 F R2 D U' L' U F' D2 R D',R2 U R' U R' F' R F R U2 R2,F' L2 F' R' F L2 F' R F2,39
U L2 U D' R' D2 U F' D2 L B L B2 L' D L' D R' U2 F2 U' F',x2,R D B F U2 L B2,B2 D R2 U' B L B R' B' L' U B D',U2 L B F' U' R U' F' U2 B' L' U2 R,U2 F2 U' B' U F2 U' B U',42
